,open,high,low,close,volume
2019-11-04 14:15:00,55.17,55.1978,55.165,55.195,8233
2019-11-04 14:20:00,55.195,55.195,55.18,55.1916,7097
2019-11-04 14:25:00,55.195,55.21,55.19,55.2,14371
2019-11-04 14:30:00,55.2,55.205,55.19,55.2031,8249
2019-11-04 14:35:00,55.205,55.225,55.205,55.225,13049
2019-11-04 14:40:00,55.23,55.23,55.1949,55.2,10999
2019-11-04 14:45:00,55.2,55.215,55.19,55.195,8928
2019-11-04 14:50:00,55.2,55.23,55.2,55.2222,7768
2019-11-04 14:55:00,55.22,55.23,55.2,55.22,14114
2019-11-04 15:00:00,55.22,55.225,55.21,55.22,8619
2019-11-04 15:05:00,55.225,55.225,55.2,55.2,9852
2019-11-04 15:10:00,55.205,55.21,55.2,55.2,20112
2019-11-04 15:15:00,55.195,55.215,55.195,55.205,12337
2019-11-04 15:20:00,55.21,55.22,55.2,55.2,20688
2019-11-04 15:25:00,55.20399999999999,55.23,55.2,55.22,31352
2019-11-04 15:30:00,55.2251,55.2251,55.19,55.2,14494
2019-11-04 15:35:00,55.2,55.22,55.195,55.205,22426
2019-11-04 15:40:00,55.205,55.2264,55.205,55.225,28559
2019-11-04 15:45:00,55.23,55.255,55.225,55.242,51934
2019-11-04 15:50:00,55.245,55.26,55.24,55.26,31172
2019-11-04 15:55:00,55.26,55.3,55.25,55.285,60900
2019-11-04 16:00:00,55.29,55.29,55.22,55.24,121924
2019-11-05 09:35:00,56.4718,56.5249,56.2847,56.3018,200375
2019-11-05 09:40:00,56.29,56.36,56.18,56.2,60655
2019-11-05 09:45:00,56.21,56.28,56.2,56.21,34954
2019-11-05 09:50:00,56.21,56.21,56.0675,56.1,53802
2019-11-05 09:55:00,56.1123,56.14,56.07,56.1323,42562
2019-11-05 10:00:00,56.13,56.2,56.09,56.1,28335
2019-11-05 10:05:00,56.11,56.2,56.05,56.07,55034
2019-11-05 10:10:00,56.06,56.06,55.96,55.99,35861
2019-11-05 10:15:00,55.9585,56.0845,55.9246,56.0318,17325
2019-11-05 10:20:00,56.0411,56.0841,56.004,56.0211,14999
2019-11-05 10:25:00,56.01,56.04,55.97,55.97,31474
2019-11-05 10:30:00,55.97,55.97,55.82,55.82,18690
2019-11-05 10:35:00,55.84,55.95,55.82,55.93,24496
2019-11-05 10:40:00,55.94,55.97,55.87,55.89,25355
2019-11-05 10:45:00,55.89,55.94,55.8764,55.94,14318
2019-11-05 10:50:00,55.95,56.01,55.935,55.995,30751
2019-11-05 10:55:00,56.0,56.12,55.99,56.1,22862
2019-11-05 11:00:00,56.13,56.21,56.11,56.2,25344
2019-11-05 11:05:00,56.19,56.28,56.19,56.245,37041
