,open,high,low,close,volume
2019-11-04 14:15:00,6.11,6.1168,6.1,6.1042,172841
2019-11-04 14:20:00,6.1,6.12,6.1,6.11,283521
2019-11-04 14:25:00,6.11,6.11,6.1,6.11,140738
2019-11-04 14:30:00,6.105,6.11,6.1,6.105,43094
2019-11-04 14:35:00,6.1083,6.1259,6.1067,6.1202,150048
2019-11-04 14:40:00,6.1153,6.1221,6.1059,6.1103,80187
2019-11-04 14:45:00,6.1051,6.1151,6.105,6.1151,65679
2019-11-04 14:50:00,6.11,6.12,6.11,6.12,17378
2019-11-04 14:55:00,6.115,6.12,6.11,6.115,27159
2019-11-04 15:00:00,6.11,6.13,6.11,6.13,75568
2019-11-04 15:05:00,6.13,6.13,6.12,6.125,29407
2019-11-04 15:10:00,6.1301,6.1453,6.1253,6.1401,168145
2019-11-04 15:15:00,6.14,6.17,6.14,6.16,186251
2019-11-04 15:20:00,6.16,6.16,6.15,6.15,73291
2019-11-04 15:25:00,6.1536,6.17,6.15,6.1698,83938
2019-11-04 15:30:00,6.17,6.17,6.165,6.165,28559
2019-11-04 15:35:00,6.1701,6.1749,6.1448,6.1451,158872
2019-11-04 15:40:00,6.145,6.145,6.14,6.145,82319
2019-11-04 15:45:00,6.1452,6.1558,6.1257,6.1402,394878
2019-11-04 15:50:00,6.14,6.16,6.135,6.155,278447
2019-11-04 15:55:00,6.16,6.17,6.155,6.16,210853
2019-11-04 16:00:00,6.16,6.16,6.135,6.15,845213
2019-11-05 09:35:00,6.16,6.16,6.11,6.115,238952
2019-11-05 09:40:00,6.12,6.14,6.12,6.135,76913
2019-11-05 09:45:00,6.1391,6.14,6.125,6.1303,32870
2019-11-05 09:50:00,6.1252,6.1357,6.1057,6.1102,289169
2019-11-05 09:55:00,6.11,6.12,6.1049,6.11,173733
2019-11-05 10:00:00,6.12,6.12,6.1,6.12,584626
2019-11-05 10:05:00,6.1201,6.1253,6.1053,6.1151,65561
2019-11-05 10:10:00,6.115,6.12,6.1,6.1,432718
2019-11-05 10:15:00,6.1002,6.1159,6.0959,6.1052,71300
2019-11-05 10:20:00,6.1001,6.1098,6.0848,6.0901,204548
2019-11-05 10:25:00,6.09,6.1,6.08,6.08,95685
2019-11-05 10:30:00,6.085,6.095,6.085,6.095,356228
2019-11-05 10:35:00,6.095,6.095,6.085,6.085,82111
2019-11-05 10:40:00,6.085,6.1,6.08,6.095,100542
2019-11-05 10:45:00,6.095,6.1,6.09,6.095,60906
2019-11-05 10:50:00,6.09,6.105,6.09,6.1,121520
2019-11-05 10:55:00,6.11,6.12,6.1,6.1,101241
2019-11-05 11:00:00,6.09,6.1,6.09,6.09,31012
2019-11-05 11:05:00,6.095,6.095,6.08,6.08,84460
2019-11-05 11:10:00,6.0851,6.0948,6.0848,6.0901,30705
2019-11-05 11:15:00,6.085,6.09,6.08,6.085,22649
2019-11-05 11:20:00,6.0902,6.095,6.09,6.0902,124596
2019-11-05 11:25:00,6.0935,6.1,6.09,6.095,168549
2019-11-05 11:30:00,6.1,6.12,6.095,6.1199,174268
2019-11-05 11:35:00,6.11,6.12,6.09,6.095,180891
2019-11-05 11:40:00,6.1,6.11,6.095,6.105,175795
2019-11-05 11:45:00,6.11,6.13,6.11,6.12,321220
2019-11-05 11:50:00,6.1202,6.126,6.1059,6.1102,158149
2019-11-05 11:55:00,6.105,6.11,6.1,6.1,54585
2019-11-05 12:00:00,6.11,6.11,6.1,6.11,41291
