,open,high,low,close,volume
2019-11-04 14:15:00,38.5,38.55,38.495,38.55,5114
2019-11-04 14:20:00,38.54,38.64,38.54,38.62,10325
2019-11-04 14:25:00,38.64,38.685,38.63,38.64,68859
2019-11-04 14:30:00,38.635,38.665,38.62,38.64,5502
2019-11-04 14:35:00,38.65,38.69,38.65,38.685,6787
2019-11-04 14:40:00,38.685,38.71,38.68,38.705,8941
2019-11-04 14:45:00,38.705,38.705,38.66,38.68,9216
2019-11-04 14:50:00,38.68,38.705,38.68,38.68,11238
2019-11-04 14:55:00,38.69,38.7,38.67,38.68,19131
2019-11-04 15:00:00,38.69,38.705,38.6,38.6,48670
2019-11-04 15:05:00,38.5912,38.6279,38.5278,38.5312,9720
2019-11-04 15:10:00,38.53,38.54,38.48,38.495,4852
2019-11-04 15:15:00,38.49,38.52,38.41,38.43,57898
2019-11-04 15:20:00,38.4412,38.4774,38.4123,38.4212,55782
2019-11-04 15:25:00,38.43,38.45,38.4215,38.4215,18648
2019-11-04 15:30:00,38.42,38.44,38.39,38.4,25337
2019-11-04 15:35:00,38.41,38.45,38.4,38.415,14894
2019-11-04 15:40:00,38.42,38.45,38.4,38.41,11273
2019-11-04 15:45:00,38.42,38.465,38.42,38.465,12995
2019-11-04 15:50:00,38.46,38.495,38.45,38.48,29836
2019-11-04 15:55:00,38.47,38.5,38.46,38.5,42247
2019-11-04 16:00:00,38.51,38.56,38.46,38.46,67064
2019-11-05 09:35:00,38.9013,39.0,38.9,38.9613,17627
2019-11-05 09:40:00,38.9808,39.02,38.9,38.9308,15118
2019-11-05 09:45:00,38.9616,39.02,38.94,39.0116,13763
2019-11-05 09:50:00,39.01,39.13,38.98,39.085,9741
2019-11-05 09:55:00,39.078,39.1224,38.9873,39.0566,15036
2019-11-05 10:00:00,39.06,39.17,39.04,39.17,54852
2019-11-05 10:05:00,39.17,39.56,39.17,39.52,21380
2019-11-05 10:10:00,39.5059,39.6384,39.4982,39.561,12596
2019-11-05 10:15:00,39.5613,39.6686,39.5284,39.6113,11389
2019-11-05 10:20:00,39.57,39.75,39.57,39.75,9845
2019-11-05 10:25:00,39.7467,39.7832,39.6283,39.6927,15557
2019-11-05 10:30:00,39.7415,39.7772,39.6972,39.7215,13503
2019-11-05 10:35:00,39.71,39.72,39.6616,39.68,7625
2019-11-05 10:40:00,39.7114,39.7669,39.6868,39.7114,12546
2019-11-05 10:45:00,39.72,39.73,39.68,39.68,7669
2019-11-05 10:50:00,39.66,39.69,39.6225,39.6225,22044
2019-11-05 10:55:00,39.61,39.67,39.59,39.64,13343
2019-11-05 11:00:00,39.64,39.69,39.57,39.57,33478
2019-11-05 11:05:00,39.55,39.6,39.54,39.5825,13979
2019-11-05 11:10:00,39.6,39.67,39.5806,39.63,11748
2019-11-05 11:15:00,39.63,39.6652,39.625,39.6652,4981
2019-11-05 11:20:00,39.69,39.69,39.59,39.59,9185
2019-11-05 11:25:00,39.59,39.65,39.565,39.565,5569
2019-11-05 11:30:00,39.5614,39.6468,39.5367,39.6014,8744
2019-11-05 11:35:00,39.5963,39.615,39.5508,39.5913,9699
2019-11-05 11:40:00,39.5756,39.6143,39.4942,39.4956,6771
2019-11-05 11:45:00,39.5,39.57,39.5,39.54,5440
2019-11-05 11:50:00,39.53,39.53,39.46,39.47,10417
2019-11-05 11:55:00,39.45,39.47,39.29,39.29,4167
2019-11-05 12:00:00,39.26,39.265,39.21,39.21,3359
2019-11-05 12:05:00,39.2,39.2,39.1,39.1,6768
2019-11-05 12:10:00,39.12,39.13,39.06,39.06,11192
2019-11-05 12:15:00,39.012,39.06,39.012,39.02,5236
2019-11-05 12:20:00,39.04,39.04,39.0084,39.02,4382
2019-11-05 12:25:00,39.02,39.04,38.96,38.96,3970
2019-11-05 12:30:00,38.9406,38.9737,38.8786,38.8956,5760
2019-11-05 12:35:00,38.91,38.94,38.89,38.93,7079
2019-11-05 12:40:00,38.94,38.98,38.94,38.98,3307
2019-11-05 12:45:00,38.98,39.02,38.97,39.02,2989
2019-11-05 12:50:00,39.0,39.105,39.0,39.105,4157
2019-11-05 12:55:00,39.12,39.12,39.07,39.07,3879
2019-11-05 13:00:00,39.09,39.11,39.08,39.09,3344
2019-11-05 13:05:00,39.08,39.11,39.08,39.09,3943
2019-11-05 13:10:00,39.0914,39.1263,39.0763,39.0913,4554
2019-11-05 13:15:00,39.075,39.1199,39.06,39.1199,3733
2019-11-05 13:20:00,39.0906,39.1239,39.0438,39.0806,2957
2019-11-05 13:25:00,39.07,39.1024,39.04,39.04,4408
2019-11-05 13:30:00,39.03,39.12,39.03,39.1,2683
2019-11-05 13:35:00,39.09,39.2399,39.09,39.21,8230
2019-11-05 13:40:00,39.21,39.24,39.2,39.24,3724
2019-11-05 13:45:00,39.24800000000001,39.26,39.21,39.21,6329
2019-11-05 13:50:00,39.22,39.24,39.16,39.16,2567
2019-11-05 13:55:00,39.1515,39.2167,39.1466,39.1615,4807
2019-11-05 14:00:00,39.16,39.18,39.15,39.18,5489
2019-11-05 14:05:00,39.17,39.17,39.14,39.155,3968
2019-11-05 14:10:00,39.14,39.25,39.14,39.24,5079
2019-11-05 14:15:00,39.27,39.275,39.25,39.26,5743
2019-11-05 14:20:00,39.2461,39.25,39.23,39.25,3363
2019-11-05 14:25:00,39.24,39.25,39.2,39.2,4695
2019-11-05 14:30:00,39.21,39.21,39.16,39.17,4593
2019-11-05 14:35:00,39.18,39.23,39.18,39.19,5206
