,open,high,low,close,volume
2019-11-04 14:15:00,1.9409999999999998,1.945,1.93,1.93,37493
2019-11-04 14:20:00,1.925,1.9276,1.92,1.92,9036
2019-11-04 14:25:00,1.93,1.93,1.91,1.91,11671
2019-11-04 14:30:00,1.9101,1.9119,1.8918,1.9051,36377
2019-11-04 14:35:00,1.905,1.91,1.89,1.89,7478
2019-11-04 14:40:00,1.89,1.9,1.89,1.9,5387
2019-11-04 14:45:00,1.91,1.92,1.91,1.92,971
2019-11-04 14:50:00,1.9151,1.9168,1.9086,1.9101,38251
2019-11-04 14:55:00,1.905,1.905,1.9,1.9,11582
2019-11-04 15:00:00,1.91,1.91,1.89,1.89,28845
2019-11-04 15:05:00,1.89,1.91,1.89,1.91,11016
2019-11-04 15:10:00,1.915,1.92,1.9,1.92,37349
2019-11-04 15:15:00,1.92,1.92,1.91,1.92,41624
2019-11-04 15:20:00,1.9151,1.9319,1.9119,1.9201,23538
2019-11-04 15:25:00,1.92,1.94,1.92,1.925,92430
2019-11-04 15:30:00,1.92,1.92,1.91,1.91,18344
2019-11-04 15:35:00,1.92,1.93,1.92,1.92,56795
2019-11-04 15:40:00,1.91,1.915,1.9,1.9,21373
2019-11-04 15:45:00,1.91,1.915,1.9,1.9101,28437
2019-11-04 15:50:00,1.9151,1.9219,1.9119,1.9201,32305
2019-11-04 15:55:00,1.9151,1.9418,1.9118,1.9401,67367
2019-11-04 16:00:00,1.94,1.94,1.91,1.93,242157
2019-11-05 09:35:00,1.95,1.95,1.9186,1.92,77526
2019-11-05 09:40:00,1.92,1.93,1.91,1.92,5496
2019-11-05 09:45:00,1.9101,1.9319,1.9068,1.9201,28256
2019-11-05 09:50:00,1.93,1.93,1.93,1.93,1538
2019-11-05 09:55:00,1.9301,1.9318,1.9018,1.9101,24713
2019-11-05 10:00:00,1.91,1.92,1.91,1.92,12330
2019-11-05 10:05:00,1.92,1.92,1.91,1.92,9787
2019-11-05 10:10:00,1.9151,1.92,1.9,1.9051,34133
2019-11-05 10:15:00,1.9101,1.9119,1.8968,1.9101,14723
2019-11-05 10:20:00,1.91,1.9115,1.8815,1.8914,53717
2019-11-05 10:25:00,1.8901,1.8918,1.8818,1.89,26002
2019-11-05 10:30:00,1.8801,1.8868,1.8718,1.8801,13852
2019-11-05 10:35:00,1.88,1.88,1.8771,1.8771,619
2019-11-05 10:40:00,1.875,1.8976,1.875,1.88,31759
2019-11-05 10:45:00,1.89,1.9,1.88,1.88,4315
2019-11-05 10:50:00,1.88,1.89,1.87,1.87,9890
2019-11-05 10:55:00,1.88,1.88,1.86,1.86,39047
2019-11-05 11:00:00,1.86,1.89,1.86,1.89,24609
2019-11-05 11:05:00,1.89,1.91,1.88,1.88,20026
2019-11-05 11:10:00,1.88,1.89,1.87,1.87,2886
2019-11-05 11:15:00,1.87,1.875,1.87,1.87,8080
2019-11-05 11:20:00,1.87,1.88,1.87,1.88,700
2019-11-05 11:25:00,1.8656,1.8799,1.86,1.8799,13565
2019-11-05 11:30:00,1.8701,1.8904,1.8667,1.8801,17477
2019-11-05 11:35:00,1.88,1.88,1.87,1.87,11762
