,open,high,low,close,volume
2019-11-04 14:15:00,15.325,15.35,15.315,15.345,195950
2019-11-04 14:20:00,15.34,15.35,15.32,15.33,118175
2019-11-04 14:25:00,15.33,15.335,15.32,15.33,109492
2019-11-04 14:30:00,15.32,15.35,15.32,15.3401,109787
2019-11-04 14:35:00,15.3454,15.3949,15.3449,15.3804,283853
2019-11-04 14:40:00,15.3706,15.3948,15.3665,15.3806,139196
2019-11-04 14:45:00,15.375,15.38,15.365,15.37,86555
2019-11-04 14:50:00,15.3756,15.38,15.36,15.3756,96715
2019-11-04 14:55:00,15.38,15.38,15.345,15.345,160482
2019-11-04 15:00:00,15.34,15.35,15.32,15.35,153941
2019-11-04 15:05:00,15.34,15.35,15.325,15.335,74828
2019-11-04 15:10:00,15.335,15.34,15.29,15.295,226115
2019-11-04 15:15:00,15.3,15.32,15.29,15.3,140261
2019-11-04 15:20:00,15.3,15.31,15.29,15.305,337187
2019-11-04 15:25:00,15.3,15.31,15.3,15.305,185120
2019-11-04 15:30:00,15.3,15.305,15.2762,15.2762,231959
2019-11-04 15:35:00,15.275,15.315,15.27,15.315,202331
2019-11-04 15:40:00,15.315999999999999,15.32,15.31,15.31,127496
2019-11-04 15:45:00,15.31,15.315,15.29,15.29,154965
2019-11-04 15:50:00,15.29,15.34,15.29,15.34,256158
2019-11-04 15:55:00,15.335,15.36,15.33,15.36,392210
2019-11-04 16:00:00,15.36,15.37,15.33,15.35,765524
2019-11-05 09:35:00,15.3205,15.325,15.26,15.3123,443069
2019-11-05 09:40:00,15.3103,15.33,15.28,15.3153,294504
2019-11-05 09:45:00,15.3191,15.3347,15.2346,15.2456,292810
2019-11-05 09:50:00,15.2506,15.3644,15.2343,15.3206,361461
2019-11-05 09:55:00,15.3206,15.33,15.2662,15.2668,228564
2019-11-05 10:00:00,15.27,15.28,15.255,15.27,136755
2019-11-05 10:05:00,15.29,15.32,15.265,15.265,232830
2019-11-05 10:10:00,15.265,15.27,15.11,15.11,513712
2019-11-05 10:15:00,15.1122,15.12,14.975,14.975,752116
2019-11-05 10:20:00,14.9761,14.9799,14.922,14.9753,655024
2019-11-05 10:25:00,14.9768,15.05,14.94,14.94,562878
2019-11-05 10:30:00,14.94,15.01,14.93,15.01,330125
2019-11-05 10:35:00,15.0,15.04,14.99,15.037,223309
2019-11-05 10:40:00,15.03,15.07,15.03,15.06,272604
2019-11-05 10:45:00,15.06,15.12,15.06,15.065,312782
2019-11-05 10:50:00,15.065,15.07,14.94,14.95,346891
2019-11-05 10:55:00,14.95,14.9659,14.92,14.93,225566
2019-11-05 11:00:00,14.93,14.93,14.9,14.91,183458
2019-11-05 11:05:00,14.9105,14.9645,14.8945,14.9467,494127
2019-11-05 11:10:00,14.9432,14.97,14.935,14.9438,189854
2019-11-05 11:15:00,14.9458,14.9644,14.9394,14.9506,110102
2019-11-05 11:20:00,14.95,14.95,14.93,14.93,15197
2019-11-05 11:25:00,14.9344,15.0,14.93,14.94,437349
2019-11-05 11:30:00,14.93,14.99,14.93,14.9899,118264
2019-11-05 11:35:00,14.99,15.0,14.985,15.0,109942
2019-11-05 11:40:00,15.0,15.015,15.0,15.003,157283
2019-11-05 11:45:00,15.0012,15.05,15.0012,15.045,148225
2019-11-05 11:50:00,15.0475,15.0501,15.01,15.0205,283306
2019-11-05 11:55:00,15.03,15.07,15.02,15.06,173009
2019-11-05 12:00:00,15.06,15.0701,15.06,15.07,64072
2019-11-05 12:05:00,15.0806,15.1145,15.0645,15.0906,303649
2019-11-05 12:10:00,15.09,15.095,15.085,15.09,127080
2019-11-05 12:15:00,15.0956,15.1145,15.0944,15.1006,92391
2019-11-05 12:20:00,15.0905,15.095,15.08,15.0855,155216
2019-11-05 12:25:00,15.0848,15.09,15.055,15.055,160839
2019-11-05 12:30:00,15.05,15.06,15.04,15.06,52806
2019-11-05 12:35:00,15.06,15.09,15.06,15.07,112946
2019-11-05 12:40:00,15.0805,15.1147,15.0747,15.0955,224184
2019-11-05 12:45:00,15.09,15.1,15.0848,15.095,104374
2019-11-05 12:50:00,15.095,15.1,15.025,15.025,105537
2019-11-05 12:55:00,15.03,15.03,15.0,15.01,89474
2019-11-05 13:00:00,15.02,15.03,15.01,15.02,53528
2019-11-05 13:05:00,15.02,15.02,14.99,14.995,221398
2019-11-05 13:10:00,15.0,15.0,14.96,14.9668,278527
2019-11-05 13:15:00,14.9699,15.0,14.96,14.977,157628
2019-11-05 13:20:00,14.9702,14.99,14.955,14.9752,110250
2019-11-05 13:25:00,14.97,14.99,14.9622,14.99,57755
2019-11-05 13:30:00,14.99,15.03,14.99,15.025,99125
2019-11-05 13:35:00,15.03,15.03,15.0,15.0,80870
2019-11-05 13:40:00,15.0048,15.02,15.0,15.015,42859
2019-11-05 13:45:00,15.015,15.02,15.01,15.02,39461
2019-11-05 13:50:00,15.0206,15.0444,15.0194,15.0281,99270
2019-11-05 13:55:00,15.03,15.03,15.01,15.01,48554
2019-11-05 14:00:00,15.01,15.015,14.98,14.98,111674
2019-11-05 14:05:00,14.98,14.98,14.97,14.97,37099
2019-11-05 14:10:00,14.975,15.0,14.975,14.995,75586
2019-11-05 14:15:00,14.99,14.995999999999999,14.98,14.99,92943
2019-11-05 14:20:00,14.99,14.99,14.975,14.9767,62960
2019-11-05 14:25:00,14.97,14.975,14.96,14.97,52256
2019-11-05 14:30:00,14.96,14.9696,14.96,14.96,40709
2019-11-05 14:35:00,14.96,14.97,14.94,14.95,146197
2019-11-05 14:40:00,14.95,14.96,14.95,14.95,51214
2019-11-05 14:45:00,14.9548,15.0,14.95,14.9921,140504
2019-11-05 14:50:00,14.9999,15.0,14.98,14.99,157012
2019-11-05 14:55:00,14.9955,14.9976,14.98,14.9939,122803
2019-11-05 15:00:00,14.99,14.99,14.95,14.95,432914
2019-11-05 15:05:00,14.96,14.97,14.94,14.96,114926
2019-11-05 15:10:00,14.97,14.97,14.94,14.94,91356
2019-11-05 15:15:00,14.94,14.98,14.94,14.96,126106
2019-11-05 15:20:00,14.96,14.98,14.96,14.975,88269
2019-11-05 15:25:00,14.97,14.975,14.96,14.965,114086
2019-11-05 15:30:00,14.96,14.965,14.92,14.92,129970
2019-11-05 15:35:00,14.92,14.95,14.91,14.915,207770
2019-11-05 15:40:00,14.92,14.92,14.88,14.89,321527
2019-11-05 15:45:00,14.8912,14.8999,14.87,14.875,348150
2019-11-05 15:50:00,14.88,14.89,14.82,14.84,645692
2019-11-05 15:55:00,14.83,14.88,14.83,14.88,558815
2019-11-05 16:00:00,14.88,14.88,14.83,14.83,870740
2019-11-06 09:35:00,14.87,14.88,14.73,14.74,590328
2019-11-06 09:40:00,14.75,14.82,14.73,14.74,289848
2019-11-06 09:45:00,14.7406,14.7741,14.674,14.6805,369279
2019-11-06 09:50:00,14.68,14.72,14.61,14.6136,325013
2019-11-06 09:55:00,14.6205,14.6343,14.5042,14.5805,698131
2019-11-06 10:00:00,14.58,14.58,14.49,14.5,536430
2019-11-06 10:05:00,14.5005,14.6292,14.4841,14.5955,506069
2019-11-06 10:10:00,14.59,14.64,14.59,14.64,338997
2019-11-06 10:15:00,14.6356,14.6641,14.609000000000002,14.6306,233686
2019-11-06 10:20:00,14.6305,14.69,14.61,14.6405,307461
2019-11-06 10:25:00,14.64,14.65,14.57,14.57,210953
2019-11-06 10:30:00,14.5705,14.5901,14.5435,14.5505,312546
2019-11-06 10:35:00,14.54,14.54,14.51,14.51,451167
2019-11-06 10:40:00,14.5102,14.5626,14.5025,14.5352,193599
2019-11-06 10:45:00,14.535,14.555,14.5304,14.5304,148587
2019-11-06 10:50:00,14.5311,14.56,14.51,14.5505,195163
2019-11-06 10:55:00,14.5506,14.5741,14.5341,14.5354,115048
2019-11-06 11:00:00,14.54,14.54,14.5,14.5,131705
2019-11-06 11:05:00,14.5,14.515,14.5,14.51,154799
2019-11-06 11:10:00,14.5,14.505,14.47,14.47,243660
2019-11-06 11:15:00,14.4706,14.5039,14.3437,14.3856,860650
2019-11-06 11:20:00,14.39,14.395,14.35,14.35,280084
2019-11-06 11:25:00,14.35,14.355,14.29,14.29,367901
2019-11-06 11:30:00,14.3302,14.3524,14.2423,14.2702,748119
2019-11-06 11:35:00,14.27,14.31,14.27,14.31,270120
2019-11-06 11:40:00,14.3,14.3896,14.3,14.3736,262418
2019-11-06 11:45:00,14.3735,14.4,14.32,14.33,391436
2019-11-06 11:50:00,14.33,14.38,14.32,14.37,211453
2019-11-06 11:55:00,14.36,14.4189,14.35,14.4189,308737
2019-11-06 12:00:00,14.41,14.46,14.41,14.44,205960
2019-11-06 12:05:00,14.45,14.465,14.44,14.46,207888
2019-11-06 12:10:00,14.4562,14.4754,14.45,14.475,141564
2019-11-06 12:15:00,14.47,14.48,14.44,14.44,126460
2019-11-06 12:20:00,14.445,14.45,14.41,14.42,73364
2019-11-06 12:25:00,14.43,14.43,14.4,14.41,103168
2019-11-06 12:30:00,14.4055,14.4099,14.39,14.4005,197773
2019-11-06 12:35:00,14.4,14.415,14.39,14.415,70811
2019-11-06 12:40:00,14.42,14.45,14.41,14.445,79557
2019-11-06 12:45:00,14.44,14.49,14.44,14.485,114401
2019-11-06 12:50:00,14.4801,14.485,14.45,14.46,101942
2019-11-06 12:55:00,14.46,14.47,14.45,14.455,93406
2019-11-06 13:00:00,14.46,14.49,14.46,14.49,110724
2019-11-06 13:05:00,14.4942,14.535,14.49,14.535,212209
2019-11-06 13:10:00,14.53,14.55,14.52,14.545,130446
2019-11-06 13:15:00,14.5438,14.5438,14.51,14.51,95125
2019-11-06 13:20:00,14.52,14.525,14.5,14.5099,41147
2019-11-06 13:25:00,14.51,14.52,14.5,14.51,117479
2019-11-06 13:30:00,14.51,14.52,14.5,14.5,48598
2019-11-06 13:35:00,14.495,14.5,14.47,14.47,79767
2019-11-06 13:40:00,14.47,14.48,14.43,14.435,298776
2019-11-06 13:45:00,14.44,14.448,14.42,14.42,189899
2019-11-06 13:50:00,14.42,14.45,14.42,14.427,76558
2019-11-06 13:55:00,14.43,14.445,14.43,14.43,152147
2019-11-06 14:00:00,14.43,14.43,14.41,14.43,227616
2019-11-06 14:05:00,14.43,14.44,14.4,14.42,228913
2019-11-06 14:10:00,14.41,14.42,14.38,14.385,309715
2019-11-06 14:15:00,14.3804,14.4039,14.354,14.3604,354378
2019-11-06 14:20:00,14.3606,14.3692,14.3159,14.3256,375802
2019-11-06 14:25:00,14.325,14.33,14.32,14.33,201733
2019-11-06 14:30:00,14.3356,14.4038,14.3237,14.3806,1260513
2019-11-06 14:35:00,14.3741,14.4035,14.3634,14.3905,201273
2019-11-06 14:40:00,14.39,14.44,14.39,14.4104,249983
2019-11-06 14:45:00,14.4153,14.42,14.4,14.4,146230
2019-11-06 14:50:00,14.41,14.45,14.41,14.43,214160
