,open,high,low,close,volume
2019-11-04 14:15:00,156.75,156.82,156.69,156.7663,11606
2019-11-04 14:20:00,156.8,156.87,156.73,156.8,9489
2019-11-04 14:25:00,156.76,156.815,156.6384,156.815,15864
2019-11-04 14:30:00,156.8,156.96,156.79,156.96,9647
2019-11-04 14:35:00,156.94,157.015,156.71,156.73,12676
2019-11-04 14:40:00,156.7145,156.99,156.7145,156.99,9216
2019-11-04 14:45:00,157.0531,157.2036,156.9935,157.0831,6856
2019-11-04 14:50:00,157.07,157.27,157.07,157.23,11446
2019-11-04 14:55:00,157.195,157.37,157.195,157.34,10409
2019-11-04 15:00:00,157.35,157.37,157.345,157.37,12035
2019-11-04 15:05:00,157.405,157.6545,157.3342,157.405,19445
2019-11-04 15:10:00,157.41,157.6325,157.41,157.63,19872
2019-11-04 15:15:00,157.63,157.65,157.49,157.49,19506
2019-11-04 15:20:00,157.5053,157.565,157.47,157.48,17109
2019-11-04 15:25:00,157.45,157.58,157.40200000000004,157.47,19080
2019-11-04 15:30:00,157.48,157.63,157.48,157.57,17720
2019-11-04 15:35:00,157.585,157.64,157.3,157.33,33688
2019-11-04 15:40:00,157.295,157.55,157.29,157.55,39271
2019-11-04 15:45:00,157.57,157.76,157.57,157.71,38991
2019-11-04 15:50:00,157.715,158.16,157.7,158.105,67473
2019-11-04 15:55:00,158.1,158.26,158.095,158.16,87905
2019-11-04 16:00:00,158.11,158.39,158.06,158.06,132910
2019-11-05 09:35:00,158.0051,158.15,157.835,157.8601,28986
2019-11-05 09:40:00,157.86,158.1223,156.87,156.87,27372
2019-11-05 09:45:00,156.78,156.97,156.66,156.97,6543
2019-11-05 09:50:00,157.05,157.27,156.98,157.23,15129
2019-11-05 09:55:00,157.1663,157.345,156.81,156.9463,25266
2019-11-05 10:00:00,156.93,157.33,156.82,156.96,25584
2019-11-05 10:05:00,157.1026,157.31,156.84,157.1426,18398
2019-11-05 10:10:00,157.23,157.27,156.97,156.97,15413
2019-11-05 10:15:00,157.0051,157.423,156.9926,157.2651,6312
2019-11-05 10:20:00,157.2,157.46,157.175,157.3244,14507
2019-11-05 10:25:00,157.32,157.45,157.25,157.39,10480
2019-11-05 10:30:00,157.352,157.495,157.26,157.4394,20344
2019-11-05 10:35:00,157.43,157.54,157.31,157.48,19470
2019-11-05 10:40:00,157.49,157.58,157.17,157.18,10826
2019-11-05 10:45:00,157.18,157.32,156.9,156.94,24633
2019-11-05 10:50:00,156.95,157.06,156.845,157.06,18977
2019-11-05 10:55:00,157.093,157.4,157.093,157.34,6976
2019-11-05 11:00:00,157.38,157.42,157.32,157.32,12130
2019-11-05 11:05:00,157.3651,157.5832,157.35299999999995,157.4151,26511
2019-11-05 11:10:00,157.4,157.5,157.37,157.44,31043
2019-11-05 11:15:00,157.46,157.85,157.46,157.85,25252
2019-11-05 11:20:00,157.84,158.2,157.8272,158.1,16414
2019-11-05 11:25:00,158.1363,158.3115,157.9962,157.9963,34681
2019-11-05 11:30:00,158.0,158.0,157.56,157.66,29448
2019-11-05 11:35:00,157.62,158.14,157.59,158.07,37233
2019-11-05 11:40:00,158.05,158.35,158.015,158.31,29345
2019-11-05 11:45:00,158.315,158.37,158.015,158.015,29534
2019-11-05 11:50:00,157.9751,158.1337,157.7533,157.7751,17520
2019-11-05 11:55:00,157.766,157.8,157.23,157.35,14479
2019-11-05 12:00:00,157.39,157.41,157.13,157.37,29160
2019-11-05 12:05:00,157.37,157.58,157.21,157.28,29998
2019-11-05 12:10:00,157.251,157.28,157.12,157.24,12666
2019-11-05 12:15:00,157.19,157.28,157.05,157.18,12833
2019-11-05 12:20:00,157.15,157.22,157.14,157.18,12984
2019-11-05 12:25:00,157.15,157.25,157.135,157.135,8133
2019-11-05 12:30:00,157.1,157.19,157.08,157.08,10431
2019-11-05 12:35:00,157.01,157.01,156.63,156.65,20210
2019-11-05 12:40:00,156.62,156.73,156.61,156.71,11351
2019-11-05 12:45:00,156.715,156.715,156.6,156.64,8311
2019-11-05 12:50:00,156.65,157.01,156.63,157.01,17257
2019-11-05 12:55:00,156.98,157.01,156.82,156.9,9465
2019-11-05 13:00:00,156.91,156.92,156.54,156.58,13946
2019-11-05 13:05:00,156.5363,156.69,156.4197,156.4463,12761
2019-11-05 13:10:00,156.44,156.44,155.98,156.06,22425
2019-11-05 13:15:00,156.08,156.095,155.95,155.9596,10573
2019-11-05 13:20:00,155.95,155.988,155.85,155.85,8936
2019-11-05 13:25:00,155.76,155.76,155.52,155.56,9139
2019-11-05 13:30:00,155.58,155.77,155.535,155.71,12427
2019-11-05 13:35:00,155.69,155.97,155.66,155.9501,17231
2019-11-05 13:40:00,156.02,156.12,155.99,156.12,9303
2019-11-05 13:45:00,156.12,156.27,156.08,156.17,21023
2019-11-05 13:50:00,156.18,156.2,155.71,155.74,21646
2019-11-05 13:55:00,155.78,156.09,155.78,156.09,9717
2019-11-05 14:00:00,156.16,156.18,155.98,156.08,18432
2019-11-05 14:05:00,156.08,156.08,155.84,155.92,9010
2019-11-05 14:10:00,155.98,156.13,155.98,156.0912,8801
2019-11-05 14:15:00,156.07,156.18,156.01,156.18,11005
2019-11-05 14:20:00,156.16,156.39,156.115,156.39,12574
2019-11-05 14:25:00,156.4,156.55,156.32,156.5379,9594
2019-11-05 14:30:00,156.5,156.655,156.5,156.59,15160
2019-11-05 14:35:00,156.59,156.62,156.44,156.5219,10854
2019-11-05 14:40:00,156.54,156.775,156.54,156.76,10822
2019-11-05 14:45:00,156.76,156.86,156.76,156.85,9748
2019-11-05 14:50:00,156.87,156.92,156.75,156.845,12714
2019-11-05 14:55:00,156.875,156.88,156.71,156.75,11650
2019-11-05 15:00:00,156.72,156.79,156.72,156.77,10023
2019-11-05 15:05:00,156.78,156.795,156.54,156.54,14308
2019-11-05 15:10:00,156.51,156.68,156.48,156.68,11066
2019-11-05 15:15:00,156.695,156.78,156.69,156.75,12166
2019-11-05 15:20:00,156.805,156.85,156.73,156.8,10363
2019-11-05 15:25:00,156.79,156.82,156.755,156.81,11935
2019-11-05 15:30:00,156.81,156.81,156.54,156.56,15139
2019-11-05 15:35:00,156.58,156.66,156.57,156.66,15549
2019-11-05 15:40:00,156.68,156.68,156.48,156.53,22160
2019-11-05 15:45:00,156.52,156.53,156.38,156.38,17178
2019-11-05 15:50:00,156.37,156.54,156.335,156.42,28522
2019-11-05 15:55:00,156.46,156.66,156.46,156.66,37068
2019-11-05 16:00:00,156.66,156.67,156.34,156.4,94360
2019-11-06 09:35:00,156.51,156.63,156.27,156.27,13683
2019-11-06 09:40:00,156.1658,156.3063,155.4555,155.7708,24198
2019-11-06 09:45:00,155.9163,156.8501,155.9142,156.2663,20901
2019-11-06 09:50:00,156.3956,156.5353,156.0148,156.3556,14089
2019-11-06 09:55:00,156.39,156.77,156.2675,156.37,11714
2019-11-06 10:00:00,156.2897,157.02,156.2897,156.685,17346
2019-11-06 10:05:00,156.61,156.635,156.5,156.53,9274
2019-11-06 10:10:00,156.62,156.95,156.62,156.8,15031
2019-11-06 10:15:00,156.87,157.15,156.76,157.15,13431
2019-11-06 10:20:00,157.17,157.5,157.04,157.24,29972
2019-11-06 10:25:00,157.18,157.37,156.71,156.77,15516
2019-11-06 10:30:00,156.7756,156.78,156.725,156.7356,24002
2019-11-06 10:35:00,156.665,156.79,156.46,156.77,35047
2019-11-06 10:40:00,156.74,156.77,156.49,156.49,12917
2019-11-06 10:45:00,156.49,156.62,156.45,156.55,15750
2019-11-06 10:50:00,156.57,156.5748,156.2368,156.26,13235
2019-11-06 10:55:00,156.2991,156.4715,155.8909,155.9941,65200
2019-11-06 11:00:00,155.99,156.05,155.895,156.05,75816
2019-11-06 11:05:00,156.2,156.57,156.16,156.35,12742
2019-11-06 11:10:00,156.2858,156.4665,155.95600000000005,155.9858,33158
2019-11-06 11:15:00,156.07,156.1077,155.72,155.74,14153
2019-11-06 11:20:00,155.71,155.73,155.22,155.23,28597
2019-11-06 11:25:00,155.15,155.27,155.14,155.27,23668
2019-11-06 11:30:00,155.26,155.44,155.17,155.24,65705
2019-11-06 11:35:00,155.235,155.42,155.21,155.23,12529
2019-11-06 11:40:00,155.24,155.33,155.2,155.25,12131
2019-11-06 11:45:00,155.23,155.33,155.11,155.17,19282
2019-11-06 11:50:00,155.2,155.48,155.16,155.405,14892
2019-11-06 11:55:00,155.36,155.39,155.35,155.37,12713
2019-11-06 12:00:00,155.37,155.49,155.35,155.42,13609
2019-11-06 12:05:00,155.43,155.575,155.39,155.575,9846
2019-11-06 12:10:00,155.6106,155.8647,155.5894,155.6856,41164
2019-11-06 12:15:00,155.65,155.68,155.55,155.56,8589
2019-11-06 12:20:00,155.58,155.59,155.47,155.52,29108
2019-11-06 12:25:00,155.5,155.51,155.33,155.33,15583
2019-11-06 12:30:00,155.33,155.33,155.24,155.25,8191
2019-11-06 12:35:00,155.23,155.34,155.2,155.32,25541
2019-11-06 12:40:00,155.33,155.38,155.23,155.28,30435
2019-11-06 12:45:00,155.28,155.36,155.23,155.31,46040
2019-11-06 12:50:00,155.31,155.38,155.225,155.26,13035
2019-11-06 12:55:00,155.28,155.35,155.08,155.08,17359
2019-11-06 13:00:00,155.08,155.09,154.88,154.9,12096
2019-11-06 13:05:00,154.8849,155.2508,154.8117,155.1035,19419
