,open,high,low,close,volume
2019-11-04 14:15:00,8.405,8.435,8.4,8.405,49397
2019-11-04 14:20:00,8.4201,8.4273,8.3873,8.3901,46810
2019-11-04 14:25:00,8.39,8.4,8.36,8.36,81132
2019-11-04 14:30:00,8.3703,8.3882,8.3431,8.3603,95244
2019-11-04 14:35:00,8.3652,8.37,8.355,8.3552,49499
2019-11-04 14:40:00,8.355,8.37,8.35,8.36,27880
2019-11-04 14:45:00,8.3652,8.3799,8.36,8.3602,67243
2019-11-04 14:50:00,8.36,8.39,8.355,8.39,43914
2019-11-04 14:55:00,8.3953,8.4029,8.3678,8.3953,38675
2019-11-04 15:00:00,8.39,8.3977,8.39,8.39,60598
2019-11-04 15:05:00,8.4003,8.4082,8.3882,8.3903,45192
2019-11-04 15:10:00,8.395,8.4157,8.395,8.405,50094
2019-11-04 15:15:00,8.41,8.41,8.38,8.4,43624
2019-11-04 15:20:00,8.3953,8.4032,8.3681,8.3703,43086
2019-11-04 15:25:00,8.37,8.39,8.37,8.3894,35035
2019-11-04 15:30:00,8.3804,8.39,8.365,8.3703,89320
2019-11-04 15:35:00,8.37,8.38,8.35,8.355,53326
2019-11-04 15:40:00,8.355,8.37,8.35,8.37,50364
2019-11-04 15:45:00,8.365,8.38,8.36,8.37,44399
2019-11-04 15:50:00,8.3753,8.3774,8.36,8.3703,70936
2019-11-04 15:55:00,8.37,8.375,8.33,8.33,197808
2019-11-04 16:00:00,8.33,8.33,8.28,8.31,434640
2019-11-05 09:35:00,8.1981,8.208,8.0428,8.1103,291309
2019-11-05 09:40:00,8.13,8.29,8.13,8.26,148905
2019-11-05 09:45:00,8.2553,8.37,8.23,8.3603,120945
2019-11-05 09:50:00,8.3607,8.39,8.33,8.3753,76099
2019-11-05 09:55:00,8.365,8.39,8.34,8.365,63059
2019-11-05 10:00:00,8.37,8.42,8.37,8.41,104167
2019-11-05 10:05:00,8.4201,8.4974,8.3973,8.4251,91101
2019-11-05 10:10:00,8.4229,8.4309,8.3581,8.3752,43695
2019-11-05 10:15:00,8.3703,8.39,8.31,8.3553,78465
2019-11-05 10:20:00,8.3552,8.36,8.325,8.3552,32511
2019-11-05 10:25:00,8.355,8.4,8.35,8.37,49490
2019-11-05 10:30:00,8.3753,8.3963,8.35,8.3803,57220
2019-11-05 10:35:00,8.38,8.43,8.38,8.405,33008
2019-11-05 10:40:00,8.4,8.43,8.4,8.425,22677
2019-11-05 10:45:00,8.42,8.465,8.42,8.452,37696
2019-11-05 10:50:00,8.4601,8.4974,8.4573,8.4751,67585
2019-11-05 10:55:00,8.48,8.49,8.45,8.47,65380
2019-11-05 11:00:00,8.47,8.48,8.47,8.47,36357
2019-11-05 11:05:00,8.4803,8.4883,8.4782,8.4803,28978
2019-11-05 11:10:00,8.47,8.48,8.43,8.435,43802
2019-11-05 11:15:00,8.43,8.46,8.43,8.4411,25527
2019-11-05 11:20:00,8.445,8.49,8.4438,8.48,51190
2019-11-05 11:25:00,8.4773,8.53,8.47,8.52,49270
2019-11-05 11:30:00,8.5303,8.5479,8.5279,8.5403,62152
2019-11-05 11:35:00,8.5353,8.5584,8.5183,8.5496,69998
2019-11-05 11:40:00,8.545,8.61,8.54,8.61,108120
2019-11-05 11:45:00,8.61,8.64,8.6,8.62,52231
2019-11-05 11:50:00,8.6103,8.6184,8.5683,8.5703,36816
2019-11-05 11:55:00,8.5702,8.5883,8.5683,8.5802,14922
2019-11-05 12:00:00,8.58,8.6,8.575,8.58,23649
2019-11-05 12:05:00,8.5754,8.5883,8.5682,8.5804,17273
2019-11-05 12:10:00,8.5803,8.59,8.565,8.5803,18385
2019-11-05 12:15:00,8.5803,8.6032,8.5782,8.5953,17568
2019-11-05 12:20:00,8.5906,8.5979,8.5818,8.5821,22869
2019-11-05 12:25:00,8.58,8.615,8.58,8.585,36929
2019-11-05 12:30:00,8.5801,8.595,8.575,8.58,11687
2019-11-05 12:35:00,8.59,8.59,8.54,8.54,30016
2019-11-05 12:40:00,8.54,8.5553,8.53,8.535,18867
