,open,high,low,close,volume
2019-11-04 14:15:00,307.45,307.48,307.45,307.47,163834
2019-11-04 14:20:00,307.465,307.49,307.431,307.49,218363
2019-11-04 14:25:00,307.485,307.56,307.47,307.55,684120
2019-11-04 14:30:00,307.56,307.578,307.545,307.575,223337
2019-11-04 14:35:00,307.58,307.61,307.55,307.61,262313
2019-11-04 14:40:00,307.605,307.626,307.595,307.61,324174
2019-11-04 14:45:00,307.61,307.61,307.54,307.54,242453
2019-11-04 14:50:00,307.54,307.56,307.47,307.49,290566
2019-11-04 14:55:00,307.48,307.505,307.39,307.44,409592
2019-11-04 15:00:00,307.44,307.445,307.39,307.42,228153
2019-11-04 15:05:00,307.41,307.43,307.28,307.3,390756
2019-11-04 15:10:00,307.31,307.335,307.255,307.285,318171
2019-11-04 15:15:00,307.28,307.285,307.0,307.01,598411
2019-11-04 15:20:00,307.019,307.14,306.96,307.12,584737
2019-11-04 15:25:00,307.1164,307.32,307.09,307.265,1499436
2019-11-04 15:30:00,307.265,307.285,307.005,307.06,604020
2019-11-04 15:35:00,307.07,307.2,307.02,307.14,622535
2019-11-04 15:40:00,307.15,307.15,306.98,307.03,570577
2019-11-04 15:45:00,307.02,307.22,307.01,307.165,795802
2019-11-04 15:50:00,307.16,307.24,307.12,307.23,704131
2019-11-04 15:55:00,307.24,307.51,307.2,307.3421,1983093
2019-11-04 16:00:00,307.35,307.39,307.21,307.36,3094662
2019-11-05 09:35:00,307.65,307.67,307.33,307.4,2111348
2019-11-05 09:40:00,307.41,307.46,307.21,307.27,635906
2019-11-05 09:45:00,307.27,307.39,307.24,307.39,529595
2019-11-05 09:50:00,307.4,307.41,307.21,307.3866,561944
2019-11-05 09:55:00,307.38,307.442,307.37,307.437,404544
2019-11-05 10:00:00,307.43,307.52,307.35,307.38,414739
2019-11-05 10:05:00,307.4,307.9195,307.4,307.72,1123607
2019-11-05 10:10:00,307.72,307.72,307.115,307.26,855446
2019-11-05 10:15:00,307.245,307.25,306.82,307.06,1234781
2019-11-05 10:20:00,307.065,307.112,306.92,307.095,794711
2019-11-05 10:25:00,307.09,307.21,307.05,307.055,510525
2019-11-05 10:30:00,307.05,307.07,306.82,306.92,358011
2019-11-05 10:35:00,306.91,307.02,306.91,306.94,360752
2019-11-05 10:40:00,306.9234,307.135,306.9234,306.98,376751
2019-11-05 10:45:00,306.97,307.08,306.77,306.8,514711
2019-11-05 10:50:00,306.8,306.877,306.73,306.7931,914884
2019-11-05 10:55:00,306.8,306.96,306.765,306.82,236764
2019-11-05 11:00:00,306.83,307.02,306.83,306.91,186971
2019-11-05 11:05:00,306.92,307.12,306.91,307.03,523476
2019-11-05 11:10:00,307.04,307.165,307.027,307.14,528617
2019-11-05 11:15:00,307.14,307.2,307.12,307.15,238054
2019-11-05 11:20:00,307.16,307.32,307.15,307.27,184259
2019-11-05 11:25:00,307.09,307.1225,307.03,307.0868,598331
2019-11-05 11:30:00,307.08,307.16,307.03,307.1246,340254
2019-11-05 11:35:00,307.1293,307.15,307.04,307.13,212558
2019-11-05 11:40:00,307.14,307.2,307.04,307.04,304218
2019-11-05 11:45:00,307.035,307.05,306.95,307.0,205726
2019-11-05 11:50:00,307.01,307.04,306.8593,306.86,206958
2019-11-05 11:55:00,306.86,307.0,306.83,306.94,332696
2019-11-05 12:00:00,306.95,307.09,306.92,307.01,428248
2019-11-05 12:05:00,307.02,307.125,306.97,307.1,375244
2019-11-05 12:10:00,307.08,307.14,307.01,307.1,206432
2019-11-05 12:15:00,307.1,307.13,306.9,306.92,417428
2019-11-05 12:20:00,306.92,306.94,306.88,306.88,678922
2019-11-05 12:25:00,306.885,306.99,306.75,306.77,344036
2019-11-05 12:30:00,306.775,306.845,306.76,306.81,360145
2019-11-05 12:35:00,306.805,306.815,306.76,306.77,750346
2019-11-05 12:40:00,306.78,306.93,306.76,306.91,433244
2019-11-05 12:45:00,306.91,307.1,306.91,307.095,372219
2019-11-05 12:50:00,307.0946,307.165,307.093,307.105,170075
2019-11-05 12:55:00,307.1,307.23,307.09,307.21,262016
2019-11-05 13:00:00,307.2,307.3,307.2,307.295,499497
2019-11-05 13:05:00,307.29,307.29,307.18,307.23,589638
2019-11-05 13:10:00,307.22,307.28,307.19,307.2,203987
2019-11-05 13:15:00,307.21,307.42,307.21,307.37,285453
2019-11-05 13:20:00,307.37,307.38599999999997,307.33,307.35,283934
2019-11-05 13:25:00,307.35,307.36,307.27,307.31,179895
2019-11-05 13:30:00,307.32,307.35,307.28,307.2801,186691
2019-11-05 13:35:00,307.28,307.36,307.22,307.345,363649
2019-11-05 13:40:00,307.35,307.355,307.17,307.25,329595
2019-11-05 13:45:00,307.26,307.33,307.24,307.2874,130714
2019-11-05 13:50:00,307.29,307.295,307.21,307.23,140448
2019-11-05 13:55:00,307.24,307.33,307.22,307.3,141703
2019-11-05 14:00:00,307.3,307.42,307.3,307.31,227357
2019-11-05 14:05:00,307.315,307.32,307.255,307.31,201986
2019-11-05 14:10:00,307.32,307.4225,307.305,307.41,128818
2019-11-05 14:15:00,307.415,307.48,307.41,307.43,255243
2019-11-05 14:20:00,307.44,307.5,307.42,307.45,194305
2019-11-05 14:25:00,307.46,307.47,307.38,307.41,157083
2019-11-05 14:30:00,307.405,307.416,307.4,307.41,107948
2019-11-05 14:35:00,307.41,307.486,307.38,307.425,249312
2019-11-05 14:40:00,307.425,307.46,307.32,307.33,245191
2019-11-05 14:45:00,307.32,307.37,307.28,307.34,210173
2019-11-05 14:50:00,307.34,307.38,307.31,307.38,116407
2019-11-05 14:55:00,307.37,307.4,307.35,307.3999,131961
2019-11-05 15:00:00,307.39,307.42,307.365,307.38,212612
2019-11-05 15:05:00,307.385,307.39,307.32,307.3744,1180734
2019-11-05 15:10:00,307.375,307.39,307.24,307.36,358366
2019-11-05 15:15:00,307.36,307.365,307.24,307.27,982128
2019-11-05 15:20:00,307.27,307.28,307.16,307.21,374217
2019-11-05 15:25:00,307.21,307.37,307.185,307.37,448837
2019-11-05 15:30:00,307.37,307.37,307.17,307.17,401468
2019-11-05 15:35:00,307.17,307.24,307.025,307.14,934010
2019-11-05 15:40:00,307.14,307.35,307.1,307.33,859856
