,open,high,low,close,volume
2019-11-04 14:15:00,62.765,62.79,62.76,62.78,25673
2019-11-04 14:20:00,62.79,62.9264,62.7868,62.9264,65892
2019-11-04 14:25:00,62.925,63.0076,62.9224,63.0076,63096
2019-11-04 14:30:00,63.01,63.0299,62.85,62.89,74853
2019-11-04 14:35:00,62.9,62.9,62.84,62.88,26062
2019-11-04 14:40:00,62.88,62.9,62.8628,62.895,32174
2019-11-04 14:45:00,62.895,62.8968,62.78,62.79,42660
2019-11-04 14:50:00,62.785,62.7911,62.7,62.71,36824
2019-11-04 14:55:00,62.7055,62.715,62.6702,62.7065,54337
2019-11-04 15:00:00,62.71,62.72,62.6,62.67,45990
2019-11-04 15:05:00,62.668,62.668,62.56,62.585,73452
2019-11-04 15:10:00,62.59,62.65,62.56,62.61,44453
2019-11-04 15:15:00,62.6,62.605,62.49,62.5007,134917
2019-11-04 15:20:00,62.51,62.562,62.505,62.51,70232
2019-11-04 15:25:00,62.51,62.63,62.5,62.615,54954
2019-11-04 15:30:00,62.6187,62.6187,62.49,62.515,77219
2019-11-04 15:35:00,62.51,62.64,62.495,62.58,70289
2019-11-04 15:40:00,62.58,62.585,62.51,62.545,72394
2019-11-04 15:45:00,62.54,62.63,62.535,62.605,66120
2019-11-04 15:50:00,62.61,62.62,62.54,62.575,85463
2019-11-04 15:55:00,62.57,62.64,62.505,62.51,150701
2019-11-04 16:00:00,62.51,62.53,62.36,62.39,317398
2019-11-05 09:35:00,62.382,62.42,61.8714,61.931999999999995,326859
2019-11-05 09:40:00,61.9512,62.0188,60.9579,61.0012,308025
2019-11-05 09:45:00,61.0204,61.04,60.28,60.2968,282832
2019-11-05 09:50:00,60.3122,60.37,60.24,60.3122,296630
2019-11-05 09:55:00,60.3224,60.4779,59.9674,60.0624,356776
2019-11-05 10:00:00,60.08,60.63,60.08,60.62,214601
2019-11-05 10:05:00,60.611000000000004,61.0528,60.5944,60.89100000000001,339821
2019-11-05 10:10:00,60.9216,60.93,60.5301,60.5315,241334
2019-11-05 10:15:00,60.5021,60.5789,60.1585,60.442,156145
2019-11-05 10:20:00,60.4398,60.4904,60.31,60.33,86200
2019-11-05 10:25:00,60.325,60.41,60.18,60.1815,150513
2019-11-05 10:30:00,60.1742,60.2864,60.1163,60.1722,90835
2019-11-05 10:35:00,60.17,60.24,60.13800000000001,60.13800000000001,86377
2019-11-05 10:40:00,60.12,60.49,60.12,60.49,97189
2019-11-05 10:45:00,60.5,60.59,60.4448,60.47,97778
2019-11-05 10:50:00,60.45,60.5435,60.15,60.17,78359
2019-11-05 10:55:00,60.16,60.242,60.0,60.03,94051
2019-11-05 11:00:00,60.04,60.38,60.04,60.37,47885
2019-11-05 11:05:00,60.405,60.41,60.315,60.35,72781
2019-11-05 11:10:00,60.34,60.47,60.3254,60.465,49225
2019-11-05 11:15:00,60.4625,60.6183,60.4181,60.5172,55464
2019-11-05 11:20:00,60.538000000000004,60.7084,60.5374,60.7,95113
2019-11-05 11:25:00,60.6974,60.8332,60.6581,60.7324,97280
2019-11-05 11:30:00,60.735,61.03,60.735,61.02,125193
2019-11-05 11:35:00,61.0198,61.04,61.0,61.0319,118240
2019-11-05 11:40:00,61.04,61.14,60.995,60.9977,73367
2019-11-05 11:45:00,60.98,61.0256,60.9101,60.99,80951
2019-11-05 11:50:00,60.992,61.0894,60.8869,60.942,53137
2019-11-05 11:55:00,60.94,61.25,60.92,61.24,103215
2019-11-05 12:00:00,61.24,61.31,61.18,61.31,60367
2019-11-05 12:05:00,61.3226,61.33,61.18,61.2176,65550
2019-11-05 12:10:00,61.2223,61.25,61.16,61.2076,114449
2019-11-05 12:15:00,61.2019,61.25,61.1859,61.25,55998
2019-11-05 12:20:00,61.2522,61.4099,61.21,61.3822,108021
2019-11-05 12:25:00,61.41,61.5,61.33,61.35,73270
2019-11-05 12:30:00,61.351000000000006,61.4432,61.303999999999995,61.351000000000006,72223
2019-11-05 12:35:00,61.35,61.4,61.22,61.23,46439
2019-11-05 12:40:00,61.24,61.3162,61.23,61.23,45920
2019-11-05 12:45:00,61.247,61.3994,61.2393,61.3266,55034
2019-11-05 12:50:00,61.325,61.3258,61.19,61.19,21635
2019-11-05 12:55:00,61.19,61.19,61.04,61.06,60648
2019-11-05 13:00:00,61.06,61.115,61.06,61.11,33644
2019-11-05 13:05:00,61.11,61.13,61.02,61.04,34434
2019-11-05 13:10:00,61.04,61.09,61.03,61.05,27956
2019-11-05 13:15:00,61.05,61.115,61.045,61.1,20409
2019-11-05 13:20:00,61.11,61.25,61.11,61.21,55804
2019-11-05 13:25:00,61.19,61.24,61.18,61.23,35550
2019-11-05 13:30:00,61.232,61.2896,61.1294,61.172,34807
2019-11-05 13:35:00,61.16,61.16,61.14,61.155,35889
2019-11-05 13:40:00,61.15,61.1509,61.1,61.1,25486
2019-11-05 13:45:00,61.11,61.135,61.07,61.085,37721
2019-11-05 13:50:00,61.07,61.0792,61.0136,61.06,26786
2019-11-05 13:55:00,61.08,61.1635,61.065,61.15,28127
2019-11-05 14:00:00,61.16,61.16,61.1,61.11,28102
2019-11-05 14:05:00,61.13,61.14,61.03,61.05,44528
2019-11-05 14:10:00,61.05,61.17,61.05,61.135,27106
2019-11-05 14:15:00,61.135,61.145,61.1,61.11,29581
2019-11-05 14:20:00,61.1,61.14,61.1,61.12,49664
2019-11-05 14:25:00,61.11,61.1628,61.09,61.15,24916
2019-11-05 14:30:00,61.1526,61.18,61.1,61.138999999999996,37499
2019-11-05 14:35:00,61.14,61.144,61.06,61.08,30409
2019-11-05 14:40:00,61.0701,61.1,61.02,61.0264,33597
2019-11-05 14:45:00,61.0327,61.1773,61.0302,61.1123,58975
2019-11-05 14:50:00,61.1,61.18,61.06,61.16,34817
2019-11-05 14:55:00,61.16,61.17,61.13,61.14,38191
2019-11-05 15:00:00,61.14,61.15,61.11,61.15,30563
2019-11-05 15:05:00,61.15,61.155,61.05,61.07,105081
2019-11-05 15:10:00,61.085,61.12,61.0212,61.0212,205077
2019-11-05 15:15:00,61.0216,61.05,60.91,61.0416,80465
2019-11-05 15:20:00,61.04,61.05,60.99,61.035,63863
2019-11-05 15:25:00,61.03,61.045,61.0,61.025,54007
2019-11-05 15:30:00,61.025,61.03,60.88,60.9,93427
2019-11-05 15:35:00,60.9123,61.0471,60.847,60.9923,109816
2019-11-05 15:40:00,60.985,61.12,60.98,61.05,143106
2019-11-05 15:45:00,61.05,61.0703,61.015,61.035,94447
2019-11-05 15:50:00,61.035,61.035,61.005,61.02,100539
2019-11-05 15:55:00,61.01,61.065,60.995,61.015,180697
2019-11-05 16:00:00,61.02,61.06,61.0,61.05,0
2019-11-06 09:35:00,61.3326,61.9495,61.3089,61.8626,368271
2019-11-06 09:40:00,61.8884,61.988,61.3875,61.4823,152116
2019-11-06 09:45:00,61.52,61.56,61.3,61.31,101179
2019-11-06 09:50:00,61.3222,61.36,61.25,61.2622,115576
2019-11-06 09:55:00,61.25,61.25,61.03,61.045,132042
2019-11-06 10:00:00,61.04,61.27,61.03,61.15,78153
2019-11-06 10:05:00,61.15,61.25,61.15,61.17,79183
2019-11-06 10:10:00,61.1712,61.31,61.11,61.2712,117915
2019-11-06 10:15:00,61.2526,61.27,61.13,61.2026,79361
2019-11-06 10:20:00,61.2023,61.2623,61.1072,61.161,81190
2019-11-06 10:25:00,61.16,61.26,61.09,61.12,86721
2019-11-06 10:30:00,61.14,61.15,60.775,60.775,149253
2019-11-06 10:35:00,60.7758,60.9455,60.7696,60.8877,114499
2019-11-06 10:40:00,60.9,61.03,60.8701,60.98,73614
2019-11-06 10:45:00,60.9996,61.12,60.95,60.96,60736
2019-11-06 10:50:00,60.95,60.9814,60.91,60.94,81555
2019-11-06 10:55:00,60.94,60.9428,60.9,60.92,57554
2019-11-06 11:00:00,60.92,60.92,60.8978,60.91,50949
2019-11-06 11:05:00,60.905,61.29,60.905,61.2878,88422
2019-11-06 11:10:00,61.2823,61.3474,61.1673,61.1775,88798
2019-11-06 11:15:00,61.1825,61.2,61.14,61.1825,79230
2019-11-06 11:20:00,61.1972,61.265,61.1248,61.2022,180963
2019-11-06 11:25:00,61.2,61.27,61.145,61.145,118680
2019-11-06 11:30:00,61.145,61.16,60.92,60.96,166189
2019-11-06 11:35:00,60.96,61.13,60.955,61.025,103921
2019-11-06 11:40:00,61.0248,61.08,60.99,60.99,59054
2019-11-06 11:45:00,60.99,61.04,60.82,60.83,113735
2019-11-06 11:50:00,60.835,60.95,60.7,60.7,126728
2019-11-06 11:55:00,60.7012,60.7628,60.6256,60.6585,96487
2019-11-06 12:00:00,60.66,60.9,60.66,60.86,82535
2019-11-06 12:05:00,60.88,60.9398,60.81,60.81,87839
2019-11-06 12:10:00,60.81,60.99,60.77,60.96,50745
2019-11-06 12:15:00,60.97,61.15,60.95,61.1422,97145
2019-11-06 12:20:00,61.13,61.24,61.09,61.236,67198
2019-11-06 12:25:00,61.23,61.24,61.1452,61.24,49836
2019-11-06 12:30:00,61.242,61.3,61.19,61.257,109874
2019-11-06 12:35:00,61.2516,61.3094,61.1492,61.1816,56125
2019-11-06 12:40:00,61.18,61.2799,61.16,61.25,82186
2019-11-06 12:45:00,61.2401,61.32,61.24,61.275,52092
2019-11-06 12:50:00,61.2725,61.3487,61.2586,61.2925,61638
2019-11-06 12:55:00,61.29,61.32,61.16,61.17,38961
2019-11-06 13:00:00,61.17,61.175,61.1,61.13,46671
2019-11-06 13:05:00,61.11,61.25,61.105,61.24,60973
2019-11-06 13:10:00,61.25,61.25,61.07,61.09,37469
2019-11-06 13:15:00,61.09,61.14,61.07,61.08,52087
2019-11-06 13:20:00,61.073,61.1595,61.0694,61.097,56982
2019-11-06 13:25:00,61.1,61.1658,61.08,61.1658,50149
2019-11-06 13:30:00,61.16,61.24,61.14,61.215,96527
2019-11-06 13:35:00,61.22,61.225,61.2,61.22,175450
2019-11-06 13:40:00,61.22,61.3,61.22,61.2985,78308
2019-11-06 13:45:00,61.295,61.4673,61.295,61.45,89489
2019-11-06 13:50:00,61.4429,61.57,61.4429,61.565,93235
2019-11-06 13:55:00,61.5672,61.57,61.48,61.5622,128648
2019-11-06 14:00:00,61.56,61.68,61.535,61.67,107794
2019-11-06 14:05:00,61.66,61.72,61.41,61.53,132352
2019-11-06 14:10:00,61.53,61.55,61.4159,61.4159,72794
2019-11-06 14:15:00,61.415,61.67,61.4114,61.6224,111099
2019-11-06 14:20:00,61.6126,61.645,61.48,61.5471,120439
2019-11-06 14:25:00,61.55,61.59,61.41,61.41,75900
2019-11-06 14:30:00,61.42,61.57,61.41,61.56,85008
2019-11-06 14:35:00,61.57,61.58,61.5,61.51,80469
2019-11-06 14:40:00,61.51,61.54,61.47,61.47,110410
2019-11-06 14:45:00,61.4765,61.4765,61.37,61.41,82538
2019-11-06 14:50:00,61.4083,61.41,61.3198,61.3198,245054
2019-11-06 14:55:00,61.31,61.43,61.3,61.405,106162
2019-11-06 15:00:00,61.41,61.44,61.3,61.34,103658
2019-11-06 15:05:00,61.34,61.4,61.31,61.335,124351
2019-11-06 15:10:00,61.335,61.4,61.3,61.32,99609
2019-11-06 15:15:00,61.3219,61.35,61.32,61.35,181699
2019-11-06 15:20:00,61.35,61.47,61.35,61.45,101253
2019-11-06 15:25:00,61.455,61.48,61.38,61.38,89072
2019-11-06 15:30:00,61.37,61.4899,61.3562,61.4827,123779
2019-11-06 15:35:00,61.47,61.515,61.4,61.4,177680
2019-11-06 15:40:00,61.405,61.4375,61.365,61.365,151438
2019-11-06 15:45:00,61.36600000000001,61.4332,61.288,61.306,242099
