,open,high,low,close,volume
2019-11-04 14:15:00,49.495,49.53,49.495,49.5,7560
2019-11-04 14:20:00,49.51,49.53,49.51,49.51,7863
2019-11-04 14:25:00,49.53,49.53,49.52,49.53,13548
2019-11-04 14:30:00,49.54,49.64,49.54,49.62,13821
2019-11-04 14:35:00,49.62,49.67,49.61,49.67,13709
2019-11-04 14:40:00,49.68,49.78,49.665,49.78,11912
2019-11-04 14:45:00,49.77,49.79,49.72,49.72,9753
2019-11-04 14:50:00,49.74,49.76,49.74,49.74,7602
2019-11-04 14:55:00,49.75,49.795,49.75,49.76,8665
2019-11-04 15:00:00,49.76,49.82,49.76,49.8,6987
2019-11-04 15:05:00,49.81,49.92,49.81,49.92,21980
2019-11-04 15:10:00,49.93,49.94,49.89,49.91,28190
2019-11-04 15:15:00,49.92,49.9251,49.82,49.82,10457
2019-11-04 15:20:00,49.83,49.87,49.825,49.84,7318
2019-11-04 15:25:00,49.83,49.87,49.79,49.86,10581
2019-11-04 15:30:00,49.86,49.88,49.83,49.85,12127
2019-11-04 15:35:00,49.86,49.885,49.78,49.78,13154
2019-11-04 15:40:00,49.76,49.81,49.76,49.78,9340
2019-11-04 15:45:00,49.775,49.79,49.7,49.71,16442
2019-11-04 15:50:00,49.705,49.745,49.7,49.735,21878
2019-11-04 15:55:00,49.735,49.81,49.735,49.8,30436
2019-11-04 16:00:00,49.8,49.84,49.8,49.83,51943
2019-11-05 09:35:00,49.725,50.69,49.725,50.69,14062
2019-11-05 09:40:00,50.29,50.475,49.95,49.95,12838
2019-11-05 09:45:00,50.05,50.0575,49.4742,49.51,25067
2019-11-05 09:50:00,49.6219,50.236999999999995,49.5614,50.1919,13293
2019-11-05 09:55:00,50.192,50.6785,50.0379,50.582,11789
2019-11-05 10:00:00,50.58,50.97,50.5775,50.58,5361
2019-11-05 10:05:00,50.7308,50.7739,50.2134,50.2458,27474
2019-11-05 10:10:00,50.245,50.26,49.9,49.9,10828
2019-11-05 10:15:00,49.9,50.0,49.88,49.88,7261
2019-11-05 10:20:00,49.881,49.9193,49.638999999999996,49.831,16055
2019-11-05 10:25:00,49.7171,49.81,49.64,49.6621,14096
2019-11-05 10:30:00,49.7019,49.7975,49.7,49.7019,9118
2019-11-05 10:35:00,49.681999999999995,50.0379,49.6475,49.992,10827
2019-11-05 10:40:00,49.9377,49.99,49.925,49.97,3491
2019-11-05 10:45:00,49.92,49.96,49.69300000000001,49.69300000000001,8489
2019-11-05 10:50:00,49.68,49.69,49.645,49.65,5744
2019-11-05 10:55:00,49.67,49.898999999999994,49.635,49.85,17665
2019-11-05 11:00:00,49.84,49.94,49.71,49.71,25014
2019-11-05 11:05:00,49.71,49.86,49.7,49.72,3156
2019-11-05 11:10:00,49.84,49.84,49.7,49.71,5495
2019-11-05 11:15:00,49.8021,49.855,49.71,49.7821,6661
2019-11-05 11:20:00,49.9,50.14,49.835,50.1,1984
2019-11-05 11:25:00,49.922,50.128,49.8377,49.852,14216
2019-11-05 11:30:00,49.8418,49.88,49.79,49.8418,10239
2019-11-05 11:35:00,49.8616,49.998999999999995,49.7788,49.9516,13496
2019-11-05 11:40:00,49.95,50.13,49.92,50.08,9444
2019-11-05 11:45:00,50.08,50.15,50.02,50.02,7249
2019-11-05 11:50:00,50.0566,50.1988,50.0386,50.1516,9292
2019-11-05 11:55:00,50.1613,50.2086,50.1285,50.1613,4603
2019-11-05 12:00:00,50.19,50.22,50.01,50.01,9096
2019-11-05 12:05:00,50.01,50.14,50.01,50.14,9400
2019-11-05 12:10:00,50.14,50.18,50.11,50.165,3602
2019-11-05 12:15:00,50.167,50.2381,50.118,50.192,12574
2019-11-05 12:20:00,50.16,50.19,50.03,50.07,17493
2019-11-05 12:25:00,50.04,50.18,50.02,50.085,10701
2019-11-05 12:30:00,50.0708,50.1934,50.0633,50.1508,4912
2019-11-05 12:35:00,50.12,50.14,50.11,50.13,6447
2019-11-05 12:40:00,50.17,50.36,50.15,50.36,8820
2019-11-05 12:45:00,50.27,50.3,50.25,50.3,6923
2019-11-05 12:50:00,50.2901,50.3584,50.2683,50.3121,6203
2019-11-05 12:55:00,50.291000000000004,50.3496,50.2095,50.31100000000001,8680
2019-11-05 13:00:00,50.28,50.31,50.27,50.28,10690
2019-11-05 13:05:00,50.3,50.31,50.16,50.2,14959
2019-11-05 13:10:00,50.2118,50.2566,50.1666,50.1718,5456
2019-11-05 13:15:00,50.17,50.18,50.1,50.12,7239
2019-11-05 13:20:00,50.14,50.14,50.1,50.115,4800
2019-11-05 13:25:00,50.11,50.12,50.07,50.12,11610
2019-11-05 13:30:00,50.125,50.15,50.125,50.13,6100
2019-11-05 13:35:00,50.14,50.165,50.105,50.12,10560
2019-11-05 13:40:00,50.1,50.2,50.1,50.2,6264
2019-11-05 13:45:00,50.2,50.2,50.13,50.13,5370
2019-11-05 13:50:00,50.17,50.19,50.15,50.19,7282
2019-11-05 13:55:00,50.19,50.37,50.19,50.37,8212
2019-11-05 14:00:00,50.36,50.37,50.26,50.28,10080
2019-11-05 14:05:00,50.28,50.28,50.255,50.27,8646
2019-11-05 14:10:00,50.29,50.36,50.28,50.345,6968
2019-11-05 14:15:00,50.36,50.45,50.36,50.45,8944
2019-11-05 14:20:00,50.45,50.45,50.3844,50.43,19983
2019-11-05 14:25:00,50.435,50.44,50.38,50.38,6478
2019-11-05 14:30:00,50.34,50.44,50.34,50.42,10886
2019-11-05 14:35:00,50.42,50.43,50.38,50.395,13765
2019-11-05 14:40:00,50.4,50.44,50.39,50.44,12423
2019-11-05 14:45:00,50.44,50.48,50.44,50.48,7267
2019-11-05 14:50:00,50.47,50.5,50.43,50.43,14393
2019-11-05 14:55:00,50.43,50.43,50.33,50.34,7868
2019-11-05 15:00:00,50.36,50.36,50.23,50.23,13592
2019-11-05 15:05:00,50.23,50.245,50.21,50.22,12795
2019-11-05 15:10:00,50.22,50.285,50.22,50.28,9688
2019-11-05 15:15:00,50.28,50.28,50.25,50.28,11482
2019-11-05 15:20:00,50.31,50.32,50.27,50.27,7287
2019-11-05 15:25:00,50.28,50.3,50.26,50.3,12688
2019-11-05 15:30:00,50.3,50.31,50.26,50.26,13825
2019-11-05 15:35:00,50.25,50.34,50.24,50.34,19166
2019-11-05 15:40:00,50.35,50.355,50.275,50.275,22427
2019-11-05 15:45:00,50.275,50.3,50.2028,50.21,18227
2019-11-05 15:50:00,50.2,50.41,50.2,50.34,33458
2019-11-05 15:55:00,50.36,50.4,50.32,50.33,35312
2019-11-05 16:00:00,50.34,50.45,50.27,50.42,105716
2019-11-06 09:35:00,50.5721,50.76,50.56,50.5871,1333
2019-11-06 09:40:00,50.6219,50.6674,50.4272,50.4319,5072
2019-11-06 09:45:00,50.47,50.5,50.28,50.31,9015
2019-11-06 09:50:00,50.2418,50.26,50.14,50.2168,5869
2019-11-06 09:55:00,50.1843,50.27,50.14,50.27,3654
2019-11-06 10:00:00,50.26,50.26,50.06,50.06,7313
2019-11-06 10:05:00,50.035,50.11,50.035,50.04,3639
2019-11-06 10:10:00,50.075,50.16,50.075,50.16,12091
2019-11-06 10:15:00,50.16,50.16,50.06,50.06,28554
2019-11-06 10:20:00,50.07,50.19,50.07,50.155,7249
2019-11-06 10:25:00,50.18,50.22,50.145,50.145,82913
2019-11-06 10:30:00,50.12,50.28,50.1,50.275,7597
2019-11-06 10:35:00,50.28,50.57,50.2725,50.49,13721
2019-11-06 10:40:00,50.5108,50.525,50.4,50.4358,16365
2019-11-06 10:45:00,50.46,50.49,50.44,50.45,9522
2019-11-06 10:50:00,50.4516,50.5091,50.419,50.4616,6504
2019-11-06 10:55:00,50.47,50.51,50.44,50.44,7671
2019-11-06 11:00:00,50.46,50.49,50.41,50.4525,14646
2019-11-06 11:05:00,50.44,50.56,50.42,50.52,12518
2019-11-06 11:10:00,50.47,50.48,50.3,50.3225,5641
2019-11-06 11:15:00,50.34,50.385,50.27,50.28,7040
2019-11-06 11:20:00,50.3018,50.32,50.22,50.2218,5387
2019-11-06 11:25:00,50.2,50.28,50.2,50.2625,293886
2019-11-06 11:30:00,50.27,50.345,50.26,50.33,2415
2019-11-06 11:35:00,50.33,50.33,50.19,50.19,3528
2019-11-06 11:40:00,50.21,50.28,50.2,50.27,8064
2019-11-06 11:45:00,50.29,50.34,50.26,50.31,6822
