,open,high,low,close,volume
2019-11-04 14:15:00,21.18,21.185,21.18,21.185,2807
2019-11-04 14:20:00,21.2,21.2364,21.2,21.2364,1607
2019-11-04 14:25:00,21.23,21.24,21.22,21.24,1582
2019-11-04 14:30:00,21.24,21.2573,21.24,21.25,1863
2019-11-04 14:35:00,21.24,21.25,21.2202,21.241999999999997,1491
2019-11-04 14:40:00,21.23,21.2312,21.22,21.2312,1931
2019-11-04 14:45:00,21.2,21.23,21.2,21.23,1424
2019-11-04 14:50:00,21.22,21.22,21.19,21.2,1293
2019-11-04 14:55:00,21.195,21.215,21.19,21.2102,2677
2019-11-04 15:00:00,21.22,21.22,21.21,21.22,2254
2019-11-04 15:05:00,21.22,21.2286,21.21,21.21,1757
2019-11-04 15:10:00,21.21,21.22,21.21,21.22,603
2019-11-04 15:15:00,21.21,21.21,21.2,21.21,3000
2019-11-04 15:20:00,21.21,21.21,21.2,21.2,926
2019-11-04 15:25:00,21.2062,21.2273,21.2,21.2273,2910
2019-11-04 15:30:00,21.23,21.29,21.225,21.29,5654
2019-11-04 15:35:00,21.29,21.29,21.28,21.2895,5792
2019-11-04 15:40:00,21.28,21.29,21.28,21.28,4494
2019-11-04 15:45:00,21.28,21.32,21.27,21.3001,13800
2019-11-04 15:50:00,21.3001,21.3042,21.23,21.24,12365
2019-11-04 15:55:00,21.2508,21.3298,21.2297,21.2808,18809
2019-11-04 16:00:00,21.22,21.26,21.22,21.23,26128
2019-11-05 09:35:00,21.37,21.37,21.37,21.37,5180
2019-11-05 09:40:00,21.41,21.41,21.3,21.3,948
2019-11-05 09:45:00,21.43,21.43,21.43,21.43,0
2019-11-05 09:50:00,21.361,21.48,21.361,21.48,7100
2019-11-05 09:55:00,21.49,21.57,21.49,21.5428,6742
2019-11-05 10:00:00,21.53,21.6,21.53,21.57,5245
2019-11-05 10:05:00,21.59,21.72,21.59,21.6396,5361
2019-11-05 10:10:00,21.639,21.65,21.63,21.63,1135
2019-11-05 10:15:00,21.6157,21.6611,21.5309,21.5507,5094
2019-11-05 10:20:00,21.53,21.6,21.53,21.595,5464
2019-11-05 10:25:00,21.605,21.625,21.56,21.56,3934
2019-11-05 10:30:00,21.57,21.59,21.56,21.57,5546
2019-11-05 10:35:00,21.59,21.64,21.59,21.63,2268
2019-11-05 10:40:00,21.63,21.63,21.6,21.61,3574
2019-11-05 10:45:00,21.59,21.625,21.59,21.625,2591
2019-11-05 10:50:00,21.64,21.64,21.62,21.63,3674
2019-11-05 10:55:00,21.65,21.65,21.6421,21.65,1577
2019-11-05 11:00:00,21.66,21.67,21.6573,21.67,1485
2019-11-05 11:05:00,21.67,21.68,21.66,21.68,3047
2019-11-05 11:10:00,21.66,21.8,21.66,21.8,14765
2019-11-05 11:15:00,21.8,21.91,21.8,21.895,10579
2019-11-05 11:20:00,21.9,21.92,21.89,21.92,2410
2019-11-05 11:25:00,21.89,21.91,21.8336,21.91,14372
2019-11-05 11:30:00,21.9108,21.9454,21.9104,21.9258,12477
2019-11-05 11:35:00,21.9,21.91,21.8813,21.89,4515
2019-11-05 11:40:00,21.89,21.94,21.89,21.93,6443
2019-11-05 11:45:00,21.92,21.92,21.835,21.835,6256
2019-11-05 11:50:00,21.835,21.84,21.75,21.77,1700
2019-11-05 11:55:00,21.75,21.765,21.75,21.765,2446
2019-11-05 12:00:00,21.77,21.81,21.77,21.81,2961
2019-11-05 12:05:00,21.8,21.85,21.8,21.83,5411
2019-11-05 12:10:00,21.83,21.85,21.83,21.85,1621
2019-11-05 12:15:00,21.86,21.89,21.855,21.89,3247
2019-11-05 12:20:00,21.89,21.895,21.86,21.86,3937
2019-11-05 12:25:00,21.87,21.8846,21.85,21.85,2376
2019-11-05 12:30:00,21.84,21.85,21.84,21.84,3151
2019-11-05 12:35:00,21.84,21.87,21.83,21.86,4600
2019-11-05 12:40:00,21.85,21.85,21.85,21.85,266
2019-11-05 12:45:00,21.85,21.9,21.85,21.8958,8899
2019-11-05 12:50:00,21.91,21.94,21.91,21.934,4094
2019-11-05 12:55:00,21.93,21.935,21.87,21.87,2680
2019-11-05 13:00:00,21.87,21.875,21.86,21.87,2761
2019-11-05 13:05:00,21.86,21.8691,21.83,21.83,6048
2019-11-05 13:10:00,21.81,21.86,21.81,21.85,8031
2019-11-05 13:15:00,21.85,21.88,21.85,21.88,4525
2019-11-05 13:20:00,21.8954,21.914,21.8589,21.8904,6236
2019-11-05 13:25:00,21.86,21.875,21.86,21.875,2096
2019-11-05 13:30:00,21.88,21.9,21.85,21.85,5199
2019-11-05 13:35:00,21.85,21.885,21.85,21.885,1282
2019-11-05 13:40:00,21.87,21.9,21.87,21.9,902
2019-11-05 13:45:00,21.895,21.9,21.89,21.895,2826
2019-11-05 13:50:00,21.895,21.9,21.88,21.88,4063
2019-11-05 13:55:00,21.88,21.895,21.88,21.88,3922
2019-11-05 14:00:00,21.88,21.8948,21.78,21.78,3810
2019-11-05 14:05:00,21.76,21.765,21.69,21.7,5843
2019-11-05 14:10:00,21.7104,21.7588,21.6888,21.7354,6269
2019-11-05 14:15:00,21.74,21.745,21.65,21.65,7453
2019-11-05 14:20:00,21.65,21.67,21.63,21.6356,11507
2019-11-05 14:25:00,21.62,21.66,21.6,21.63,11809
2019-11-05 14:30:00,21.62,21.645,21.62,21.62,4364
2019-11-05 14:35:00,21.6,21.62,21.6,21.62,1657
2019-11-05 14:40:00,21.61,21.62,21.61,21.61,1030
