,open,high,low,close,volume
2019-11-04 14:15:00,57.71,57.77,57.7,57.76,14649
2019-11-04 14:20:00,57.77,57.775,57.75,57.755,16413
2019-11-04 14:25:00,57.76,57.81,57.7581,57.81,17906
2019-11-04 14:30:00,57.82,57.88,57.82,57.87,19273
2019-11-04 14:35:00,57.8715,57.9311,57.846000000000004,57.8565,31609
2019-11-04 14:40:00,57.85,57.855,57.775,57.82,52944
2019-11-04 14:45:00,57.82,57.8717,57.815,57.84,11618
2019-11-04 14:50:00,57.84,57.84,57.77,57.78,14993
2019-11-04 14:55:00,57.79,57.8,57.75,57.77,29172
2019-11-04 15:00:00,57.78,57.85,57.78,57.85,23003
2019-11-04 15:05:00,57.85,57.87,57.77,57.82,36609
2019-11-04 15:10:00,57.8109,57.9101,57.79,57.8409,37774
2019-11-04 15:15:00,57.83,57.8507,57.82,57.83,11796
2019-11-04 15:20:00,57.8519,57.9764,57.8361,57.9169,23466
2019-11-04 15:25:00,57.9142,57.97,57.91,57.965,24624
2019-11-04 15:30:00,57.96,57.99,57.95,57.97,20001
2019-11-04 15:35:00,57.98,58.06,57.95,58.035,70095
2019-11-04 15:40:00,58.035,58.12,57.99,58.11,76830
2019-11-04 15:45:00,58.1068,58.17,58.1068,58.16,58707
2019-11-04 15:50:00,58.16,58.16,58.11,58.155,72612
2019-11-04 15:55:00,58.1621,58.2441,58.0038,58.0721,240331
2019-11-04 16:00:00,58.08,58.12,58.05,58.07,228274
2019-11-05 09:35:00,57.99,57.99,57.695,57.695,177704
2019-11-05 09:40:00,57.705,57.895,57.705,57.88,115766
2019-11-05 09:45:00,57.7,57.81,57.7,57.78,44170
2019-11-05 09:50:00,57.7322,57.8241,57.674,57.7722,44503
2019-11-05 09:55:00,57.7612,57.7612,57.5,57.5,83446
2019-11-05 10:00:00,57.5,57.58,57.4,57.4,65592
2019-11-05 10:05:00,57.4609,57.7199,57.4497,57.6559,81684
2019-11-05 10:10:00,57.6715,57.7259,57.4356,57.4615,86963
2019-11-05 10:15:00,57.47,57.655,57.47,57.655,43680
2019-11-05 10:20:00,57.655,57.82,57.6368,57.81,37146
2019-11-05 10:25:00,57.7924,57.81,57.76,57.7824,49512
2019-11-05 10:30:00,57.7922,57.8642,57.674,57.7422,78433
2019-11-05 10:35:00,57.78,57.92,57.78,57.81,66614
2019-11-05 10:40:00,57.81,57.83,57.7,57.72,52272
2019-11-05 10:45:00,57.7,57.7018,57.67,57.69,33872
2019-11-05 10:50:00,57.7,57.78,57.7,57.76,42264
2019-11-05 10:55:00,57.765,57.8,57.75,57.8,45522
2019-11-05 11:00:00,57.8,57.82,57.79,57.79,43559
2019-11-05 11:05:00,57.8,57.905,57.795,57.8439,59560
2019-11-05 11:10:00,57.84,57.875,57.84,57.875,23174
2019-11-05 11:15:00,57.87,58.03,57.86,58.03,215178
2019-11-05 11:20:00,58.04,58.06,58.02,58.045,8990
2019-11-05 11:25:00,58.04,58.05,58.02,58.04,69072
2019-11-05 11:30:00,58.03,58.05,58.005,58.01,27010
2019-11-05 11:35:00,58.01,58.045,57.99,58.045,42072
2019-11-05 11:40:00,58.04,58.1,58.03,58.1,51920
2019-11-05 11:45:00,58.09,58.1,58.06,58.1,38930
2019-11-05 11:50:00,58.1,58.12,58.04,58.04,68496
2019-11-05 11:55:00,58.04,58.08,58.0,58.01,30592
2019-11-05 12:00:00,58.01,58.02,57.98,58.0,27930
2019-11-05 12:05:00,57.995,58.0,57.935,57.94,40790
2019-11-05 12:10:00,57.94,57.94,57.89,57.9,27632
2019-11-05 12:15:00,57.8982,57.905,57.86,57.87,20880
2019-11-05 12:20:00,57.865,57.885,57.86,57.86,42862
2019-11-05 12:25:00,57.86,57.87,57.77,57.78,22762
2019-11-05 12:30:00,57.76,57.815,57.74,57.8,16778
2019-11-05 12:35:00,57.8,57.8,57.74,57.74,26824
2019-11-05 12:40:00,57.75,57.755,57.72,57.72,22274
2019-11-05 12:45:00,57.73,57.75,57.705,57.74,22486
2019-11-05 12:50:00,57.74,57.79,57.73,57.79,26072
2019-11-05 12:55:00,57.79,57.8,57.78,57.8,19490
2019-11-05 13:00:00,57.8,57.81,57.8,57.81,35002
2019-11-05 13:05:00,57.82,57.85,57.81,57.84,27052
2019-11-05 13:10:00,57.85,57.9,57.85,57.87,22886
2019-11-05 13:15:00,57.87,57.895,57.865,57.88,19220
2019-11-05 13:20:00,57.88,57.89,57.88,57.88,19184
2019-11-05 13:25:00,57.88,57.895,57.82,57.84,25584
2019-11-05 13:30:00,57.84,57.9,57.835,57.855,23292
2019-11-05 13:35:00,57.855,57.9,57.845,57.89,32424
