,open,high,low,close,volume
2019-11-04 14:15:00,38.955,38.96,38.94,38.95,189492
2019-11-04 14:20:00,38.96,38.96,38.93,38.935,367444
2019-11-04 14:25:00,38.9357,38.97,38.93,38.955,219877
2019-11-04 14:30:00,38.955,38.97,38.95,38.9658,209197
2019-11-04 14:35:00,38.9658,38.97,38.94,38.945,174523
2019-11-04 14:40:00,38.95,38.96,38.93,38.935,213056
2019-11-04 14:45:00,38.93,38.94,38.91,38.925,241836
2019-11-04 14:50:00,38.9255,38.93,38.89,38.91,448300
2019-11-04 14:55:00,38.9051,38.94,38.9,38.9243,314489
2019-11-04 15:00:00,38.93,38.935,38.92,38.93,188825
2019-11-04 15:05:00,38.93,38.93,38.89,38.91,443677
2019-11-04 15:10:00,38.905,38.93,38.9,38.915,243579
2019-11-04 15:15:00,38.9115,38.92,38.88,38.8826,334807
2019-11-04 15:20:00,38.8836,38.89,38.88,38.885,228047
2019-11-04 15:25:00,38.89,38.895,38.875,38.89,401918
2019-11-04 15:30:00,38.885,38.91,38.86,38.8612,388639
2019-11-04 15:35:00,38.87,38.905,38.865,38.885,386073
2019-11-04 15:40:00,38.8807,38.895,38.8738,38.8846,516345
2019-11-04 15:45:00,38.8899,38.945,38.885,38.925,458888
2019-11-04 15:50:00,38.93,38.935,38.895,38.9098,520924
2019-11-04 15:55:00,38.905,38.94,38.9,38.905,797516
2019-11-04 16:00:00,38.91,38.93,38.89,38.9,1579294
2019-11-05 09:35:00,38.81,38.875,38.79,38.83,1281890
2019-11-05 09:40:00,38.835,39.04,38.835,39.02,601393
2019-11-05 09:45:00,39.02,39.09,38.995,39.08,509389
2019-11-05 09:50:00,39.08,39.16,39.08,39.1467,465202
2019-11-05 09:55:00,39.145,39.16,39.09,39.11,361683
2019-11-05 10:00:00,39.1,39.13,39.03,39.04,328226
2019-11-05 10:05:00,39.05,39.11,39.03,39.0949,404489
2019-11-05 10:10:00,39.1,39.15,39.095,39.1342,454450
2019-11-05 10:15:00,39.1366,39.16,39.105,39.105,503125
2019-11-05 10:20:00,39.1008,39.125,39.0652,39.1208,306136
2019-11-05 10:25:00,39.1265,39.13,39.085,39.1142,298288
2019-11-05 10:30:00,39.11,39.1349,39.11,39.1349,314085
2019-11-05 10:35:00,39.13,39.1383,39.08,39.115,404006
2019-11-05 10:40:00,39.12,39.135,39.11,39.135,256348
2019-11-05 10:45:00,39.13,39.16,39.13,39.145,220808
2019-11-05 10:50:00,39.15,39.21,39.14,39.2,528120
2019-11-05 10:55:00,39.2,39.26,39.19,39.26,700049
2019-11-05 11:00:00,39.26,39.26300000000001,39.2,39.22,365499
2019-11-05 11:05:00,39.22,39.23,39.18,39.2,415510
2019-11-05 11:10:00,39.21,39.21,39.15,39.165,320183
2019-11-05 11:15:00,39.16,39.17,39.12,39.135,540642
2019-11-05 11:20:00,39.135,39.17,39.12,39.14,267653
2019-11-05 11:25:00,39.14,39.17,39.135,39.155,290655
2019-11-05 11:30:00,39.1549,39.16,39.11,39.14,172631
2019-11-05 11:35:00,39.14,39.15,39.09,39.095,288842
2019-11-05 11:40:00,39.09,39.105,39.02,39.03,368903
2019-11-05 11:45:00,39.0238,39.05,39.015,39.05,259245
2019-11-05 11:50:00,39.04,39.045,39.0,39.0,338329
2019-11-05 11:55:00,39.005,39.02,39.0,39.0,328791
2019-11-05 12:00:00,39.0,39.01,38.9842,39.0,235069
2019-11-05 12:05:00,39.0,39.02,38.955,38.955,219891
2019-11-05 12:10:00,38.95,38.965,38.91,38.91,244097
2019-11-05 12:15:00,38.91,38.95,38.91,38.945,275858
2019-11-05 12:20:00,38.945,38.95,38.92,38.9248,157614
2019-11-05 12:25:00,38.92,38.93,38.91,38.92,213124
2019-11-05 12:30:00,38.925,38.98,38.92,38.98,210655
2019-11-05 12:35:00,38.975,39.0,38.97,38.97,384385
2019-11-05 12:40:00,38.97,39.01,38.955,38.99800000000001,258034
2019-11-05 12:45:00,39.0,39.01,38.96,38.975,243819
2019-11-05 12:50:00,38.975,39.02,38.97,39.0168,178609
2019-11-05 12:55:00,39.015,39.05,39.01,39.045,197616
2019-11-05 13:00:00,39.05,39.056999999999995,39.03,39.04,142876
2019-11-05 13:05:00,39.0369,39.04,39.015,39.03,124747
2019-11-05 13:10:00,39.02,39.06,39.02,39.055,173612
2019-11-05 13:15:00,39.0508,39.065,39.045,39.065,207245
2019-11-05 13:20:00,39.065,39.065,39.05,39.0554,127494
2019-11-05 13:25:00,39.05,39.06,39.045,39.05,143919
2019-11-05 13:30:00,39.05,39.12,39.05,39.11,255710
2019-11-05 13:35:00,39.11,39.145,39.105,39.14,212541
2019-11-05 13:40:00,39.13,39.155,39.12,39.145,302108
2019-11-05 13:45:00,39.15,39.16,39.145,39.1553,287454
2019-11-05 13:50:00,39.155,39.16,39.135,39.155,295321
2019-11-05 13:55:00,39.16,39.17,39.155,39.165,216732
2019-11-05 14:00:00,39.17,39.19,39.16,39.19,142749
2019-11-05 14:05:00,39.1854,39.2,39.1846,39.195,471685
2019-11-05 14:10:00,39.19,39.22,39.19,39.21,283618
2019-11-05 14:15:00,39.22,39.227,39.22,39.225,203191
2019-11-05 14:20:00,39.225,39.25,39.22,39.25,306354
2019-11-05 14:25:00,39.245,39.29,39.24,39.2854,317577
2019-11-05 14:30:00,39.29,39.29,39.26,39.2602,316601
2019-11-05 14:35:00,39.2658,39.2967,39.2409,39.2452,553373
2019-11-05 14:40:00,39.245,39.245,39.22,39.2222,165245
2019-11-05 14:45:00,39.22,39.25,39.21,39.25,278802
2019-11-05 14:50:00,39.245,39.26,39.23,39.2574,252470
2019-11-05 14:55:00,39.26,39.2851,39.25,39.2851,229883
2019-11-05 15:00:00,39.28,39.3,39.28,39.3,306353
2019-11-05 15:05:00,39.3,39.33,39.3,39.3,264185
2019-11-05 15:10:00,39.295,39.3,39.2842,39.2967,231935
2019-11-05 15:15:00,39.3,39.31,39.29,39.2982,374294
2019-11-05 15:20:00,39.29,39.3,39.26,39.26,301259
2019-11-05 15:25:00,39.2634,39.28,39.25,39.27,275337
2019-11-05 15:30:00,39.26,39.28,39.25,39.275,307117
2019-11-05 15:35:00,39.275,39.28,39.235,39.235,276868
2019-11-05 15:40:00,39.2301,39.27,39.22,39.245,903901
2019-11-05 15:45:00,39.2433,39.2465,39.21,39.215,485991
2019-11-05 15:50:00,39.22,39.26,39.22,39.23,725777
2019-11-05 15:55:00,39.22,39.23,39.21,39.2115,717883
2019-11-05 16:00:00,39.22,39.22,39.15,39.19,1389744
2019-11-06 09:35:00,39.2516,39.2878,39.1877,39.2191,993125
2019-11-06 09:40:00,39.2165,39.2668,39.1266,39.1515,633502
2019-11-06 09:45:00,39.16,39.195,39.1547,39.16,389806
2019-11-06 09:50:00,39.15,39.17,39.06,39.075,216835
2019-11-06 09:55:00,39.075,39.13,39.06,39.105,225999
2019-11-06 10:00:00,39.11,39.16,39.1,39.14,201969
2019-11-06 10:05:00,39.13,39.2062,39.13,39.199,280356
2019-11-06 10:10:00,39.195,39.27,39.19,39.2664,315506
2019-11-06 10:15:00,39.2651,39.275,39.25,39.27,227010
2019-11-06 10:20:00,39.2765,39.2769,39.2,39.2,451670
2019-11-06 10:25:00,39.2,39.25,39.19,39.2378,282625
2019-11-06 10:30:00,39.235,39.24,39.22,39.2289,160209
2019-11-06 10:35:00,39.22,39.28,39.22,39.25,260959
2019-11-06 10:40:00,39.25,39.2569,39.21,39.235,305476
2019-11-06 10:45:00,39.235,39.245,39.22,39.225,255418
2019-11-06 10:50:00,39.225,39.237,39.205,39.2249,221977
2019-11-06 10:55:00,39.23,39.23,39.18,39.18,211408
2019-11-06 11:00:00,39.2,39.205,39.165,39.17,476094
2019-11-06 11:05:00,39.175,39.1787,39.17,39.1787,222156
2019-11-06 11:10:00,39.17,39.175,39.15,39.175,348078
2019-11-06 11:15:00,39.179,39.18,39.1,39.1,292815
2019-11-06 11:20:00,39.1032,39.105,39.09,39.105,238203
2019-11-06 11:25:00,39.1,39.11,39.07,39.0737,279402
2019-11-06 11:30:00,39.075,39.105,39.065,39.105,164719
2019-11-06 11:35:00,39.105,39.14,39.095,39.115,213854
2019-11-06 11:40:00,39.115,39.1185,39.08,39.095,191392
2019-11-06 11:45:00,39.1,39.11,39.08,39.08,412483
2019-11-06 11:50:00,39.0816,39.115,39.08,39.1066,297817
2019-11-06 11:55:00,39.11,39.12,39.04,39.051,233442
2019-11-06 12:00:00,39.06,39.07,39.03,39.03,140785
2019-11-06 12:05:00,39.0416,39.0974,39.0274,39.0577,358867
2019-11-06 12:10:00,39.06,39.07,39.04,39.055,146112
2019-11-06 12:15:00,39.06,39.075,39.06,39.06,156127
2019-11-06 12:20:00,39.065,39.065,39.04,39.04,111018
2019-11-06 12:25:00,39.05,39.05,39.0246,39.03,152752
2019-11-06 12:30:00,39.0285,39.03,39.01,39.015,177057
2019-11-06 12:35:00,39.015,39.02,39.0,39.005,77990
2019-11-06 12:40:00,39.006,39.04,39.0,39.035,198569
2019-11-06 12:45:00,39.035,39.045,39.03,39.04,98611
2019-11-06 12:50:00,39.035,39.035,39.015,39.02,134693
2019-11-06 12:55:00,39.015,39.035,39.0,39.03,205713
2019-11-06 13:00:00,39.02,39.0272,39.0146,39.02,160396
2019-11-06 13:05:00,39.02,39.03,39.005,39.0292,211897
