,open,high,low,close,volume
2019-11-04 14:15:00,108.85,108.92,108.85,108.9,23222
2019-11-04 14:20:00,108.9,109.0,108.89,108.98,22906
2019-11-04 14:25:00,108.99,109.01,108.96,109.0,40700
2019-11-04 14:30:00,108.9952,109.03,108.99,108.995,46621
2019-11-04 14:35:00,109.0,109.05,108.99,109.03,21477
2019-11-04 14:40:00,109.04,109.06,109.01,109.01,62210
2019-11-04 14:45:00,109.01,109.05,108.995,109.04,26461
2019-11-04 14:50:00,109.05,109.08,108.99,109.0102,31408
2019-11-04 14:55:00,109.01,109.05,109.0,109.03,30915
2019-11-04 15:00:00,109.05,109.07,108.92,108.93,45353
2019-11-04 15:05:00,108.93,108.94,108.885,108.89,49437
2019-11-04 15:10:00,108.89,108.898,108.80799999999999,108.85,39295
2019-11-04 15:15:00,108.86,108.9,108.76,108.7787,24513
2019-11-04 15:20:00,108.77,108.85,108.7302,108.84,22683
2019-11-04 15:25:00,108.85,108.88,108.81,108.83,27917
2019-11-04 15:30:00,108.84,108.89,108.76,108.78,32819
2019-11-04 15:35:00,108.78,108.78,108.59,108.59,47849
2019-11-04 15:40:00,108.59,108.71,108.5121,108.52,77066
2019-11-04 15:45:00,108.5189,108.64,108.5189,108.615,47849
2019-11-04 15:50:00,108.615,108.685,108.61,108.66,68283
2019-11-04 15:55:00,108.66,108.81,108.65,108.68,113221
2019-11-04 16:00:00,108.69,108.78,108.67,108.78,172072
2019-11-05 09:35:00,108.93,109.335,108.865,109.3348,129883
2019-11-05 09:40:00,109.37,109.97,109.37,109.65,71626
2019-11-05 09:45:00,109.67,109.87,109.65,109.7579,53539
2019-11-05 09:50:00,109.79,109.87,109.69,109.71,43896
2019-11-05 09:55:00,109.72,110.01,109.7,109.9864,53748
2019-11-05 10:00:00,109.99,110.23,109.98,110.15,72659
2019-11-05 10:05:00,110.1818,110.417,110.125,110.3018,76505
2019-11-05 10:10:00,110.28,110.28,109.95,110.0,41718
2019-11-05 10:15:00,109.98,110.055,109.78,109.7869,63632
