,open,high,low,close,volume
2019-11-04 14:10:00,5.4252,5.435,5.425,5.4252,892
2019-11-04 14:15:00,5.425,5.425,5.425,5.425,100
2019-11-04 14:25:00,5.43,5.43,5.425,5.43,1457
2019-11-04 14:30:00,5.425,5.425,5.425,5.425,165
2019-11-04 14:35:00,5.43,5.43,5.425,5.425,6812
2019-11-04 14:40:00,5.4212,5.43,5.4212,5.43,1455
2019-11-04 14:45:00,5.425,5.43,5.425,5.43,800
2019-11-04 14:50:00,5.43,5.43,5.425,5.425,409
2019-11-04 14:55:00,5.43,5.43,5.425,5.425,300
2019-11-04 15:00:00,5.43,5.43,5.43,5.43,10943
2019-11-04 15:05:00,5.43,5.435,5.43,5.43,3964
2019-11-04 15:10:00,5.425,5.43,5.42,5.42,1100
2019-11-04 15:15:00,5.43,5.43,5.425,5.43,910
2019-11-04 15:20:00,5.425,5.43,5.42,5.425,904
2019-11-04 15:25:00,5.425,5.43,5.425,5.43,400
2019-11-04 15:30:00,5.4252,5.43,5.425,5.4252,1528
2019-11-04 15:35:00,5.42,5.43,5.42,5.43,4575
2019-11-04 15:40:00,5.4202,5.43,5.42,5.4202,13182
2019-11-04 15:45:00,5.415,5.425,5.415,5.425,2843
2019-11-04 15:50:00,5.43,5.43,5.42,5.42,3690
2019-11-04 15:55:00,5.4302,5.435,5.425,5.4252,11782
2019-11-04 16:00:00,5.42,5.43,5.42,5.43,11248
2019-11-05 09:35:00,5.5302,5.5354,5.5154,5.5252,28527
2019-11-05 09:40:00,5.54,5.54,5.54,5.54,400
2019-11-05 09:45:00,5.54,5.54,5.535,5.54,1066
2019-11-05 09:50:00,5.5452,5.5552,5.5452,5.5502,15568
2019-11-05 09:55:00,5.5402,5.55,5.535,5.5402,15163
2019-11-05 10:00:00,5.55,5.55,5.54,5.55,2893
2019-11-05 10:05:00,5.54,5.56,5.54,5.56,10634
2019-11-05 10:10:00,5.555,5.56,5.555,5.56,1037
2019-11-05 10:15:00,5.56,5.56,5.5544,5.555,3672
2019-11-05 10:20:00,5.5527,5.555,5.53,5.5501,24443
2019-11-05 10:25:00,5.545,5.55,5.545,5.55,1040
2019-11-05 10:30:00,5.5502,5.5552,5.5452,5.5452,1585
2019-11-05 10:35:00,5.545,5.55,5.545,5.545,1960
2019-11-05 10:40:00,5.545,5.55,5.54,5.54,1821
2019-11-05 10:45:00,5.5402,5.5504,5.5354,5.5402,7246
2019-11-05 10:50:00,5.53,5.54,5.53,5.53,500
2019-11-05 10:55:00,5.53,5.54,5.53,5.54,951
2019-11-05 11:00:00,5.54,5.56,5.54,5.56,2856
2019-11-05 11:05:00,5.555,5.57,5.555,5.57,3594
2019-11-05 11:10:00,5.5601,5.5694,5.5544,5.5601,3832
2019-11-05 11:15:00,5.56,5.57,5.56,5.565,6734
2019-11-05 11:20:00,5.5661,5.57,5.56,5.5602,8915
2019-11-05 11:25:00,5.56,5.57,5.56,5.57,3703
2019-11-05 11:30:00,5.57,5.57,5.57,5.57,102
2019-11-05 11:35:00,5.56,5.57,5.56,5.56,456
2019-11-05 11:40:00,5.5701,5.5748,5.5648,5.5701,997
2019-11-05 11:45:00,5.56,5.56,5.56,5.56,2631
2019-11-05 11:50:00,5.5602,5.57,5.56,5.5602,22017
2019-11-05 11:55:00,5.565,5.57,5.56,5.57,1524
2019-11-05 12:00:00,5.56,5.57,5.56,5.56,1874
2019-11-05 12:05:00,5.56,5.57,5.56,5.57,2026
2019-11-05 12:10:00,5.565,5.57,5.555,5.555,7747
2019-11-05 12:15:00,5.555,5.555,5.55,5.55,400
2019-11-05 12:20:00,5.55,5.56,5.55,5.55,1317
2019-11-05 12:25:00,5.55,5.555,5.55,5.555,410
2019-11-05 12:30:00,5.56,5.56,5.55,5.55,2094
2019-11-05 12:35:00,5.55,5.56,5.55,5.56,931
2019-11-05 12:40:00,5.5602,5.5754,5.5554,5.5652,3949
2019-11-05 12:45:00,5.57,5.57,5.565,5.57,865
2019-11-05 12:50:00,5.5702,5.5754,5.5653,5.5702,672
2019-11-05 12:55:00,5.5701,5.5744,5.5644,5.5701,2037
2019-11-05 13:00:00,5.56,5.57,5.56,5.56,639
2019-11-05 13:05:00,5.56,5.57,5.56,5.57,300
2019-11-05 13:10:00,5.56,5.59,5.56,5.59,28768
2019-11-05 13:15:00,5.59,5.595,5.585,5.59,11362
2019-11-05 13:20:00,5.5901,5.5948,5.5898,5.5901,1899
2019-11-05 13:25:00,5.59,5.59,5.58,5.58,2946
2019-11-05 13:30:00,5.59,5.59,5.59,5.59,100
2019-11-05 13:35:00,5.59,5.59,5.585,5.585,300
2019-11-05 13:40:00,5.5902,5.5954,5.5854,5.5902,1761
2019-11-05 13:45:00,5.59,5.59,5.58,5.58,922
2019-11-05 13:50:00,5.5902,5.5954,5.5853,5.5902,1347
2019-11-05 13:55:00,5.59,5.59,5.58,5.58,2044
2019-11-05 14:00:00,5.59,5.59,5.59,5.59,2636
2019-11-05 14:05:00,5.5802,5.6055,5.5755,5.5852,29753
2019-11-05 14:10:00,5.5901,5.5998,5.5898,5.5951,3469
2019-11-05 14:15:00,5.6,5.6,5.59,5.59,2972
2019-11-05 14:20:00,5.5942,5.595,5.59,5.595,1241
2019-11-05 14:25:00,5.59,5.6,5.59,5.59,2550
2019-11-05 14:30:00,5.5926,5.6,5.59,5.6,2537
2019-11-05 14:35:00,5.6,5.6,5.59,5.59,600
2019-11-05 14:40:00,5.59,5.61,5.59,5.6,12084
2019-11-05 14:45:00,5.6002,5.6052,5.6002,5.6002,2574
2019-11-05 14:50:00,5.6,5.6,5.595,5.595,1957
2019-11-05 14:55:00,5.59,5.6,5.59,5.6,2140
2019-11-05 15:00:00,5.6,5.6,5.6,5.6,9549
2019-11-05 15:05:00,5.6,5.6,5.595,5.6,1113
2019-11-05 15:10:00,5.6,5.6,5.595,5.595,1206
2019-11-05 15:15:00,5.59,5.6,5.59,5.595,800
2019-11-05 15:20:00,5.6002,5.6054,5.5954,5.6002,2484
2019-11-05 15:25:00,5.5951,5.6094,5.5944,5.6001,9794
2019-11-05 15:30:00,5.6,5.6,5.595,5.6,7827
2019-11-05 15:35:00,5.6002,5.6052,5.6002,5.6002,3021
2019-11-05 15:40:00,5.595,5.6,5.595,5.6,4714
2019-11-05 15:45:00,5.595,5.6,5.595,5.595,3049
