,open,high,low,close,volume
2019-11-04 14:15:00,138.72,138.756,138.71,138.756,32180
2019-11-04 14:20:00,138.76,138.77,138.72,138.73,62984
2019-11-04 14:25:00,138.725,138.73,138.67,138.6954,88873
2019-11-04 14:30:00,138.7,138.7,138.67,138.69,85533
2019-11-04 14:35:00,138.6951,138.7,138.6,138.656,24582
2019-11-04 14:40:00,138.6534,138.6592,138.62,138.65,20833
2019-11-04 14:45:00,138.64,138.72,138.64,138.69,147392
2019-11-04 14:50:00,138.7,138.75,138.69,138.715,119290
2019-11-04 14:55:00,138.72,138.72,138.6577,138.68,54301
2019-11-04 15:00:00,138.69,138.75,138.65,138.73,94230
2019-11-04 15:05:00,138.73,138.73,138.701,138.701,57711
2019-11-04 15:10:00,138.7,138.725,138.683,138.72,46567
2019-11-04 15:15:00,138.71,138.76,138.703,138.7034,313836
2019-11-04 15:20:00,138.71,138.79,138.71,138.7856,188496
2019-11-04 15:25:00,138.79,138.79,138.755,138.755,90277
2019-11-04 15:30:00,138.755,138.77,138.7,138.708,56270
2019-11-04 15:35:00,138.71,138.745,138.71,138.7292,118190
2019-11-04 15:40:00,138.72,138.8,138.715,138.79,258243
2019-11-04 15:45:00,138.795,138.8,138.67,138.75,737864
2019-11-04 15:50:00,138.75,138.75,138.725,138.7257,213464
2019-11-04 15:55:00,138.725,138.755,138.7,138.74,218483
2019-11-04 16:00:00,138.73,138.755,138.695,138.71,1110575
2019-11-05 09:35:00,137.2167,137.37,137.18,137.37,480296
2019-11-05 09:40:00,137.37,137.37,137.23,137.29,895626
2019-11-05 09:45:00,137.29,137.29,137.14,137.14,313804
2019-11-05 09:50:00,137.14,137.4163,137.14,137.41,350077
2019-11-05 09:55:00,137.4128,137.44,137.39,137.41,225784
2019-11-05 10:00:00,137.43,137.45,137.4,137.41,69655
2019-11-05 10:05:00,137.39,137.39,136.73,136.78,771434
2019-11-05 10:10:00,136.78,137.09,136.78,137.09,225907
2019-11-05 10:15:00,137.09,137.165,137.0233,137.13,327027
2019-11-05 10:20:00,137.13,137.2,137.13,137.17,172041
2019-11-05 10:25:00,137.17,137.18,137.0,137.08,212258
2019-11-05 10:30:00,137.08,137.1,136.89,136.92,204185
2019-11-05 10:35:00,136.92,136.92,136.81,136.8599,87061
2019-11-05 10:40:00,136.85,136.87,136.83,136.86,89518
2019-11-05 10:45:00,136.86,137.01,136.83,136.99,159926
2019-11-05 10:50:00,136.99,137.01,136.9,136.96,111722
2019-11-05 10:55:00,136.93,136.95,136.9,136.95,223693
2019-11-05 11:00:00,136.95,136.97,136.86,136.86,30116
2019-11-05 11:05:00,136.85,136.85,136.76,136.82,65667
2019-11-05 11:10:00,136.82,136.85,136.77,136.85,61853
2019-11-05 11:15:00,136.845,137.0,136.8422,136.97,52550
2019-11-05 11:20:00,136.97,137.0,136.95,137.0,71090
2019-11-05 11:25:00,137.0,137.03,136.99,137.01,117904
2019-11-05 11:30:00,137.02,137.06,136.99,137.06,236221
2019-11-05 11:35:00,137.06,137.065,136.914,136.914,97695
2019-11-05 11:40:00,136.92,137.0,136.89,136.99,62057
2019-11-05 11:45:00,137.0,137.0,136.89,136.89,55648
