,open,high,low,close,volume
2019-11-04 14:15:00,54.1899,54.21,54.185,54.185,27130
2019-11-04 14:20:00,54.19,54.19,54.13,54.1434,18352
2019-11-04 14:25:00,54.15,54.15,54.07,54.08,20720
2019-11-04 14:30:00,54.07,54.08,54.02,54.02,17062
2019-11-04 14:35:00,54.03,54.0548,54.02,54.021,18950
2019-11-04 14:40:00,54.02,54.0433,54.0,54.0,21838
2019-11-04 14:45:00,54.005,54.05,54.0,54.0224,21760
2019-11-04 14:50:00,54.03,54.06,54.02,54.05,20678
2019-11-04 14:55:00,54.05,54.06,54.01,54.01,16064
2019-11-04 15:00:00,54.02,54.07,54.02,54.06,22163
2019-11-04 15:05:00,54.05,54.09,54.045,54.08,26980
2019-11-04 15:10:00,54.07,54.08,54.06,54.06,25482
2019-11-04 15:15:00,54.06,54.09,54.04,54.068999999999996,34158
2019-11-04 15:20:00,54.07,54.11,54.07,54.095,23744
2019-11-04 15:25:00,54.09,54.125,54.0759,54.125,32538
2019-11-04 15:30:00,54.13,54.14,54.075,54.075,24720
2019-11-04 15:35:00,54.08,54.115,54.07,54.1,31382
2019-11-04 15:40:00,54.11,54.1154,54.1,54.11,42060
2019-11-04 15:45:00,54.11,54.13,54.11,54.12,28882
2019-11-04 15:50:00,54.115,54.12,54.115,54.1195,25242
2019-11-04 15:55:00,54.12,54.175,54.11,54.17,84914
2019-11-04 16:00:00,54.18,54.18,54.06,54.06,93917
2019-11-05 09:35:00,54.75,54.75,54.61,54.6427,729246
2019-11-05 09:40:00,54.64,54.7613,54.64,54.73,64126
2019-11-05 09:45:00,54.706,54.76,54.7,54.76,107544
2019-11-05 09:50:00,54.76,54.76,54.72,54.755,26108
2019-11-05 09:55:00,54.75,54.75,54.72,54.73,32024
2019-11-05 10:00:00,54.73,54.73,54.69,54.72,58043
2019-11-05 10:05:00,54.72,54.74,54.6943,54.7,23766
2019-11-05 10:10:00,54.71,54.71,54.66,54.67,76698
2019-11-05 10:15:00,54.6718,54.7569,54.6581,54.7002,30846
2019-11-05 10:20:00,54.69,54.71,54.65,54.7,10804
2019-11-05 10:25:00,54.71,54.715,54.62600000000001,54.6269,14846
2019-11-05 10:30:00,54.62600000000001,54.63,54.56,54.56,130532
2019-11-05 10:35:00,54.5613,54.5961,54.56,54.56,51784
2019-11-05 10:40:00,54.56,54.606,54.56,54.59,43956
2019-11-05 10:45:00,54.6,54.63,54.56,54.57,57004
2019-11-05 10:50:00,54.58,54.6,54.57,54.57,46340
2019-11-05 10:55:00,54.58,54.6429,54.58,54.6429,40296
2019-11-05 11:00:00,54.65,54.67,54.65,54.66,38268
2019-11-05 11:05:00,54.66,54.71,54.65,54.71,35688
2019-11-05 11:10:00,54.715,54.72,54.7,54.7,33922
2019-11-05 11:15:00,54.695,54.705,54.675,54.68,36310
2019-11-05 11:20:00,54.68,54.7,54.64,54.6926,5994
2019-11-05 11:25:00,54.655,54.655,54.625,54.63,74062
2019-11-05 11:30:00,54.63,54.6359,54.595,54.6134,30380
2019-11-05 11:35:00,54.635,54.635,54.5193,54.54,174094
2019-11-05 11:40:00,54.55,54.61,54.545,54.6063,33842
2019-11-05 11:45:00,54.6,54.63399999999999,54.6,54.6,33072
2019-11-05 11:50:00,54.6,54.635,54.595,54.605,24814
2019-11-05 11:55:00,54.6,54.6,54.59,54.59,136594
2019-11-05 12:00:00,54.59,54.68,54.59,54.68,41953
2019-11-05 12:05:00,54.67,54.67,54.635,54.64,22860
2019-11-05 12:10:00,54.63,54.63,54.605,54.605,20268
2019-11-05 12:15:00,54.61,54.615,54.6,54.604,23312
2019-11-05 12:20:00,54.6,54.64,54.6,54.6,17022
2019-11-05 12:25:00,54.61,54.615,54.6,54.605,19074
2019-11-05 12:30:00,54.6,54.6093,54.59,54.59,157502
2019-11-05 12:35:00,54.57,54.58,54.505,54.505,40370
2019-11-05 12:40:00,54.51,54.51,54.5,54.5,12976
2019-11-05 12:45:00,54.5,54.53,54.5,54.5242,33690
2019-11-05 12:50:00,54.5241,54.54,54.5241,54.54,11806
2019-11-05 12:55:00,54.54,54.56,54.53,54.5357,16296
2019-11-05 13:00:00,54.54,54.54,54.52,54.52,15332
2019-11-05 13:05:00,54.51,54.53,54.5042,54.53,12432
2019-11-05 13:10:00,54.54,54.5433,54.53,54.5353,15034
2019-11-05 13:15:00,54.55,54.57,54.55,54.56,7182
2019-11-05 13:20:00,54.56,54.593999999999994,54.555,54.593999999999994,36206
2019-11-05 13:25:00,54.6,54.61,54.595,54.605,12334
2019-11-05 13:30:00,54.605,54.61,54.59,54.59,24734
2019-11-05 13:35:00,54.59,54.64,54.57,54.64,26328
2019-11-05 13:40:00,54.635,54.65,54.6,54.6,20408
2019-11-05 13:45:00,54.585,54.595,54.57,54.59,30970
2019-11-05 13:50:00,54.59,54.62,54.59,54.6166,11656
2019-11-05 13:55:00,54.615,54.62,54.611000000000004,54.615,10222
2019-11-05 14:00:00,54.61,54.61,54.58,54.58,24206
2019-11-05 14:05:00,54.57,54.58,54.57,54.573,11034
2019-11-05 14:10:00,54.575,54.6053,54.575,54.605,28150
2019-11-05 14:15:00,54.6044,54.62600000000001,54.6017,54.61,24218
2019-11-05 14:20:00,54.61,54.61,54.585,54.5856,10982
2019-11-05 14:25:00,54.5831,54.62,54.58,54.62,38984
2019-11-05 14:30:00,54.62,54.66,54.615,54.63,28126
2019-11-05 14:35:00,54.63,54.64,54.595,54.595,22202
2019-11-05 14:40:00,54.595,54.6143,54.595,54.6143,29830
2019-11-05 14:45:00,54.6141,54.68,54.6141,54.65,38380
2019-11-05 14:50:00,54.65,54.65,54.62,54.63,16736
