,open,high,low,close,volume
2019-11-04 14:15:00,320.04,320.84,319.9759,320.6932,91522
2019-11-04 14:20:00,320.6892,320.89,320.567,320.7852,100668
2019-11-04 14:25:00,320.81,320.86,320.24,320.44,58070
2019-11-04 14:30:00,320.44,320.95,320.3,320.94,70346
2019-11-04 14:35:00,320.9146,321.55,320.9,321.405,169246
2019-11-04 14:40:00,321.42,321.64,321.32,321.4996,165198
2019-11-04 14:45:00,321.4675,321.6599,320.8,321.03,105474
2019-11-04 14:50:00,321.045,321.19,321.006,321.15,53133
2019-11-04 14:55:00,321.14,321.6,320.19,320.2715,160048
2019-11-04 15:00:00,320.3,320.42,319.871,319.99,69901
2019-11-04 15:05:00,320.2058,320.2476,319.5,319.55,38538
2019-11-04 15:10:00,319.59,319.61,319.0,319.0,90396
2019-11-04 15:15:00,319.13,319.14,317.98,318.0193,126069
2019-11-04 15:20:00,318.01,318.422,317.32,317.4199,266201
2019-11-04 15:25:00,317.37,318.44,317.31,317.84,112384
2019-11-04 15:30:00,317.7671,318.1788,317.1964,317.4499,67418
2019-11-04 15:35:00,317.48,318.3,317.35,318.3,93470
2019-11-04 15:40:00,318.33,318.67,318.093,318.425,79900
2019-11-04 15:45:00,318.3619,318.7884,318.0577,318.0819,79748
2019-11-04 15:50:00,317.9566,318.245,317.84,317.98,83408
2019-11-04 15:55:00,318.04,318.98,317.7675,318.6752,149522
2019-11-04 16:00:00,318.74,318.95,317.32,317.43,201283
2019-11-05 09:35:00,318.5455,318.8451,316.4256,317.4253,254324
2019-11-05 09:40:00,317.22,318.595,317.198,317.8482,153964
2019-11-05 09:45:00,318.0,321.15,318.0,321.15,219925
2019-11-05 09:50:00,321.2378,321.5268,319.9195,320.422,174000
2019-11-05 09:55:00,320.262,321.9,320.262,321.9,185047
2019-11-05 10:00:00,321.81,322.94,321.39,321.39,334868
2019-11-05 10:05:00,321.3952,323.7902,321.288,323.1953,224578
2019-11-05 10:10:00,323.2864,323.4,319.56,319.6742,198002
2019-11-05 10:15:00,319.6404,319.698,318.809,319.1903,209977
2019-11-05 10:20:00,319.3363,320.54,318.84,320.5163,155572
2019-11-05 10:25:00,320.5845,321.39,320.1,320.1,74178
2019-11-05 10:30:00,320.2283,320.5164,319.5793,319.6419,63639
2019-11-05 10:35:00,319.7028,320.0363,318.7951,319.1333,123823
2019-11-05 10:40:00,319.08,319.7,319.02,319.08,80830
2019-11-05 10:45:00,319.0,319.3,318.7,318.7,58151
2019-11-05 10:50:00,318.62,320.09,318.62,320.0001,87005
2019-11-05 10:55:00,320.06,320.19,319.999,320.09,92755
2019-11-05 11:00:00,320.31,320.811,320.285,320.55,64026
2019-11-05 11:05:00,320.57,320.78,320.46,320.59,70424
2019-11-05 11:10:00,320.61,321.3,320.437,320.9263,106719
2019-11-05 11:15:00,320.95,321.05,319.94,319.9794,76697
2019-11-05 11:20:00,319.895,320.24,319.5,319.76,50296
2019-11-05 11:25:00,319.67,320.55,319.66,320.3,37776
2019-11-05 11:30:00,320.2439,320.58,320.17,320.58,52176
2019-11-05 11:35:00,320.6602,321.365,320.5458,320.8202,94923
2019-11-05 11:40:00,320.67,320.91,320.0028,320.0909,73721
2019-11-05 11:45:00,320.16,320.43,319.51,319.8,51327
2019-11-05 11:50:00,319.7753,320.1512,319.5907,319.6903,35154
2019-11-05 11:55:00,319.595,319.97,319.47,319.5419,63067
2019-11-05 12:00:00,319.43,319.9,319.28,319.5,20872
2019-11-05 12:05:00,319.4734,319.6,318.695,318.7833,66128
2019-11-05 12:10:00,318.8119,318.903,318.4,318.7123,45605
2019-11-05 12:15:00,318.693,318.89799999999997,318.558,318.558,43796
2019-11-05 12:20:00,318.52,319.37,318.4174,319.37,51344
2019-11-05 12:25:00,319.36,319.68,318.82,319.12,47114
2019-11-05 12:30:00,319.0052,319.19,318.83,318.9442,29867
2019-11-05 12:35:00,318.8448,319.1,318.77,318.83,25410
2019-11-05 12:40:00,318.8703,318.95,318.753,318.8363,25283
2019-11-05 12:45:00,318.8,319.77,318.75,319.37,34477
2019-11-05 12:50:00,319.33,319.37,318.66,318.66,54708
2019-11-05 12:55:00,318.76,318.7799,317.3,317.3,115373
2019-11-05 13:00:00,317.4,317.9,317.33,317.9,53747
2019-11-05 13:05:00,317.93,318.7199,317.8,318.62,36588
2019-11-05 13:10:00,318.65,319.06,318.6,318.7543,98061
2019-11-05 13:15:00,318.82,318.89,318.71,318.75,30987
2019-11-05 13:20:00,318.7757,318.95,318.62,318.6845,50216
2019-11-05 13:25:00,318.74,318.763,318.57,318.6,46479
2019-11-05 13:30:00,318.62,319.08,318.57,318.7803,34866
2019-11-05 13:35:00,318.7995,318.7995,318.26,318.49,23067
2019-11-05 13:40:00,318.52,318.55,317.66,317.77299999999997,81157
2019-11-05 13:45:00,317.72,318.205,317.72,317.9874,46658
2019-11-05 13:50:00,317.95,317.9545,317.15,317.3892,66921
2019-11-05 13:55:00,317.32,317.394,317.275,317.38,34217
2019-11-05 14:00:00,317.42,317.6,317.13,317.22,32218
2019-11-05 14:05:00,317.1754,317.34,316.99,317.0,50331
2019-11-05 14:10:00,317.0264,317.7,317.0264,317.5476,29882
2019-11-05 14:15:00,317.61,317.95599999999996,317.562,317.57,35859
2019-11-05 14:20:00,317.645,317.69,317.2701,317.35,22381
2019-11-05 14:25:00,317.414,317.51,317.0,317.27,39998
2019-11-05 14:30:00,317.26,317.392,317.14,317.38,30020
2019-11-05 14:35:00,317.36,317.85,317.35,317.6,23084
2019-11-05 14:40:00,317.51,317.8385,317.5,317.65,35888
2019-11-05 14:45:00,317.6281,318.2655,317.61,317.9,33774
2019-11-05 14:50:00,317.81,318.25,317.77,318.03,24746
2019-11-05 14:55:00,318.09,318.1,317.5,317.61,21359
