,open,high,low,close,volume
2019-11-04 14:15:00,92.38,92.56,92.36,92.51,61854
2019-11-04 14:20:00,92.5015,92.5304,92.405,92.4915,44599
2019-11-04 14:25:00,92.48,92.59,92.18,92.23,77360
2019-11-04 14:30:00,92.23,92.525,92.19,92.4254,66636
2019-11-04 14:35:00,92.4,92.56,92.35,92.55,49386
2019-11-04 14:40:00,92.5439,92.7792,92.3988,92.6139,178693
2019-11-04 14:45:00,92.5846,92.67,92.46,92.4968,87469
2019-11-04 14:50:00,92.4987,92.79,92.42,92.4237,145134
2019-11-04 14:55:00,92.3934,92.6367,92.2464,92.4834,93873
2019-11-04 15:00:00,92.48,92.66,92.41,92.64,53160
2019-11-04 15:05:00,92.63,92.67,92.3,92.37,92611
2019-11-04 15:10:00,92.3848,92.42,92.1797,92.1923,48411
2019-11-04 15:15:00,92.18,92.2,92.0315,92.0315,106633
2019-11-04 15:20:00,92.04,92.06,91.72,91.74,128431
2019-11-04 15:25:00,91.72,92.08,91.64,91.77,100679
2019-11-04 15:30:00,91.84,91.92,91.82,91.92,82066
2019-11-04 15:35:00,91.915,92.0264,91.905,91.98,92075
2019-11-04 15:40:00,91.99,92.2,91.97,92.165,82710
2019-11-04 15:45:00,92.16,92.35,92.16,92.256,76939
2019-11-04 15:50:00,92.26,92.42,92.24,92.37,103781
2019-11-04 15:55:00,92.37,92.39,92.0,92.0197,155557
2019-11-04 16:00:00,92.01,92.04,91.84,92.04,256028
2019-11-05 09:35:00,92.661,92.72,92.38,92.71799999999999,162657
2019-11-05 09:40:00,92.71,92.76,91.5,91.545,99583
2019-11-05 09:45:00,91.5538,91.7792,91.095,91.4038,189408
2019-11-05 09:50:00,91.3401,92.06,91.3401,91.645,151912
2019-11-05 09:55:00,91.6487,91.7578,91.1673,91.1737,109108
2019-11-05 10:00:00,91.18,91.71,91.09,91.68,122431
2019-11-05 10:05:00,91.7315,92.8603,91.7194,92.2015,124966
2019-11-05 10:10:00,92.27,92.27,91.25,91.28,73621
2019-11-05 10:15:00,91.3384,91.4888,90.7283,90.9429,155703
2019-11-05 10:20:00,90.91,91.23,90.9,90.96,98566
2019-11-05 10:25:00,90.9597,91.1,90.69,90.69,87653
2019-11-05 10:30:00,90.6934,90.72,90.53,90.5334,121650
2019-11-05 10:35:00,90.5336,90.61,90.41,90.4136,72157
2019-11-05 10:40:00,90.47,90.9316,90.45,90.8,83602
2019-11-05 10:45:00,90.8364,90.94,90.3114,90.3662,67786
2019-11-05 10:50:00,90.3315,90.4031,90.1,90.3215,121440
