,open,high,low,close,volume
2019-11-04 14:15:00,29.965,29.97,29.93,29.9434,77954
2019-11-04 14:20:00,29.94,29.95,29.92,29.925,83186
2019-11-04 14:25:00,29.9257,29.9261,29.91,29.925,97089
2019-11-04 14:30:00,29.92,29.97,29.92,29.96,110369
2019-11-04 14:35:00,29.955,30.015,29.9501,30.015,294492
2019-11-04 14:40:00,30.015,30.02,29.99,30.0,221217
2019-11-04 14:45:00,30.0066,30.15,30.0,30.085,859911
2019-11-04 14:50:00,30.09,30.11,30.05,30.055,149189
2019-11-04 14:55:00,30.05,30.06,29.995,30.005,192104
2019-11-04 15:00:00,30.01,30.02,29.98,30.02,179622
2019-11-04 15:05:00,30.0158,30.02,29.98,29.995,109428
2019-11-04 15:10:00,29.995,30.0,29.93,29.945,163544
2019-11-04 15:15:00,29.9415,29.9599,29.94,29.9599,182381
2019-11-04 15:20:00,29.951,29.9841,29.9291,29.941,272006
2019-11-04 15:25:00,29.9301,29.995,29.93,29.975,102356
2019-11-04 15:30:00,29.9763,29.9776,29.93,29.9513,133693
2019-11-04 15:35:00,29.945,29.975,29.93,29.96,274846
2019-11-04 15:40:00,29.9612,29.97,29.935,29.9612,300632
2019-11-04 15:45:00,29.96,29.985,29.95,29.95,185874
2019-11-04 15:50:00,29.95,29.955,29.94,29.955,177291
2019-11-04 15:55:00,29.96,29.99,29.95,29.965,399302
2019-11-04 16:00:00,29.97,30.06,29.965,30.06,1333796
2019-11-05 09:35:00,30.191,30.3322,30.175,30.320999999999998,1075700
2019-11-05 09:40:00,30.3226,30.3689,30.0937,30.1556,465803
2019-11-05 09:45:00,30.1613,30.2391,30.0889,30.1813,438607
2019-11-05 09:50:00,30.18,30.34,30.17,30.2832,414685
2019-11-05 09:55:00,30.2912,30.315,30.1999,30.2012,372307
2019-11-05 10:00:00,30.21,30.248,30.205,30.22,172017
2019-11-05 10:05:00,30.22,30.265,30.15,30.175,379936
2019-11-05 10:10:00,30.17,30.17,30.03,30.04,388165
2019-11-05 10:15:00,30.046,30.0742,29.9591,29.976,393131
2019-11-05 10:20:00,29.97,29.98,29.9,29.92,276097
2019-11-05 10:25:00,29.92,29.941999999999997,29.905,29.905,245911
2019-11-05 10:30:00,29.9011,29.92,29.89,29.9011,289185
2019-11-05 10:35:00,29.9066,29.935,29.85,29.9262,264220
2019-11-05 10:40:00,29.92,29.96,29.9087,29.96,151628
2019-11-05 10:45:00,29.9597,29.9656,29.933000000000003,29.935,186608
2019-11-05 10:50:00,29.93,29.95,29.87,29.88,212031
2019-11-05 10:55:00,29.89,29.9,29.83,29.8303,141987
2019-11-05 11:00:00,29.83,29.83,29.805,29.82,217844
2019-11-05 11:05:00,29.82,29.88,29.82,29.865,148337
2019-11-05 11:10:00,29.865,29.8856,29.85,29.885,123752
2019-11-05 11:15:00,29.885,29.91,29.8758,29.91,87278
2019-11-05 11:20:00,29.92,29.935,29.9,29.93,101155
2019-11-05 11:25:00,29.9312,29.9687,29.8986,29.9112,169583
2019-11-05 11:30:00,29.9126,29.915,29.885,29.9111,103549
2019-11-05 11:35:00,29.916,29.9744,29.9143,29.945999999999998,109799
2019-11-05 11:40:00,29.95,29.96,29.935,29.9471,82104
2019-11-05 11:45:00,29.945,29.945,29.9,29.915,139525
2019-11-05 11:50:00,29.91,29.91,29.87,29.895,82719
2019-11-05 11:55:00,29.895,29.93,29.89,29.92,94860
2019-11-05 12:00:00,29.93,29.96,29.91,29.96,150156
2019-11-05 12:05:00,29.955,29.965,29.9002,29.9046,190793
2019-11-05 12:10:00,29.9135,29.925,29.89,29.92,110568
2019-11-05 12:15:00,29.92,29.927,29.905,29.92,104945
2019-11-05 12:20:00,29.92,29.925,29.91,29.9242,66441
2019-11-05 12:25:00,29.93,29.95,29.93,29.9468,163280
2019-11-05 12:30:00,29.94,29.94,29.85,29.855,107866
2019-11-05 12:35:00,29.855,29.865,29.83,29.8344,98675
2019-11-05 12:40:00,29.835,29.88,29.82,29.855,93316
2019-11-05 12:45:00,29.85,29.865,29.84,29.865,69017
2019-11-05 12:50:00,29.87,29.88,29.845,29.85,74661
2019-11-05 12:55:00,29.8456,29.855,29.835,29.854,53427
2019-11-05 13:00:00,29.86,29.88,29.84,29.88,95915
2019-11-05 13:05:00,29.88,29.88,29.85,29.8758,100911
2019-11-05 13:10:00,29.88,29.91,29.8744,29.9,136242
2019-11-05 13:15:00,29.91,29.95,29.905,29.92,140097
2019-11-05 13:20:00,29.91,29.94,29.91,29.925,86599
2019-11-05 13:25:00,29.9268,29.96,29.915,29.955,262279
2019-11-05 13:30:00,29.95,29.96,29.92,29.93,340837
2019-11-05 13:35:00,29.9328,29.97,29.92,29.96,138146
2019-11-05 13:40:00,29.95,29.96,29.94,29.955,72976
2019-11-05 13:45:00,29.955,29.97,29.95,29.97,74479
2019-11-05 13:50:00,29.97,29.99,29.96,29.96,149017
2019-11-05 13:55:00,29.96,29.99,29.9599,29.9656,135859
2019-11-05 14:00:00,29.96,29.965,29.955,29.96,101588
2019-11-05 14:05:00,29.955,29.96,29.94,29.955,192918
2019-11-05 14:10:00,29.955,30.035,29.955,30.0339,237786
2019-11-05 14:15:00,30.035,30.035999999999998,29.955,29.955,249020
2019-11-05 14:20:00,29.9589,29.9754,29.95,29.95,75564
2019-11-05 14:25:00,29.95,29.97,29.945,29.965,67128
2019-11-05 14:30:00,29.965,29.975,29.94,29.955,85686
2019-11-05 14:35:00,29.955,29.965,29.87,29.885,235735
