,open,high,low,close,volume
2019-11-04 14:15:00,30.910999999999998,30.92,30.83,30.831,158579
2019-11-04 14:20:00,30.8405,30.8667,30.7166,30.7305,223778
2019-11-04 14:25:00,30.73,30.7499,30.635,30.69,258686
2019-11-04 14:30:00,30.69,30.9,30.68,30.87,285796
2019-11-04 14:35:00,30.8758,30.98,30.8248,30.8958,288335
2019-11-04 14:40:00,30.88,30.92,30.868000000000002,30.868000000000002,219446
2019-11-04 14:45:00,30.87,30.93,30.86,30.91,129988
2019-11-04 14:50:00,30.9112,30.93,30.88,30.9012,179687
2019-11-04 14:55:00,30.9012,30.929000000000002,30.7738,30.7798,183972
2019-11-04 15:00:00,30.78,30.86,30.74,30.85,155809
2019-11-04 15:05:00,30.851,30.8803,30.7902,30.796,189943
2019-11-04 15:10:00,30.8005,30.823,30.775,30.8055,133058
2019-11-04 15:15:00,30.8,30.82,30.775,30.78,368189
2019-11-04 15:20:00,30.78,30.97,30.78,30.9599,269242
2019-11-04 15:25:00,30.97,31.035,30.96,31.0,357131
2019-11-04 15:30:00,30.995,31.05,30.98,31.02,193429
2019-11-04 15:35:00,31.0206,31.035,30.9718,31.0106,236580
2019-11-04 15:40:00,31.01,31.05,31.0,31.02,253165
2019-11-04 15:45:00,31.0262,31.04,30.96,30.9912,428775
2019-11-04 15:50:00,30.985,31.04,30.98,31.005,461821
2019-11-04 15:55:00,31.005,31.09800000000001,31.0046,31.09800000000001,834094
2019-11-04 16:00:00,31.1,31.1,31.01,31.08,1352807
2019-11-05 09:35:00,29.1309,29.2685,28.5477,28.6509,5997194
2019-11-05 09:40:00,28.6606,28.77,28.62,28.7671,2755845
2019-11-05 09:45:00,28.7712,29.0579,28.6475,29.0012,2008167
2019-11-05 09:50:00,29.0111,29.1199,28.9055,28.9211,1344134
2019-11-05 09:55:00,28.9212,29.3281,28.9177,29.0323,1294780
2019-11-05 10:00:00,29.02,29.02,28.9599,28.98,741733
2019-11-05 10:05:00,28.9605,29.3254,28.7949,29.2005,1396203
2019-11-05 10:10:00,29.2158,29.2683,29.0281,29.0608,845411
2019-11-05 10:15:00,29.06,29.1164,28.87,28.88,778299
2019-11-05 10:20:00,28.8806,29.1229,28.7826,28.9156,738559
2019-11-05 10:25:00,28.9012,28.955,28.8258,28.8611,354004
2019-11-05 10:30:00,28.8611,28.9171,28.6468,28.7611,1113368
2019-11-05 10:35:00,28.7513,28.8276,28.7275,28.7612,573599
2019-11-05 10:40:00,28.7612,29.0,28.75,28.9,478106
2019-11-05 10:45:00,28.9081,28.978,28.6981,28.7009,631163
2019-11-05 10:50:00,28.6905,28.7526,28.6708,28.7305,456461
2019-11-05 10:55:00,28.73,28.77,28.72,28.72,286033
2019-11-05 11:00:00,28.72,28.76,28.705,28.71,320215
2019-11-05 11:05:00,28.7135,28.88,28.69,28.725,484541
2019-11-05 11:10:00,28.7256,28.8827,28.7226,28.8007,375812
2019-11-05 11:15:00,28.8008,28.83,28.7741,28.7912,337243
2019-11-05 11:20:00,28.7897,28.8425,28.74,28.8,79609
2019-11-05 11:25:00,28.7612,28.8176,28.7475,28.7912,973110
2019-11-05 11:30:00,28.7834,28.8268,28.7267,28.7685,356398
2019-11-05 11:35:00,28.76,28.76,28.65,28.66,424316
2019-11-05 11:40:00,28.6605,28.7249,28.6248,28.6575,602284
2019-11-05 11:45:00,28.65,28.72,28.55,28.56,768674
2019-11-05 11:50:00,28.5809,28.59,28.41,28.4109,899858
2019-11-05 11:55:00,28.4207,28.5176,28.3174,28.4907,945029
2019-11-05 12:00:00,28.48,28.48,28.31,28.32,509894
2019-11-05 12:05:00,28.3312,28.4674,28.3272,28.4306,592897
2019-11-05 12:10:00,28.4111,28.4666,28.3766,28.4211,335119
2019-11-05 12:15:00,28.416,28.4522,28.3271,28.3271,398520
2019-11-05 12:20:00,28.3312,28.42,28.31,28.37,319804
2019-11-05 12:25:00,28.3609,28.3726,28.26,28.2809,1043564
2019-11-05 12:30:00,28.2805,28.285,28.25,28.2815,576389
2019-11-05 12:35:00,28.28,28.3,28.1,28.14,924235
2019-11-05 12:40:00,28.14,28.31,28.13,28.31,579499
2019-11-05 12:45:00,28.305,28.44,28.29,28.36,600440
2019-11-05 12:50:00,28.3812,28.39,28.34,28.3862,292044
2019-11-05 12:55:00,28.3806,28.4123,28.2822,28.3006,328112
2019-11-05 13:00:00,28.3,28.37,28.3,28.33,207982
2019-11-05 13:05:00,28.3361,28.4001,28.3267,28.3811,281924
2019-11-05 13:10:00,28.38,28.41,28.33,28.35,374656
2019-11-05 13:15:00,28.35,28.36,28.27,28.275,279374
2019-11-05 13:20:00,28.275,28.29,28.17,28.185,493530
2019-11-05 13:25:00,28.19,28.2386,28.1637,28.19,361429
2019-11-05 13:30:00,28.1959,28.24,28.1734,28.2059,334880
2019-11-05 13:35:00,28.205,28.215,28.15,28.155,309521
2019-11-05 13:40:00,28.156,28.17,28.07,28.1262,772194
2019-11-05 13:45:00,28.1282,28.1368,28.04,28.1156,620923
2019-11-05 13:50:00,28.1177,28.1398,28.11,28.1111,273828
2019-11-05 13:55:00,28.116,28.125,28.1,28.111,287237
2019-11-05 14:00:00,28.11,28.11,28.02,28.05,395227
2019-11-05 14:05:00,28.0409,28.1676,28.0275,28.121,291913
2019-11-05 14:10:00,28.125,28.14,28.04,28.04,243734
2019-11-05 14:15:00,28.05,28.07,28.0,28.03,465249
2019-11-05 14:20:00,28.0359,28.0673,27.9972,28.0051,736320
2019-11-05 14:25:00,28.005,28.33,28.0,28.2319,771588
2019-11-05 14:30:00,28.23,28.37,28.224,28.335,405122
2019-11-05 14:35:00,28.3356,28.4023,28.2322,28.2406,376573
2019-11-05 14:40:00,28.245,28.265,28.2434,28.265,256604
2019-11-05 14:45:00,28.2667,28.275,28.2332,28.2511,347970
2019-11-05 14:50:00,28.2452,28.29,28.24,28.285,255181
2019-11-05 14:55:00,28.287,28.3563,28.2762,28.331,312515
2019-11-05 15:00:00,28.33,28.384,28.3042,28.37,436852
2019-11-05 15:05:00,28.3735,28.375,28.37,28.37,371836
2019-11-05 15:10:00,28.3709,28.3976,28.3275,28.3409,377271
2019-11-05 15:15:00,28.335,28.38,28.31,28.355,378713
2019-11-05 15:20:00,28.36,28.365,28.35,28.35,254812
2019-11-05 15:25:00,28.35,28.3559,28.25,28.25,393117
2019-11-05 15:30:00,28.25,28.25,28.2,28.205,377741
2019-11-05 15:35:00,28.205,28.205,28.2046,28.205,225669
2019-11-05 15:40:00,28.205,28.21,28.1308,28.1308,418181
2019-11-05 15:45:00,28.1399,28.1399,28.08,28.0825,386279
2019-11-05 15:50:00,28.085,28.09,28.06,28.065,515738
2019-11-05 15:55:00,28.065,28.07,28.02,28.02,591169
2019-11-05 16:00:00,28.03,28.03,28.01,28.01,2068549
2019-11-06 09:35:00,26.0611,26.4654,25.6046,26.4212,32719038
2019-11-06 09:40:00,26.426,26.81,26.3858,26.3868,8000491
2019-11-06 09:45:00,26.3911,26.4601,26.2744,26.2755,4231021
2019-11-06 09:50:00,26.27,26.56,26.265,26.54,3927050
2019-11-06 09:55:00,26.5408,26.9764,26.526,26.851,4545895
2019-11-06 10:00:00,26.86,27.21,26.82,27.21,6493588
2019-11-06 10:05:00,27.205,27.23,26.87,26.87,4016090
2019-11-06 10:10:00,26.87,27.2,26.8645,27.13,2084180
2019-11-06 10:15:00,27.1211,27.4163,27.096,27.3511,2970538
