,open,high,low,close,volume
2019-11-04 14:15:00,13.3,13.32,13.3,13.31,7775
2019-11-04 14:20:00,13.32,13.32,13.31,13.31,7188
2019-11-04 14:25:00,13.31,13.31,13.305,13.31,1849
2019-11-04 14:30:00,13.31,13.31,13.3,13.3,2512
2019-11-04 14:35:00,13.31,13.32,13.31,13.32,22066
2019-11-04 14:40:00,13.31,13.32,13.31,13.32,2000
2019-11-04 14:45:00,13.32,13.33,13.32,13.33,16633
2019-11-04 14:50:00,13.32,13.33,13.32,13.33,5514
2019-11-04 14:55:00,13.34,13.34,13.32,13.33,12603
2019-11-04 15:00:00,13.33,13.33,13.32,13.33,7672
2019-11-04 15:05:00,13.33,13.33,13.324000000000002,13.33,20745
2019-11-04 15:10:00,13.33,13.35,13.33,13.345,10274
2019-11-04 15:15:00,13.35,13.35,13.335,13.35,12203
2019-11-04 15:20:00,13.345,13.36,13.345,13.35,7347
2019-11-04 15:25:00,13.355,13.355,13.35,13.35,13097
2019-11-04 15:30:00,13.36,13.36,13.33,13.33,21899
2019-11-04 15:35:00,13.335,13.335,13.32,13.33,12989
2019-11-04 15:40:00,13.32,13.33,13.32,13.33,18882
2019-11-04 15:45:00,13.33,13.33,13.31,13.31,24169
2019-11-04 15:50:00,13.31,13.32,13.3,13.3,20578
2019-11-04 15:55:00,13.3,13.31,13.3,13.305,61183
2019-11-04 16:00:00,13.31,13.31,13.27,13.28,141479
2019-11-05 09:35:00,13.3004,13.3129,13.2929,13.3004,33551
2019-11-05 09:40:00,13.3,13.33,13.3,13.33,23465
2019-11-05 09:45:00,13.3299,13.335,13.325,13.33,8580
2019-11-05 09:50:00,13.34,13.36,13.33,13.34,21187
2019-11-05 09:55:00,13.34,13.35,13.33,13.33,43245
2019-11-05 10:00:00,13.33,13.34,13.33,13.34,3029
2019-11-05 10:05:00,13.34,13.34,13.32,13.32,8222
2019-11-05 10:10:00,13.3304,13.3429,13.3129,13.3204,32477
2019-11-05 10:15:00,13.31,13.315,13.31,13.315,14670
2019-11-05 10:20:00,13.32,13.33,13.31,13.33,15389
2019-11-05 10:25:00,13.325,13.33,13.305,13.31,7624
2019-11-05 10:30:00,13.3,13.305,13.29,13.295,8268
2019-11-05 10:35:00,13.3,13.3,13.29,13.295,6563
2019-11-05 10:40:00,13.3,13.31,13.3,13.305,4820
2019-11-05 10:45:00,13.31,13.32,13.3,13.31,15890
2019-11-05 10:50:00,13.315,13.34,13.31,13.34,55305
2019-11-05 10:55:00,13.34,13.34,13.335,13.335,3300
2019-11-05 11:00:00,13.34,13.34,13.33,13.34,11263
2019-11-05 11:05:00,13.33,13.335,13.325,13.33,6802
2019-11-05 11:10:00,13.33,13.34,13.33,13.34,2938
2019-11-05 11:15:00,13.34,13.38,13.335,13.38,10181
2019-11-05 11:20:00,13.38,13.39,13.38,13.385,1123
2019-11-05 11:25:00,13.37,13.38,13.365,13.37,19973
2019-11-05 11:30:00,13.37,13.37,13.355,13.355,4512
2019-11-05 11:35:00,13.35,13.355,13.3444,13.345,4829
2019-11-05 11:40:00,13.35,13.355,13.35,13.35,11360
2019-11-05 11:45:00,13.35,13.36,13.35,13.35,9843
2019-11-05 11:50:00,13.345,13.35,13.34,13.345,3959
2019-11-05 11:55:00,13.34,13.36,13.34,13.355,7309
