,open,high,low,close,volume
2019-11-04 14:15:00,20.56,20.56,20.54,20.54,18653
2019-11-04 14:20:00,20.5436,20.5451,20.54,20.5451,16351
2019-11-04 14:25:00,20.54,20.56,20.535,20.555,47217
2019-11-04 14:30:00,20.555,20.56,20.55,20.56,10556
2019-11-04 14:35:00,20.55,20.56,20.55,20.555,5860
2019-11-04 14:40:00,20.554000000000002,20.56,20.5435,20.545,11578
2019-11-04 14:45:00,20.545,20.55,20.54,20.545,6829
2019-11-04 14:50:00,20.54,20.57,20.54,20.565,52993
2019-11-04 14:55:00,20.565,20.57,20.565,20.565,12802
2019-11-04 15:00:00,20.56,20.56,20.554000000000002,20.56,14551
2019-11-04 15:05:00,20.56,20.56,20.555,20.555,9281
2019-11-04 15:10:00,20.5535,20.56,20.55,20.555,11741
2019-11-04 15:15:00,20.555999999999997,20.56,20.55,20.555,16647
2019-11-04 15:20:00,20.56,20.57,20.5501,20.565,25955
2019-11-04 15:25:00,20.565,20.57,20.565,20.565,24583
2019-11-04 15:30:00,20.57,20.57,20.56,20.56,21925
2019-11-04 15:35:00,20.565,20.58,20.56,20.58,44396
2019-11-04 15:40:00,20.5744,20.58,20.57,20.58,13812
2019-11-04 15:45:00,20.57,20.59,20.57,20.575,43881
2019-11-04 15:50:00,20.57,20.5751,20.55,20.555,63891
2019-11-04 15:55:00,20.56,20.56,20.5542,20.56,30148
2019-11-04 16:00:00,20.56,20.56,20.54,20.55,100175
2019-11-05 09:35:00,20.6707,20.6739,20.65,20.6707,204367
2019-11-05 09:40:00,20.66,20.68,20.66,20.68,34303
2019-11-05 09:45:00,20.68,20.68,20.655,20.66,50299
2019-11-05 09:50:00,20.6565,20.72,20.6565,20.72,57169
2019-11-05 09:55:00,20.71,20.72,20.7,20.705,0
2019-11-05 10:00:00,20.72,20.72,20.7035,20.71,409029
2019-11-05 10:05:00,20.7103,20.725,20.7,20.7103,105267
2019-11-05 10:10:00,20.71,20.72,20.7021,20.72,35022
2019-11-05 10:15:00,20.72,20.74,20.7147,20.73,23045
2019-11-05 10:20:00,20.73,20.745,20.7201,20.74,30238
2019-11-05 10:25:00,20.74,20.75,20.7299,20.75,49863
2019-11-05 10:30:00,20.75,20.75,20.74,20.7444,61122
2019-11-05 10:35:00,20.745,20.76,20.745,20.745,46184
2019-11-05 10:40:00,20.747,20.76,20.745,20.745,23392
2019-11-05 10:45:00,20.745,20.76,20.74,20.76,71871
2019-11-05 10:50:00,20.7603,20.788,20.758000000000006,20.7603,67492
2019-11-05 10:55:00,20.76,20.77,20.76,20.76,38012
2019-11-05 11:00:00,20.76,20.76,20.75,20.76,23200
2019-11-05 11:05:00,20.755,20.76,20.75,20.75,21041
2019-11-05 11:10:00,20.75,20.765,20.75,20.765,25794
2019-11-05 11:15:00,20.77,20.775,20.765,20.775,16578
2019-11-05 11:20:00,20.78,20.79,20.78,20.79,1912
2019-11-05 11:25:00,20.8,20.81,20.795,20.81,89660
2019-11-05 11:30:00,20.805,20.82,20.8,20.82,24989
2019-11-05 11:35:00,20.82,20.83,20.79,20.8,199998
2019-11-05 11:40:00,20.8,20.8,20.79,20.8,45506
2019-11-05 11:45:00,20.8,20.8,20.79,20.795,22511
2019-11-05 11:50:00,20.795,20.8,20.795,20.8,7729
2019-11-05 11:55:00,20.8,20.8,20.79,20.795,11903
2019-11-05 12:00:00,20.8,20.81,20.795,20.81,17763
2019-11-05 12:05:00,20.8,20.81,20.8,20.8,32528
2019-11-05 12:10:00,20.8,20.81,20.8,20.81,10754
2019-11-05 12:15:00,20.81,20.81,20.8017,20.81,9840
2019-11-05 12:20:00,20.81,20.82,20.8,20.8136,29771
2019-11-05 12:25:00,20.82,20.82,20.81,20.82,10497
2019-11-05 12:30:00,20.81,20.83,20.81,20.82,10617
2019-11-05 12:35:00,20.83,20.83,20.82,20.82,7797
2019-11-05 12:40:00,20.83,20.83,20.82,20.82,6850
2019-11-05 12:45:00,20.83,20.83,20.82,20.83,18156
2019-11-05 12:50:00,20.83,20.83,20.825,20.83,13186
2019-11-05 12:55:00,20.825,20.83,20.8232,20.8239,5945
2019-11-05 13:00:00,20.83,20.83,20.82,20.83,15960
2019-11-05 13:05:00,20.825,20.84,20.82,20.84,19098
2019-11-05 13:10:00,20.835,20.84,20.83,20.84,5684
2019-11-05 13:15:00,20.83,20.855,20.83,20.855,20672
2019-11-05 13:20:00,20.86,20.86,20.84,20.845,20782
2019-11-05 13:25:00,20.84,20.845,20.84,20.84,7416
2019-11-05 13:30:00,20.835,20.85,20.8318,20.84,12854
2019-11-05 13:35:00,20.84,20.85,20.84,20.84,13015
2019-11-05 13:40:00,20.845,20.85,20.83,20.84,11892
2019-11-05 13:45:00,20.84,20.84,20.83,20.84,3056
2019-11-05 13:50:00,20.84,20.85,20.8321,20.835,13923
2019-11-05 13:55:00,20.8332,20.84,20.83,20.8356,5985
2019-11-05 14:00:00,20.84,20.85,20.835,20.85,10016
2019-11-05 14:05:00,20.8497,20.85,20.84,20.85,9655
2019-11-05 14:10:00,20.849,20.85,20.8412,20.85,8350
2019-11-05 14:15:00,20.85,20.85,20.84,20.84,8388
2019-11-05 14:20:00,20.85,20.85,20.84,20.85,6959
2019-11-05 14:25:00,20.845,20.86,20.84,20.86,12938
2019-11-05 14:30:00,20.8535,20.855,20.84,20.84,30675
2019-11-05 14:35:00,20.8444,20.85,20.84,20.85,7664
2019-11-05 14:40:00,20.8432,20.845,20.84,20.845,7232
2019-11-05 14:45:00,20.8425,20.85,20.835,20.84,18253
2019-11-05 14:50:00,20.8333,20.86,20.8309,20.85,23689
2019-11-05 14:55:00,20.85,20.86,20.84,20.844,7786
2019-11-05 15:00:00,20.85,20.85,20.84,20.84,9541
2019-11-05 15:05:00,20.84,20.85,20.835,20.85,24166
2019-11-05 15:10:00,20.85,20.85,20.8445,20.845,10972
2019-11-05 15:15:00,20.845,20.85,20.84,20.845,23155
2019-11-05 15:20:00,20.845,20.85,20.84,20.845,34822
2019-11-05 15:25:00,20.845,20.85,20.84,20.845,13775
2019-11-05 15:30:00,20.845,20.85,20.84,20.845,16285
2019-11-05 15:35:00,20.845,20.85,20.84,20.845,19784
2019-11-05 15:40:00,20.845,20.845,20.825,20.825,38370
2019-11-05 15:45:00,20.83,20.84,20.825,20.825,27414
2019-11-05 15:50:00,20.820999999999998,20.8256,20.82,20.825,28342
2019-11-05 15:55:00,20.825,20.83,20.825,20.825,40583
2019-11-05 16:00:00,20.83,20.85,20.82,20.85,135222
2019-11-06 09:35:00,20.99,20.99,20.93,20.94,376680
2019-11-06 09:40:00,20.9408,20.9596,20.9196,20.9208,86032
2019-11-06 09:45:00,20.9,20.91,20.9,20.91,60752
2019-11-06 09:50:00,20.9,20.91,20.9,20.9,46490
2019-11-06 09:55:00,20.9,20.905,20.89,20.89,458305
2019-11-06 10:00:00,20.88,20.89,20.88,20.89,51913
2019-11-06 10:05:00,20.89,20.9251,20.885,20.91,47900
2019-11-06 10:10:00,20.92,20.94,20.92,20.925,32252
2019-11-06 10:15:00,20.93,20.93,20.89,20.9042,20068
2019-11-06 10:20:00,20.9,20.915,20.89,20.9,17542
2019-11-06 10:25:00,20.8941,20.8941,20.88,20.8844,35693
2019-11-06 10:30:00,20.885,20.9,20.885,20.9,37956
2019-11-06 10:35:00,20.9,20.92,20.895,20.9,23781
2019-11-06 10:40:00,20.9,20.92,20.89,20.92,29607
2019-11-06 10:45:00,20.92,20.93,20.89,20.89,171788
2019-11-06 10:50:00,20.89,20.905,20.88,20.89,119060
2019-11-06 10:55:00,20.89,20.89,20.86,20.86,90734
2019-11-06 11:00:00,20.86,20.87,20.83,20.85,46162
2019-11-06 11:05:00,20.845,20.855,20.84,20.85,23051
2019-11-06 11:10:00,20.841,20.855,20.835,20.835,40974
2019-11-06 11:15:00,20.835,20.84,20.81,20.8174,28786
2019-11-06 11:20:00,20.815,20.82,20.79,20.795,31180
2019-11-06 11:25:00,20.795,20.8,20.785,20.785,1311653
2019-11-06 11:30:00,20.79,20.8199,20.79,20.81,23179
2019-11-06 11:35:00,20.81,20.865,20.8,20.86,42247
2019-11-06 11:40:00,20.86,20.87,20.86,20.87,24346
2019-11-06 11:45:00,20.87,20.88,20.86,20.87,89634
2019-11-06 11:50:00,20.865,20.87,20.85,20.855,47931
2019-11-06 11:55:00,20.855,20.855,20.85,20.855,17115
2019-11-06 12:00:00,20.86,20.88,20.86,20.87,51473
2019-11-06 12:05:00,20.87,20.87,20.83,20.83,118741
2019-11-06 12:10:00,20.835,20.84,20.825,20.8264,12685
2019-11-06 12:15:00,20.82,20.83,20.82,20.825,8533
2019-11-06 12:20:00,20.825,20.83,20.8201,20.825,7473
2019-11-06 12:25:00,20.82,20.83,20.82,20.825,8028
2019-11-06 12:30:00,20.825,20.83,20.8245,20.825,21669
2019-11-06 12:35:00,20.825,20.83,20.825,20.825,6784
2019-11-06 12:40:00,20.825,20.83,20.825,20.825,6502
2019-11-06 12:45:00,20.825,20.83,20.825,20.83,28431
