,open,high,low,close,volume
2019-11-04 14:15:00,6.74,6.745,6.73,6.735,9574
2019-11-04 14:20:00,6.73,6.74,6.73,6.74,3664
2019-11-04 14:25:00,6.735,6.735,6.69,6.69,32131
2019-11-04 14:30:00,6.6952,6.7092,6.69,6.7052,14496
2019-11-04 14:35:00,6.71,6.72,6.705,6.7149,4714
2019-11-04 14:40:00,6.715,6.73,6.71,6.73,5530
2019-11-04 14:45:00,6.72,6.74,6.72,6.73,7987
2019-11-04 14:50:00,6.73,6.74,6.72,6.725,4650
2019-11-04 14:55:00,6.725,6.7399,6.7164,6.72,10590
2019-11-04 15:00:00,6.72,6.75,6.72,6.75,6006
2019-11-04 15:05:00,6.7452,6.7516,6.7166,6.7202,7366
2019-11-04 15:10:00,6.72,6.735,6.72,6.735,3756
2019-11-04 15:15:00,6.735,6.735,6.7101,6.7101,3931
2019-11-04 15:20:00,6.715,6.7164,6.715,6.715,4733
2019-11-04 15:25:00,6.71,6.715,6.71,6.71,3266
2019-11-04 15:30:00,6.71,6.71,6.675,6.68,15668
2019-11-04 15:35:00,6.6901,6.695,6.685,6.6901,8292
2019-11-04 15:40:00,6.6953,6.7014,6.6914,6.6953,11825
2019-11-04 15:45:00,6.7002,6.71,6.7,6.7002,13609
2019-11-04 15:50:00,6.71,6.71,6.7,6.705,20168
2019-11-04 15:55:00,6.7102,6.72,6.705,6.7102,36970
2019-11-04 16:00:00,6.71,6.715,6.67,6.67,76445
2019-11-05 09:35:00,6.71,6.71,6.53,6.53,36773
2019-11-05 09:40:00,6.5301,6.55,6.5188,6.5401,18263
2019-11-05 09:45:00,6.55,6.605,6.55,6.59,25856
2019-11-05 09:50:00,6.6,6.64,6.6,6.64,8305
2019-11-05 09:55:00,6.6203,6.6313,6.5763,6.5803,13940
2019-11-05 10:00:00,6.59,6.63,6.58,6.61,12935
2019-11-05 10:05:00,6.6201,6.6958,6.6157,6.6751,25394
