,open,high,low,close,volume
2019-11-04 14:15:00,26.93,26.93,26.9,26.91,11461
2019-11-04 14:20:00,26.91,26.93,26.8899,26.915,25158
2019-11-04 14:25:00,26.92,26.94,26.89,26.89,13867
2019-11-04 14:30:00,26.8809,26.9062,26.8561,26.8709,20168
2019-11-04 14:35:00,26.86,26.93,26.85,26.9178,17315
2019-11-04 14:40:00,26.91,26.91,26.86,26.86,7391
2019-11-04 14:45:00,26.86,26.8654,26.8462,26.8462,9991
2019-11-04 14:50:00,26.8443,26.85,26.83,26.84,17663
2019-11-04 14:55:00,26.84,26.855,26.835,26.84,21073
2019-11-04 15:00:00,26.85,26.8731,26.84,26.87,20527
2019-11-04 15:05:00,26.88,26.8835,26.8701,26.8701,12718
2019-11-04 15:10:00,26.88,26.91,26.8713,26.885,13675
2019-11-04 15:15:00,26.88,26.88,26.87,26.88,14903
2019-11-04 15:20:00,26.87,26.88,26.855,26.87,24936
2019-11-04 15:25:00,26.87,26.88,26.855,26.865,14637
2019-11-04 15:30:00,26.865,26.865,26.85,26.865,14509
2019-11-04 15:35:00,26.865,26.865,26.86,26.86,19365
2019-11-04 15:40:00,26.87,26.885,26.85,26.87,51189
2019-11-04 15:45:00,26.87,26.87,26.81,26.82,53466
2019-11-04 15:50:00,26.82,26.83,26.81,26.815,77766
2019-11-04 15:55:00,26.82,26.86,26.81,26.86,86973
2019-11-04 16:00:00,26.86,26.86,26.78,26.82,193067
2019-11-05 09:35:00,26.4709,26.73,26.47,26.6009,98469
2019-11-05 09:40:00,26.6005,26.6409,26.5008,26.6205,47181
2019-11-05 09:45:00,26.6111,26.64,26.55,26.6311,59065
2019-11-05 09:50:00,26.64,26.77,26.64,26.67,48920
2019-11-05 09:55:00,26.6811,26.7756,26.6755,26.7511,28780
2019-11-05 10:00:00,26.74,26.85,26.72,26.83,28787
2019-11-05 10:05:00,26.8004,26.8332,26.583000000000002,26.6004,59667
2019-11-05 10:10:00,26.6107,26.7559,26.5857,26.7307,49150
2019-11-05 10:15:00,26.7509,26.77,26.72,26.7309,35839
2019-11-05 10:20:00,26.73,26.81,26.72,26.81,30396
2019-11-05 10:25:00,26.815,26.89,26.815,26.86,29980
2019-11-05 10:30:00,26.851,26.8752,26.745,26.750999999999998,31336
2019-11-05 10:35:00,26.74,26.79,26.72,26.77,12297
2019-11-05 10:40:00,26.781,26.8349,26.7749,26.811,15533
2019-11-05 10:45:00,26.8109,26.8663,26.8063,26.8209,40790
2019-11-05 10:50:00,26.8199,26.82,26.77,26.77,56400
2019-11-05 10:55:00,26.77,26.775,26.73,26.73,33470
2019-11-05 11:00:00,26.71,26.73,26.67,26.67,24128
2019-11-05 11:05:00,26.66,26.66,26.54,26.5402,16342
2019-11-05 11:10:00,26.56,26.56,26.5,26.5023,15819
2019-11-05 11:15:00,26.5111,26.6056,26.5094,26.5811,12171
2019-11-05 11:20:00,26.58,26.61,26.55,26.56,23238
2019-11-05 11:25:00,26.55,26.55,26.51,26.52,15114
2019-11-05 11:30:00,26.52,26.58,26.4999,26.5799,29856
2019-11-05 11:35:00,26.58,26.58,26.49,26.49,17041
2019-11-05 11:40:00,26.49,26.57,26.48,26.56,20325
2019-11-05 11:45:00,26.56,26.56,26.48,26.485,19630
2019-11-05 11:50:00,26.48,26.56,26.48,26.56,19262
2019-11-05 11:55:00,26.57,26.66,26.57,26.64,18120
2019-11-05 12:00:00,26.64,26.64,26.58,26.58,9278
2019-11-05 12:05:00,26.58,26.62,26.57,26.61,11439
2019-11-05 12:10:00,26.61,26.63,26.6,26.6,6816
2019-11-05 12:15:00,26.5911,26.6187,26.5754,26.5943,18214
2019-11-05 12:20:00,26.595,26.595,26.54,26.56,27360
2019-11-05 12:25:00,26.555,26.56,26.53,26.56,14804
2019-11-05 12:30:00,26.56,26.6,26.55,26.6,13771
2019-11-05 12:35:00,26.59,26.65,26.59,26.65,8839
2019-11-05 12:40:00,26.65,26.72,26.65,26.71,11321
2019-11-05 12:45:00,26.72,26.76,26.71,26.75,16098
2019-11-05 12:50:00,26.75,26.82,26.75,26.82,17395
2019-11-05 12:55:00,26.81,26.81,26.78,26.8,16429
2019-11-05 13:00:00,26.81,26.81,26.78,26.8,7872
2019-11-05 13:05:00,26.81,26.81,26.77,26.77,15437
2019-11-05 13:10:00,26.77,26.8,26.76,26.8,10300
2019-11-05 13:15:00,26.79,26.84,26.79,26.83,21616
2019-11-05 13:20:00,26.835,26.835,26.77,26.77,10105
2019-11-05 13:25:00,26.78,26.8,26.78,26.79,14214
2019-11-05 13:30:00,26.79,26.8,26.78,26.795,8330
2019-11-05 13:35:00,26.81,26.82,26.78,26.78,18137
2019-11-05 13:40:00,26.79,26.82,26.79,26.8154,14927
2019-11-05 13:45:00,26.82,26.84,26.81,26.84,14562
2019-11-05 13:50:00,26.84,26.84,26.79,26.8,9895
2019-11-05 13:55:00,26.801,26.83,26.77,26.820999999999998,9287
2019-11-05 14:00:00,26.81,26.84,26.8026,26.82,11749
2019-11-05 14:05:00,26.81,26.84,26.8,26.84,9760
2019-11-05 14:10:00,26.85,26.9,26.84,26.9,14416
2019-11-05 14:15:00,26.9,26.91,26.86,26.87,9395
2019-11-05 14:20:00,26.87,26.87,26.85,26.85,9485
2019-11-05 14:25:00,26.85,26.87,26.8452,26.87,14658
2019-11-05 14:30:00,26.86,26.86,26.83,26.84,13779
2019-11-05 14:35:00,26.84,26.895,26.84,26.87,15634
2019-11-05 14:40:00,26.86,26.94,26.8562,26.93,12167
