,open,high,low,close,volume
2019-11-04 14:15:00,54.81,54.83,54.775,54.83,1093
2019-11-04 14:20:00,54.88,54.89,54.855,54.885,1389
2019-11-04 14:25:00,54.92,54.92,54.875,54.9,2618
2019-11-04 14:30:00,54.895,54.93,54.88,54.905,2986
2019-11-04 14:35:00,54.905,54.93,54.85,54.87,6497
2019-11-04 14:40:00,54.885,54.935,54.885,54.935,1381
2019-11-04 14:45:00,54.91,54.94,54.91,54.94,1588
2019-11-04 14:50:00,54.945,54.945,54.77,54.77,2652
2019-11-04 14:55:00,54.77,54.785,54.73,54.755,4824
2019-11-04 15:00:00,54.74,54.74,54.62,54.68,11228
2019-11-04 15:05:00,54.64,54.67,54.56,54.6,1218
2019-11-04 15:10:00,54.59,54.69,54.59,54.69,1330
2019-11-04 15:15:00,54.655,54.69,54.62,54.665,3634
2019-11-04 15:20:00,54.64,54.64,54.57,54.57,2667
2019-11-04 15:25:00,54.585,54.66,54.54,54.56,7184
2019-11-04 15:30:00,54.58,54.58,54.49,54.52,5239
2019-11-04 15:35:00,54.53,54.6,54.53,54.6,2536
2019-11-04 15:40:00,54.59,54.6,54.58,54.6,5395
2019-11-04 15:45:00,54.6,54.68,54.59,54.675,11951
2019-11-04 15:50:00,54.675,54.68,54.65,54.67,8023
2019-11-04 15:55:00,54.66,54.68,54.62,54.67,8345
2019-11-04 16:00:00,54.66,54.66,54.42,54.45,34976
2019-11-05 09:35:00,54.52,55.49,54.52,55.04,31846
2019-11-05 09:40:00,55.3411,55.5137,54.9032,55.4711,15414
2019-11-05 09:45:00,55.4423,55.5134,55.1484,55.4123,6075
2019-11-05 09:50:00,55.44,56.17,55.44,56.005,63010
2019-11-05 09:55:00,55.9622,56.19,55.71,56.0522,18950
2019-11-05 10:00:00,55.99,56.22,55.83,55.99,15379
2019-11-05 10:05:00,55.9859,56.2587,55.8884,56.0409,12660
2019-11-05 10:10:00,56.1515,56.205,55.87,55.9315,16245
2019-11-05 10:15:00,55.9,56.09,55.68,55.69,15748
2019-11-05 10:20:00,55.595,56.22,55.595,55.97,12664
2019-11-05 10:25:00,56.01,56.38,55.985,56.29,7098
2019-11-05 10:30:00,56.2121,56.3427,55.9624,56.1171,46238
2019-11-05 10:35:00,56.07,56.12,55.63,55.64,11093
2019-11-05 10:40:00,55.67,55.98,55.67,55.88,9230
2019-11-05 10:45:00,55.88,56.21,55.85,55.97,17726
2019-11-05 10:50:00,55.9209,56.1386,55.8683,56.0909,11149
2019-11-05 10:55:00,56.08,56.08,55.985,56.04,14523
2019-11-05 11:00:00,55.99,56.18,55.99,56.09,11673
2019-11-05 11:05:00,56.1,56.28,56.06,56.115,15356
2019-11-05 11:10:00,56.1111,56.145,55.91,55.9611,13913
2019-11-05 11:15:00,55.9623,55.995,55.91,55.9723,47460
2019-11-05 11:20:00,55.9922,56.05,55.9922,56.035,4511
2019-11-05 11:25:00,56.14,56.185,56.08,56.155,28099
2019-11-05 11:30:00,56.155,56.21,56.11,56.12,25343
2019-11-05 11:35:00,56.13,56.15,56.1,56.13,21103
2019-11-05 11:40:00,56.1409,56.16,56.1,56.1459,17568
2019-11-05 11:45:00,56.14,56.17,56.13,56.17,12789
2019-11-05 11:50:00,56.1618,56.2146,56.0545,56.0718,10491
2019-11-05 11:55:00,56.04,56.08,55.99,56.01,4011
2019-11-05 12:00:00,56.01,56.055,56.01,56.02,8792
2019-11-05 12:05:00,56.01,56.04,55.99,56.01,11097
2019-11-05 12:10:00,56.0283,56.0925,56.0124,56.0421,7456
2019-11-05 12:15:00,56.02,56.05,55.95,55.97,13078
2019-11-05 12:20:00,56.01,56.13,55.98,56.08,40282
2019-11-05 12:25:00,56.08,56.27,56.08,56.12,7381
2019-11-05 12:30:00,56.1,56.125,55.98,56.0,10681
2019-11-05 12:35:00,55.99,56.08,55.91,55.97,17146
2019-11-05 12:40:00,55.945,56.0,55.925,55.925,7128
2019-11-05 12:45:00,55.91,56.0,55.91,55.97,15520
2019-11-05 12:50:00,55.98,55.99,55.92,55.94,10304
2019-11-05 12:55:00,55.96,56.0,55.94,55.99,6551
2019-11-05 13:00:00,56.0,56.01,55.99,56.01,8139
2019-11-05 13:05:00,56.0,56.12,55.98,56.12,10595
2019-11-05 13:10:00,56.13,56.21,56.115,56.18,4452
2019-11-05 13:15:00,56.16,56.16,56.095,56.12,3701
2019-11-05 13:20:00,56.09,56.14,56.08,56.1,4503
2019-11-05 13:25:00,56.07,56.12,56.07,56.1,2749
2019-11-05 13:30:00,56.11,56.12,56.09,56.1,2153
2019-11-05 13:35:00,56.08,56.14,56.08,56.14,6014
2019-11-05 13:40:00,56.13,56.17,56.13,56.155,3467
2019-11-05 13:45:00,56.16,56.22,56.16,56.21,5561
2019-11-05 13:50:00,56.18,56.2,56.11,56.15,3115
2019-11-05 13:55:00,56.16,56.19,56.12,56.19,7301
2019-11-05 14:00:00,56.19,56.21,56.18,56.2,19256
2019-11-05 14:05:00,56.2,56.24,56.2,56.24,2273
2019-11-05 14:10:00,56.24,56.28,56.23,56.275,10099
2019-11-05 14:15:00,56.29,56.34,56.28,56.34,5018
2019-11-05 14:20:00,56.315,56.36,56.31,56.35,7604
2019-11-05 14:25:00,56.36,56.41,56.35,56.36,5948
2019-11-05 14:30:00,56.37,56.42,56.335,56.3593,6057
2019-11-05 14:35:00,56.355,56.38,56.35,56.36,7288
2019-11-05 14:40:00,56.34,56.365,56.32,56.34,5009
2019-11-05 14:45:00,56.36,56.365,56.34,56.35,5793
2019-11-05 14:50:00,56.36,56.43,56.3567,56.415,11844
2019-11-05 14:55:00,56.4,56.46,56.39,56.46,5248
2019-11-05 15:00:00,56.44,56.5,56.42,56.5,8425
2019-11-05 15:05:00,56.48,56.52,56.4,56.43,6067
2019-11-05 15:10:00,56.42,56.42,56.38,56.405,5625
2019-11-05 15:15:00,56.39,56.44,56.38,56.435,8131
2019-11-05 15:20:00,56.4,56.54,56.4,56.52,19072
2019-11-05 15:25:00,56.5161,56.5845,56.5044,56.5261,14887
2019-11-05 15:30:00,56.53,56.55,56.44,56.445,12473
2019-11-05 15:35:00,56.445,56.46,56.35,56.36,14333
2019-11-05 15:40:00,56.35,56.44,56.325,56.44,18581
2019-11-05 15:45:00,56.43,56.475,56.43,56.435,28698
2019-11-05 15:50:00,56.44,56.49,56.41,56.49,20131
2019-11-05 15:55:00,56.47,56.5,56.17,56.19,32177
2019-11-05 16:00:00,56.18,56.31,56.17,56.24,78145
2019-11-06 09:35:00,56.2223,56.2741,55.8237,56.0723,3768
2019-11-06 09:40:00,56.1021,56.14,55.985,56.0521,2992
2019-11-06 09:45:00,56.2423,56.2939,55.9335,56.0022,6054
2019-11-06 09:50:00,56.092,56.2922,55.9319,56.212,16610
2019-11-06 09:55:00,56.1718,56.2251,55.9248,56.0018,9511
2019-11-06 10:00:00,56.08,56.08,55.905,55.98,8562
2019-11-06 10:05:00,55.985,56.05,55.975,55.985,16882
2019-11-06 10:10:00,55.985,56.075,55.985,56.0,12398
2019-11-06 10:15:00,56.0,56.1,56.0,56.1,31988
2019-11-06 10:20:00,56.1,56.11,55.96,55.96,10768
2019-11-06 10:25:00,55.955,55.96,55.94,55.96,6193
2019-11-06 10:30:00,55.96,56.01,55.87,55.87,57099
2019-11-06 10:35:00,55.87,55.88,55.595,55.63,37242
2019-11-06 10:40:00,55.63,55.84,55.63,55.8,51811
2019-11-06 10:45:00,55.79,55.9204,55.71,55.8,15317
2019-11-06 10:50:00,55.7618,55.8143,55.4739,55.5668,27288
2019-11-06 10:55:00,55.5715,55.58,55.445,55.4915,26153
2019-11-06 11:00:00,55.49,55.52,55.4355,55.52,29014
2019-11-06 11:05:00,55.515,55.55,55.2,55.2141,10444
2019-11-06 11:10:00,55.2,55.21,54.9,54.945,10464
2019-11-06 11:15:00,54.9472,55.0527,54.8475,54.8972,9316
2019-11-06 11:20:00,54.912,54.98,54.88,54.947,19742
2019-11-06 11:25:00,54.92,54.95,54.895,54.895,2772
2019-11-06 11:30:00,54.9,55.08,54.9,55.05,23018
2019-11-06 11:35:00,55.08,55.23,55.05,55.23,6067
2019-11-06 11:40:00,55.21,55.22,55.2,55.22,1664
2019-11-06 11:45:00,55.23,55.3,55.15,55.15,7146
2019-11-06 11:50:00,55.1123,55.3132,55.103,55.1323,4300
2019-11-06 11:55:00,54.9111,55.109,54.74,54.8211,4689
2019-11-06 12:00:00,54.78,54.86,54.78,54.82,479566
2019-11-06 12:05:00,54.91,55.13,54.885,55.015,22403
2019-11-06 12:10:00,55.09,55.185,55.06,55.12,3528
2019-11-06 12:15:00,55.07,55.115,55.06,55.06,765
2019-11-06 12:20:00,55.08,55.25,55.05,55.22,9447
2019-11-06 12:25:00,55.01,55.01,55.01,55.01,209
2019-11-06 12:30:00,55.0218,55.0735,54.9234,54.9718,3216
2019-11-06 12:35:00,54.93,54.94,54.93,54.93,583
2019-11-06 12:40:00,54.94,55.03,54.905,55.03,6368
2019-11-06 12:45:00,55.04,55.07,55.02,55.02,2625
2019-11-06 12:50:00,54.99,55.01,54.94,55.0,2651
2019-11-06 12:55:00,54.98,54.98,54.9,54.9,1300
2019-11-06 13:00:00,54.9,55.17,54.86,55.15,17771
2019-11-06 13:05:00,55.16,55.19,55.03,55.03,2479
2019-11-06 13:10:00,55.0009,55.0476,54.8274,54.8509,3470
2019-11-06 13:15:00,54.9,55.01,54.9,55.01,7188
2019-11-06 13:20:00,54.94,54.94,54.85,54.89,1039
2019-11-06 13:25:00,54.9,54.91,54.8,54.81,2289
2019-11-06 13:30:00,54.78,54.87,54.78,54.87,3258
2019-11-06 13:35:00,54.86,54.86,54.81,54.81,1055
2019-11-06 13:40:00,54.75,54.8,54.74,54.74,2764
2019-11-06 13:45:00,54.8,54.815,54.79,54.79,2482
2019-11-06 13:50:00,54.81,54.86,54.78,54.78,1486
2019-11-06 13:55:00,54.8,54.86,54.78,54.86,2034
2019-11-06 14:00:00,54.85,54.885,54.82,54.82,3130
2019-11-06 14:05:00,54.82,54.87,54.81,54.87,1789
2019-11-06 14:10:00,54.83,54.9,54.83,54.85,2872
2019-11-06 14:15:00,54.8,54.98,54.8,54.98,5050
2019-11-06 14:20:00,54.93,54.96,54.92,54.93,5296
2019-11-06 14:25:00,54.9311,55.0133,54.9132,54.9411,4220
2019-11-06 14:30:00,54.93,54.97,54.89,54.97,4073
2019-11-06 14:35:00,54.98,55.03,54.98,55.03,4512
2019-11-06 14:40:00,55.03,55.1,55.03,55.05,3606
2019-11-06 14:45:00,55.07,55.16,55.07,55.09,5877
2019-11-06 14:50:00,55.085,55.21,55.085,55.18,2755
2019-11-06 14:55:00,55.19,55.19,55.07,55.07,1863
2019-11-06 15:00:00,55.03,55.17,55.03,55.13,8295
2019-11-06 15:05:00,55.1,55.11,55.07,55.07,2804
2019-11-06 15:10:00,55.05,55.07,55.04,55.07,3373
2019-11-06 15:15:00,55.09,55.14,55.09,55.14,5294
2019-11-06 15:20:00,55.13,55.13,54.95,54.95,5202
2019-11-06 15:25:00,54.91,54.98,54.89,54.89,2148
2019-11-06 15:30:00,54.8917,54.96,54.8,54.8717,6473
2019-11-06 15:35:00,54.93,54.99,54.89,54.91,5168
2019-11-06 15:40:00,54.89,54.96,54.87,54.92,5369
2019-11-06 15:45:00,54.89,54.91,54.83,54.83,7763
2019-11-06 15:50:00,54.8564,54.9082,54.76300000000001,54.8414,11344
2019-11-06 15:55:00,54.84,54.91,54.77,54.78,10426
2019-11-06 16:00:00,54.79,55.03,54.79,55.0,42062
2019-11-07 09:35:00,55.56,56.18,55.56,55.7,10444
2019-11-07 09:40:00,55.902,56.01,55.67,55.832,9263
2019-11-07 09:45:00,55.9218,56.015,55.6,55.6018,6912
2019-11-07 09:50:00,55.6009,55.8533,55.5881,55.7759,6408
2019-11-07 09:55:00,55.78,55.96,55.775,55.91,7191
2019-11-07 10:00:00,55.9,55.915,55.815,55.82,108027
2019-11-07 10:05:00,55.8173,56.0088,55.6735,55.9181,13793
2019-11-07 10:10:00,55.8621,55.88,55.81,55.8421,10931
2019-11-07 10:15:00,55.86,55.93,55.86,55.8699,8733
2019-11-07 10:20:00,55.832,55.88,55.805,55.861999999999995,19120
2019-11-07 10:25:00,55.86,55.97,55.81,55.91,10751
2019-11-07 10:30:00,55.96,55.99,55.81,55.85,11636
2019-11-07 10:35:00,55.87,56.01,55.87,55.95,5902
2019-11-07 10:40:00,55.9565,56.0091,55.7542,55.8518,4866
2019-11-07 10:45:00,55.83,55.94,55.83,55.92,6624
2019-11-07 10:50:00,55.8423,55.9137,55.8337,55.8423,6472
2019-11-07 10:55:00,55.845,55.94,55.84,55.94,19012
2019-11-07 11:00:00,55.94,56.0,55.94,56.0,5093
2019-11-07 11:05:00,56.07,56.155,56.07,56.155,2961
2019-11-07 11:10:00,56.14,56.32,56.14,56.27,6531
2019-11-07 11:15:00,56.2018,56.23,56.09,56.0918,7100
2019-11-07 11:20:00,56.09,56.09,55.92,55.92,2423
2019-11-07 11:25:00,55.92,55.92,55.83,55.89,3423
2019-11-07 11:30:00,55.853,55.93,55.83,55.93,4108
2019-11-07 11:35:00,55.89,55.89,55.89,55.89,706
2019-11-07 11:40:00,55.9223,56.0,55.92,55.9323,3102
2019-11-07 11:45:00,55.845,55.87,55.835,55.87,5403
2019-11-07 11:50:00,55.84,55.91,55.84,55.91,1226
2019-11-07 11:55:00,55.87,55.885,55.715,55.715,9315
2019-11-07 12:00:00,55.69,55.94,55.69,55.85,7684
2019-11-07 12:05:00,55.89,55.9407,55.82,55.85,2909
2019-11-07 12:10:00,55.85,55.88,55.85,55.85,2802
2019-11-07 12:15:00,55.88,55.88,55.85,55.87,1802
2019-11-07 12:20:00,55.8818,55.9444,55.8293,55.8468,2019
2019-11-07 12:25:00,55.83,55.915,55.83,55.915,1795
2019-11-07 12:30:00,55.9,56.0,55.9,55.99,2725
2019-11-07 12:35:00,56.01,56.15,56.01,56.12,3656
2019-11-07 12:40:00,56.11,56.15,56.09,56.13,57376
2019-11-07 12:45:00,56.1,56.1,56.08,56.08,964
2019-11-07 12:50:00,56.08,56.12,56.08,56.12,1139
2019-11-07 12:55:00,56.11,56.11,56.075,56.075,979
2019-11-07 13:00:00,56.05,56.08,55.99,55.99,3055
2019-11-07 13:05:00,55.96,56.04,55.9,56.04,2585
2019-11-07 13:10:00,56.0,56.06,56.0,56.06,4028
2019-11-07 13:15:00,56.08,56.09,56.05,56.09,2168
2019-11-07 13:20:00,56.05,56.07,56.03,56.03,1304
2019-11-07 13:25:00,56.07,56.09,56.07,56.09,1018
2019-11-07 13:30:00,56.14,56.14,56.07,56.07,1753
2019-11-07 13:35:00,56.03,56.05,56.0,56.02,2231
2019-11-07 13:40:00,56.02,56.03,55.9857,56.03,3084
2019-11-07 13:45:00,55.99,56.0364,55.99,56.0364,2473
2019-11-07 13:50:00,56.02,56.02,55.975,55.99,2066
2019-11-07 13:55:00,56.03,56.03,55.96,55.96,2904
2019-11-07 14:00:00,55.91,55.94,55.91,55.91,1406
2019-11-07 14:05:00,55.93,56.03,55.93,56.01,3689
2019-11-07 14:10:00,56.0,56.09,56.0,56.09,2608
2019-11-07 14:15:00,56.04,56.09,56.04,56.09,2813
2019-11-07 14:20:00,56.06,56.06,56.03,56.06,1387
2019-11-07 14:25:00,56.08,56.1,56.08,56.1,1429
2019-11-07 14:30:00,56.08,56.08,56.03,56.04,1215
2019-11-07 14:35:00,56.06,56.11,56.04,56.11,1270
2019-11-07 14:40:00,56.02,56.03,56.02,56.03,889
2019-11-07 14:45:00,56.0109,56.0785,55.8033,55.9609,8007
2019-11-07 14:50:00,55.955,55.96,55.69,55.69,6057
2019-11-07 14:55:00,55.6,55.78,55.6,55.72,6920
2019-11-07 15:00:00,55.72,55.72,55.655,55.67,6857
2019-11-07 15:05:00,55.67,55.795,55.65,55.795,7509
2019-11-07 15:10:00,55.76,55.78,55.74,55.755,3867
2019-11-07 15:15:00,55.73,55.75,55.72,55.72,1297
2019-11-07 15:20:00,55.7,55.7,55.65,55.65,2584
2019-11-07 15:25:00,55.632,55.6967,55.6016,55.641999999999996,7507
2019-11-07 15:30:00,55.635,55.69,55.635,55.69,2932
2019-11-07 15:35:00,55.69,55.87,55.67,55.87,5718
2019-11-07 15:40:00,55.87,55.87,55.79,55.83,8012
2019-11-07 15:45:00,55.83,55.85,55.81,55.81,3907
2019-11-07 15:50:00,55.78,55.89,55.78,55.87,10681
2019-11-07 15:55:00,55.89,55.94,55.785,55.815,10387
2019-11-07 16:00:00,55.83,55.93,55.8,55.91,22175
2019-11-08 09:35:00,55.5718,55.68,55.43,55.4418,5768
2019-11-08 09:40:00,55.57,55.92,55.57,55.85,4534
2019-11-08 09:45:00,55.96,55.99,55.82,55.99,2830
2019-11-08 09:50:00,55.92,56.13,55.92,56.13,2668
2019-11-08 09:55:00,56.12,56.12,55.855,55.855,2397
2019-11-08 10:00:00,56.05,56.13,55.75,55.83,7602
2019-11-08 10:05:00,55.9022,55.9636,55.5832,55.6222,7918
2019-11-08 10:10:00,55.67,55.67,55.32,55.3548,4845
2019-11-08 10:15:00,55.4,55.5,55.39,55.47,3011
2019-11-08 10:20:00,55.42,55.64,55.42,55.545,5740
2019-11-08 10:25:00,55.58,55.62,55.52,55.62,7524
2019-11-08 10:30:00,55.74,55.76,55.68,55.68,3926
2019-11-08 10:35:00,55.64,55.75,55.64,55.71,5877
2019-11-08 10:40:00,55.68,55.73,55.64,55.64,5210
2019-11-08 10:45:00,55.6511,55.8339,55.6438,55.7511,3487
2019-11-08 10:50:00,55.72,55.83,55.71,55.8,4808
2019-11-08 10:55:00,55.75,55.75,55.69,55.69,1397
2019-11-08 11:00:00,55.64,55.67,55.64,55.64,746
