,open,high,low,close,volume
2019-11-04 14:15:00,13.29,13.29,13.21,13.215,139784
2019-11-04 14:20:00,13.2202,13.2218,13.209000000000001,13.2202,105654
2019-11-04 14:25:00,13.22,13.235,13.215,13.22,75389
2019-11-04 14:30:00,13.21,13.25,13.21,13.24,58055
2019-11-04 14:35:00,13.24,13.25,13.235,13.25,126452
2019-11-04 14:40:00,13.2506,13.2627,13.2377,13.2456,80083
2019-11-04 14:45:00,13.25,13.2773,13.25,13.26,93688
2019-11-04 14:50:00,13.26,13.3,13.26,13.285,92789
2019-11-04 14:55:00,13.2855,13.3025,13.2674,13.2855,96363
2019-11-04 15:00:00,13.29,13.32,13.275,13.32,187630
2019-11-04 15:05:00,13.32,13.34,13.3,13.31,176662
2019-11-04 15:10:00,13.3102,13.32,13.29,13.3052,95452
2019-11-04 15:15:00,13.31,13.33,13.3,13.3,154416
2019-11-04 15:20:00,13.3,13.31,13.26,13.265,162812
2019-11-04 15:25:00,13.265,13.29,13.26,13.285,96781
2019-11-04 15:30:00,13.29,13.3,13.27,13.28,141889
2019-11-04 15:35:00,13.28,13.31,13.275,13.295,225943
2019-11-04 15:40:00,13.2955,13.3127,13.2927,13.3005,169047
2019-11-04 15:45:00,13.3,13.34,13.3,13.335,309004
2019-11-04 15:50:00,13.34,13.345,13.335,13.335,318539
2019-11-04 15:55:00,13.335,13.39,13.33,13.35,416290
2019-11-04 16:00:00,13.36,13.36,13.29,13.3,692383
2019-11-05 09:35:00,13.4404,13.4559,13.0977,13.1803,821769
2019-11-05 09:40:00,13.1603,13.2804,13.1403,13.2303,264830
2019-11-05 09:45:00,13.23,13.36,13.225,13.27,177504
2019-11-05 09:50:00,13.2605,13.27,13.24,13.2555,346962
2019-11-05 09:55:00,13.2505,13.2727,13.1726,13.2005,183209
2019-11-05 10:00:00,13.19,13.24,13.185,13.21,238163
2019-11-05 10:05:00,13.22,13.335,13.21,13.26,235850
2019-11-05 10:10:00,13.2603,13.2829,13.1828,13.2153,226443
2019-11-05 10:15:00,13.2204,13.363,13.2128,13.3504,260542
2019-11-05 10:20:00,13.3503,13.4406,13.3105,13.4303,184714
2019-11-05 10:25:00,13.4256,13.4629,13.3678,13.4206,299658
2019-11-05 10:30:00,13.41,13.445,13.375,13.375,165770
2019-11-05 10:35:00,13.375,13.465,13.375,13.44,137541
2019-11-05 10:40:00,13.45,13.4623,13.435,13.435,140183
2019-11-05 10:45:00,13.4354,13.455,13.425,13.4454,105999
2019-11-05 10:50:00,13.4502,13.4717,13.3916,13.4302,142356
2019-11-05 10:55:00,13.43,13.46,13.41,13.43,104824
2019-11-05 11:00:00,13.43,13.44,13.37,13.42,167794
2019-11-05 11:05:00,13.43,13.46,13.43,13.445,142292
2019-11-05 11:10:00,13.4403,13.46,13.39,13.3986,132102
2019-11-05 11:15:00,13.4006,13.4529,13.3929,13.4406,50789
2019-11-05 11:20:00,13.435,13.45,13.41,13.415,94190
