,open,high,low,close,volume
2019-11-04 14:15:00,34.26,34.26,34.21,34.2133,6475
2019-11-04 14:20:00,34.21,34.22,34.21,34.22,7135
2019-11-04 14:25:00,34.22,34.225,34.215,34.225,7703
2019-11-04 14:30:00,34.225,34.225,34.215,34.225,10253
2019-11-04 14:35:00,34.23,34.23,34.22,34.225,2752
2019-11-04 14:40:00,34.225,34.24,34.225,34.24,12085
2019-11-04 14:45:00,34.235,34.245,34.235,34.24,3888
2019-11-04 14:50:00,34.24,34.24,34.23,34.235,4489
2019-11-04 14:55:00,34.23,34.23,34.22,34.22,10787
2019-11-04 15:00:00,34.23,34.23,34.17,34.19,29730
2019-11-04 15:05:00,34.19,34.2,34.18,34.2,14172
2019-11-04 15:10:00,34.195,34.2,34.175,34.175,12949
2019-11-04 15:15:00,34.18,34.18,34.155,34.18,6063
2019-11-04 15:20:00,34.17,34.18,34.145,34.175,13424
2019-11-04 15:25:00,34.17,34.22,34.17,34.2,12986
2019-11-04 15:30:00,34.2,34.215,34.185,34.185,22801
2019-11-04 15:35:00,34.19,34.21,34.19,34.205,10414
2019-11-04 15:40:00,34.205,34.21,34.193000000000005,34.193000000000005,22179
2019-11-04 15:45:00,34.195,34.22,34.19,34.22,17184
2019-11-04 15:50:00,34.21,34.25,34.21,34.25,26838
2019-11-04 15:55:00,34.25,34.26,34.25,34.255,43709
2019-11-04 16:00:00,34.26,34.26,34.23,34.23,166646
2019-11-05 09:35:00,34.1211,34.2833,34.1032,34.2511,215326
2019-11-05 09:40:00,34.2607,34.317,34.2069,34.2807,77645
2019-11-05 09:45:00,34.2414,34.28,34.16,34.2414,13500
2019-11-05 09:50:00,34.24,34.26,34.24,34.25,26968
2019-11-05 09:55:00,34.25,34.26,34.145,34.175,32419
2019-11-05 10:00:00,34.2,34.25,34.2,34.24,25303
2019-11-05 10:05:00,34.24,34.32,34.19,34.21,65646
2019-11-05 10:10:00,34.21,34.21,34.09,34.095,21998
2019-11-05 10:15:00,34.09,34.15,34.09,34.135,60918
2019-11-05 10:20:00,34.13,34.15,34.1,34.12,24271
2019-11-05 10:25:00,34.13,34.165,34.12,34.12,37630
2019-11-05 10:30:00,34.125,34.15,34.11,34.12,41223
2019-11-05 10:35:00,34.12,34.15,34.09,34.1,46258
2019-11-05 10:40:00,34.1,34.16,34.1,34.12,54594
2019-11-05 10:45:00,34.12,34.2,34.12,34.175,41618
2019-11-05 10:50:00,34.18,34.225,34.18,34.195,21344
2019-11-05 10:55:00,34.2,34.24,34.17,34.17,13248
2019-11-05 11:00:00,34.17,34.29,34.17,34.29,30343
2019-11-05 11:05:00,34.2911,34.3534,34.2533,34.3211,27879
2019-11-05 11:10:00,34.31,34.36,34.29,34.33,29141
2019-11-05 11:15:00,34.3214,34.353,34.293,34.3014,17188
2019-11-05 11:20:00,34.31,34.32,34.285,34.32,11486
2019-11-05 11:25:00,34.3264,34.3629,34.2928,34.3014,15133
