,open,high,low,close,volume
2019-11-04 14:15:00,9.9253,9.93,9.89,9.8903,81144
2019-11-04 14:20:00,9.895,9.9,9.895,9.9,32378
2019-11-04 14:25:00,9.89,9.9,9.89,9.9,14441
2019-11-04 14:30:00,9.89,9.91,9.89,9.895,19206
2019-11-04 14:35:00,9.9,9.9,9.87,9.87,24193
2019-11-04 14:40:00,9.8704,9.8895,9.8495,9.8554,25142
2019-11-04 14:45:00,9.8502,9.8578,9.8177,9.8252,27789
2019-11-04 14:50:00,9.825,9.825,9.8,9.8,20009
2019-11-04 14:55:00,9.8104,9.8242,9.7992,9.8054,17171
2019-11-04 15:00:00,9.81,9.81,9.79,9.79,37341
2019-11-04 15:05:00,9.795,9.8099,9.79,9.8,10878
2019-11-04 15:10:00,9.8052,9.81,9.8,9.8002,30320
2019-11-04 15:15:00,9.8,9.8,9.785,9.79,132391
2019-11-04 15:20:00,9.785,9.785,9.765,9.765,16016
2019-11-04 15:25:00,9.76,9.825,9.755,9.825,80708
2019-11-04 15:30:00,9.825,9.83,9.8,9.805,24057
2019-11-04 15:35:00,9.79,9.81,9.79,9.8,31866
2019-11-04 15:40:00,9.8054,9.8294,9.7944,9.8104,76522
2019-11-04 15:45:00,9.8054,9.8492,9.7892,9.8354,93645
2019-11-04 15:50:00,9.8353,9.8446,9.7596,9.7603,102687
2019-11-04 15:55:00,9.7604,9.7691,9.738999999999999,9.7454,105000
2019-11-04 16:00:00,9.74,9.75,9.74,9.75,99922
2019-11-05 09:35:00,9.8403,9.8896,9.8296,9.8453,47083
2019-11-05 09:40:00,9.8602,9.9,9.8401,9.8502,34716
2019-11-05 09:45:00,9.8504,9.88,9.85,9.8704,53589
2019-11-05 09:50:00,9.8704,9.8993,9.8692,9.8904,7080
2019-11-05 09:55:00,9.8904,9.8995,9.8144,9.8304,10960
2019-11-05 10:00:00,9.84,9.87,9.84,9.85,166255
2019-11-05 10:05:00,9.8391,9.87,9.8391,9.855,16337
2019-11-05 10:10:00,9.86,9.86,9.8,9.8,15531
2019-11-05 10:15:00,9.81,9.83,9.81,9.83,15939
2019-11-05 10:20:00,9.8302,9.8778,9.8277,9.8702,9519
2019-11-05 10:25:00,9.8704,9.8795,9.8495,9.8554,8888
2019-11-05 10:30:00,9.85,9.86,9.84,9.84,2783
2019-11-05 10:35:00,9.8504,9.8795,9.8394,9.8704,58422
2019-11-05 10:40:00,9.87,9.87,9.85,9.853,22379
2019-11-05 10:45:00,9.85,9.865,9.82,9.82,55954
2019-11-05 10:50:00,9.8252,9.8535,9.8105,9.8452,40079
2019-11-05 10:55:00,9.85,9.87,9.84,9.86,22939
2019-11-05 11:00:00,9.86,9.87,9.86,9.87,19019
2019-11-05 11:05:00,9.8703,9.8796,9.8696,9.8703,3978
2019-11-05 11:10:00,9.865,9.875,9.86,9.865,24926
2019-11-05 11:15:00,9.8654,9.875,9.845,9.8654,15396
2019-11-05 11:20:00,9.8704,9.8993,9.8692,9.8804,13095
2019-11-05 11:25:00,9.85,9.86,9.85,9.85,29587
2019-11-05 11:30:00,9.8454,9.8792,9.8341,9.8354,91236
2019-11-05 11:35:00,9.8324,9.8497,9.7896,9.8103,26095
2019-11-05 11:40:00,9.8102,9.8185,9.7885,9.7902,22904
2019-11-05 11:45:00,9.78,9.82,9.78,9.82,17978
2019-11-05 11:50:00,9.81,9.81,9.79,9.79,5800
2019-11-05 11:55:00,9.785,9.785,9.75,9.75,7343
2019-11-05 12:00:00,9.75,9.75,9.725,9.74,7366
2019-11-05 12:05:00,9.735,9.74,9.73,9.74,1380
2019-11-05 12:10:00,9.74,9.745,9.72,9.72,29243
2019-11-05 12:15:00,9.72,9.75,9.715,9.75,11565
2019-11-05 12:20:00,9.7504,9.7691,9.749,9.7604,26525
2019-11-05 12:25:00,9.755,9.77,9.755,9.77,6378
2019-11-05 12:30:00,9.76,9.77,9.76,9.77,16364
2019-11-05 12:35:00,9.76,9.76,9.745,9.75,10795
2019-11-05 12:40:00,9.745,9.75,9.745,9.75,700
2019-11-05 12:45:00,9.745,9.75,9.745,9.75,711
2019-11-05 12:50:00,9.74,9.75,9.74,9.75,7541
2019-11-05 12:55:00,9.75,9.76,9.75,9.755,4814
2019-11-05 13:00:00,9.76,9.76,9.76,9.76,519
2019-11-05 13:05:00,9.7604,9.8044,9.7593,9.7754,30874
2019-11-05 13:10:00,9.7804,9.8191,9.7791,9.7954,26086
2019-11-05 13:15:00,9.7953,9.8096,9.7896,9.7903,8120
2019-11-05 13:20:00,9.7802,9.785,9.77,9.7802,16039
2019-11-05 13:25:00,9.78,9.82,9.78,9.79,10166
2019-11-05 13:30:00,9.78,9.805,9.78,9.79,14260
2019-11-05 13:35:00,9.795,9.82,9.79,9.82,3984
2019-11-05 13:40:00,9.82,9.825,9.815,9.825,7249
2019-11-05 13:45:00,9.8252,9.8377,9.8177,9.8202,4434
2019-11-05 13:50:00,9.82,9.83,9.814,9.825,12368
2019-11-05 13:55:00,9.825,9.825,9.81,9.815,3495
