,open,high,low,close,volume
2019-11-04 14:15:00,62.23,62.265,62.23,62.265,1618
2019-11-04 14:20:00,62.25,62.35,62.22,62.34,5457
2019-11-04 14:25:00,62.338,62.47,62.325,62.47,5660
2019-11-04 14:30:00,62.48,62.54,62.45,62.52,6208
2019-11-04 14:35:00,62.555,62.65,62.55,62.63,6741
2019-11-04 14:40:00,62.65,62.72,62.65,62.69,2768
2019-11-04 14:45:00,62.705,62.72,62.68,62.68,5439
2019-11-04 14:50:00,62.67,62.71,62.56,62.56,5216
2019-11-04 14:55:00,62.59,62.64,62.5591,62.61,8797
2019-11-04 15:00:00,62.6,62.61,62.574,62.59,2256
2019-11-04 15:05:00,62.59,62.6,62.53,62.53,3550
2019-11-04 15:10:00,62.52,62.635,62.52,62.615,3656
2019-11-04 15:15:00,62.62,62.67,62.59,62.6,10086
2019-11-04 15:20:00,62.58,62.69,62.58,62.6,4622
2019-11-04 15:25:00,62.63,62.66,62.625,62.66,5634
2019-11-04 15:30:00,62.62,62.69,62.61,62.61,13777
2019-11-04 15:35:00,62.635,62.73,62.61,62.7033,10449
2019-11-04 15:40:00,62.72,62.77,62.71,62.76,23504
2019-11-04 15:45:00,62.77,62.84,62.77,62.81,15391
2019-11-04 15:50:00,62.812,62.8716,62.6614,62.662,34561
2019-11-04 15:55:00,62.615,62.675,62.61,62.67,39137
2019-11-04 16:00:00,62.71,62.83,62.69,62.76,79587
2019-11-05 09:35:00,62.66,63.2,62.66,63.1,51896
2019-11-05 09:40:00,63.3012,63.61,63.1497,63.5412,59496
2019-11-05 09:45:00,63.3726,63.471000000000004,63.0406,63.4127,44403
2019-11-05 09:50:00,63.37,63.66,63.36,63.66,26308
2019-11-05 09:55:00,63.7326,63.9112,63.6729,63.8526,20442
2019-11-05 10:00:00,63.87,64.02,63.81,63.98,17949
2019-11-05 10:05:00,64.0,64.28,64.0,64.0,16792
2019-11-05 10:10:00,64.0017,64.1,63.93,64.0817,19649
2019-11-05 10:15:00,64.0321,64.08,63.77,63.8021,31996
2019-11-05 10:20:00,63.8013,64.0404,63.7401,63.9563,15823
2019-11-05 10:25:00,63.97,64.24,63.96,63.995,26726
2019-11-05 10:30:00,63.97,64.04,63.835,63.835,11523
2019-11-05 10:35:00,63.84,63.94,63.675,63.685,12162
2019-11-05 10:40:00,63.68,63.88,63.67,63.87,5696
2019-11-05 10:45:00,64.01,64.105,64.01,64.055,9279
2019-11-05 10:50:00,64.03,64.23,64.03,64.2,8236
2019-11-05 10:55:00,64.23,64.23,64.03,64.0312,9795
2019-11-05 11:00:00,64.02,64.07,63.99,63.99,10594
2019-11-05 11:05:00,63.99,63.99,63.63,63.65,8689
2019-11-05 11:10:00,63.6,63.99,63.56,63.91,39008
2019-11-05 11:15:00,63.8827,63.9415,63.7363,63.7827,5467
2019-11-05 11:20:00,63.79,63.79,63.75,63.75,504
2019-11-05 11:25:00,63.54,63.54,63.53,63.53,13137
2019-11-05 11:30:00,63.6423,63.7291,63.599,63.6523,4109
2019-11-05 11:35:00,63.72,63.79,63.58,63.58,5520
2019-11-05 11:40:00,63.63,63.74,63.63,63.69,4002
2019-11-05 11:45:00,63.73,63.78,63.655,63.672,4165
2019-11-05 11:50:00,63.73,63.76,63.69,63.76,2124
2019-11-05 11:55:00,63.8017,63.87,63.65,63.7117,13417
2019-11-05 12:00:00,63.73,63.77,63.7,63.7,3483
2019-11-05 12:05:00,63.78,63.915,63.77,63.915,4185
2019-11-05 12:10:00,63.9224,64.06,63.9098,63.9724,6175
2019-11-05 12:15:00,63.9226,64.0813,63.9112,64.0176,13761
2019-11-05 12:20:00,63.99,64.17,63.99,64.09,4549
2019-11-05 12:25:00,64.13,64.21,64.04,64.04,11333
2019-11-05 12:30:00,63.99,63.99,63.89,63.9,14653
2019-11-05 12:35:00,63.89,63.98,63.8,63.81,9582
2019-11-05 12:40:00,63.82,64.1,63.8,64.01,23887
2019-11-05 12:45:00,64.0017,64.062,63.9719,63.9817,4016
2019-11-05 12:50:00,63.9127,64.0315,63.8714,63.9727,5771
2019-11-05 12:55:00,63.9513,64.0904,63.8802,64.0413,8143
2019-11-05 13:00:00,64.04,64.07,63.89,63.93,9312
2019-11-05 13:05:00,63.94,64.08,63.94,64.08,5409
2019-11-05 13:10:00,64.08,64.15,64.03,64.045,5980
2019-11-05 13:15:00,64.02,64.08,64.02,64.06,2655
2019-11-05 13:20:00,64.09100000000001,64.1455,63.8152,63.82100000000001,2583
2019-11-05 13:25:00,63.815,63.8732,63.815,63.8732,2895
2019-11-05 13:30:00,63.865,63.89,63.795,63.795,6267
2019-11-05 13:35:00,63.7917,63.8568,63.7317,63.7817,2248
2019-11-05 13:40:00,63.74,63.97,63.74,63.97,3946
2019-11-05 13:45:00,63.97,64.09,63.97,64.09,4062
2019-11-05 13:50:00,64.065,64.08,63.88,63.88,3598
2019-11-05 13:55:00,63.8824,64.03,63.86,63.9124,11435
2019-11-05 14:00:00,63.9,64.06,63.9,64.01,18696
2019-11-05 14:05:00,64.01,64.195,64.01,64.14,18004
2019-11-05 14:10:00,64.21,64.21,64.12,64.12,18297
